,d,v,years,months,ticker_symbol,security,sector
0,985996800,80903448,2001,3,AJG,Arthur J. Gallagher & Co.,Financials
1,993859200,85392593,2001,6,AJG,Arthur J. Gallagher & Co.,Financials
2,1001808000,85516327,2001,9,AJG,Arthur J. Gallagher & Co.,Financials
3,1017532800,86346154,2002,3,AJG,Arthur J. Gallagher & Co.,Financials
4,1025395200,88361538,2002,6,AJG,Arthur J. Gallagher & Co.,Financials
5,1033344000,89653846,2002,9,AJG,Arthur J. Gallagher & Co.,Financials
6,1049068800,92307692,2003,3,AJG,Arthur J. Gallagher & Co.,Financials
7,1056931200,90500000,2003,6,AJG,Arthur J. Gallagher & Co.,Financials
8,1064880000,90555556,2003,9,AJG,Arthur J. Gallagher & Co.,Financials
9,1080691200,90465116,2004,3,AJG,Arthur J. Gallagher & Co.,Financials
10,1088553600,90392157,2004,6,AJG,Arthur J. Gallagher & Co.,Financials
11,1096502400,92203390,2004,9,AJG,Arthur J. Gallagher & Co.,Financials
12,1112227200,92500000,2005,3,AJG,Arthur J. Gallagher & Co.,Financials
13,1120089600,94181818,2005,6,AJG,Arthur J. Gallagher & Co.,Financials
14,1128038400,95283019,2005,9,AJG,Arthur J. Gallagher & Co.,Financials
15,1143763200,95000000,2006,3,AJG,Arthur J. Gallagher & Co.,Financials
16,1151625600,96315789,2006,6,AJG,Arthur J. Gallagher & Co.,Financials
17,1159574400,96538462,2006,9,AJG,Arthur J. Gallagher & Co.,Financials
18,1175299200,99000000,2007,3,AJG,Arthur J. Gallagher & Co.,Financials
19,1183161600,97333333,2007,6,AJG,Arthur J. Gallagher & Co.,Financials
20,1191110400,94181818,2007,9,AJG,Arthur J. Gallagher & Co.,Financials
21,1206921600,85714286,2008,3,AJG,Arthur J. Gallagher & Co.,Financials
22,1214784000,92727273,2008,6,AJG,Arthur J. Gallagher & Co.,Financials
23,1222732800,94500000,2008,9,AJG,Arthur J. Gallagher & Co.,Financials
24,1238457600,98000000,2009,3,AJG,Arthur J. Gallagher & Co.,Financials
25,1246320000,100623000,2009,6,AJG,Arthur J. Gallagher & Co.,Financials
26,1254268800,101352000,2009,9,AJG,Arthur J. Gallagher & Co.,Financials
27,1269993600,102737000,2010,3,AJG,Arthur J. Gallagher & Co.,Financials
28,1277856000,102700000,2010,6,AJG,Arthur J. Gallagher & Co.,Financials
29,1285804800,105499000,2010,9,AJG,Arthur J. Gallagher & Co.,Financials
30,1301529600,109265000,2011,3,AJG,Arthur J. Gallagher & Co.,Financials
31,1309392000,110158000,2011,6,AJG,Arthur J. Gallagher & Co.,Financials
32,1317340800,112632000,2011,9,AJG,Arthur J. Gallagher & Co.,Financials
33,1333152000,116376000,2012,3,AJG,Arthur J. Gallagher & Co.,Financials
34,1341014400,119704000,2012,6,AJG,Arthur J. Gallagher & Co.,Financials
35,1348963200,123052000,2012,9,AJG,Arthur J. Gallagher & Co.,Financials
36,1356912000,124941000,2012,12,AJG,Arthur J. Gallagher & Co.,Financials
37,1364688000,126165000,2013,3,AJG,Arthur J. Gallagher & Co.,Financials
38,1372550400,127260000,2013,6,AJG,Arthur J. Gallagher & Co.,Financials
39,1380499200,129816000,2013,9,AJG,Arthur J. Gallagher & Co.,Financials
40,1388448000,132334000,2013,12,AJG,Arthur J. Gallagher & Co.,Financials
41,1396224000,134200000,2014,3,AJG,Arthur J. Gallagher & Co.,Financials
42,1404086400,154252000,2014,6,AJG,Arthur J. Gallagher & Co.,Financials
43,1412035200,160231000,2014,9,AJG,Arthur J. Gallagher & Co.,Financials
44,1419984000,162705000,2014,12,AJG,Arthur J. Gallagher & Co.,Financials
45,1427760000,165574000,2015,3,AJG,Arthur J. Gallagher & Co.,Financials
46,1435622400,170613000,2015,6,AJG,Arthur J. Gallagher & Co.,Financials
47,1443571200,175956000,2015,9,AJG,Arthur J. Gallagher & Co.,Financials
48,1451520000,176810000,2015,12,AJG,Arthur J. Gallagher & Co.,Financials
49,1459382400,177038000,2016,3,AJG,Arthur J. Gallagher & Co.,Financials
50,1467244800,177415000,2016,6,AJG,Arthur J. Gallagher & Co.,Financials
51,1475193600,177611000,2016,9,AJG,Arthur J. Gallagher & Co.,Financials
52,1483142400,178174000,2016,12,AJG,Arthur J. Gallagher & Co.,Financials
53,1490918400,178890000,2017,3,AJG,Arthur J. Gallagher & Co.,Financials
54,1498780800,179860000,2017,6,AJG,Arthur J. Gallagher & Co.,Financials
55,1506729600,180511000,2017,9,AJG,Arthur J. Gallagher & Co.,Financials
56,1514678400,181038000,2017,12,AJG,Arthur J. Gallagher & Co.,Financials
57,1522454400,182100000,2018,3,AJG,Arthur J. Gallagher & Co.,Financials
58,1530316800,182612000,2018,6,AJG,Arthur J. Gallagher & Co.,Financials
59,1538265600,183288000,2018,9,AJG,Arthur J. Gallagher & Co.,Financials
60,1546214400,183834000,2018,12,AJG,Arthur J. Gallagher & Co.,Financials
61,1553990400,184521000,2019,3,AJG,Arthur J. Gallagher & Co.,Financials
62,1561852800,185769000,2019,6,AJG,Arthur J. Gallagher & Co.,Financials
63,1569801600,186300000,2019,9,AJG,Arthur J. Gallagher & Co.,Financials
64,1577750400,187355000,2019,12,AJG,Arthur J. Gallagher & Co.,Financials
65,1585612800,188723000,2020,3,AJG,Arthur J. Gallagher & Co.,Financials
66,1593475200,190470000,2020,6,AJG,Arthur J. Gallagher & Co.,Financials
67,1601424000,191913000,2020,9,AJG,Arthur J. Gallagher & Co.,Financials
68,1609372800,192874000,2020,12,AJG,Arthur J. Gallagher & Co.,Financials
69,1617148800,194642000,2021,3,AJG,Arthur J. Gallagher & Co.,Financials
70,1625011200,201300000,2021,6,AJG,Arthur J. Gallagher & Co.,Financials
71,1632960000,206988000,2021,9,AJG,Arthur J. Gallagher & Co.,Financials
