,d,v,years,months,ticker_symbol,security,sector
0,985996800,257142857,2001,3,AON,Aon,Financials
1,993859200,263636364,2001,6,AON,Aon,Financials
2,1001808000,273076923,2001,9,AON,Aon,Financials
3,1017532800,271052632,2002,3,AON,Aon,Financials
4,1025395200,271052632,2002,6,AON,Aon,Financials
5,1033344000,276086957,2002,9,AON,Aon,Financials
6,1049068800,314583333,2003,3,AON,Aon,Financials
7,1056931200,317391304,2003,6,AON,Aon,Financials
8,1064880000,316666667,2003,9,AON,Aon,Financials
9,1080691200,318867925,2004,3,AON,Aon,Financials
10,1088553600,320370370,2004,6,AON,Aon,Financials
11,1096502400,318421053,2004,9,AON,Aon,Financials
12,1112227200,320967742,2005,3,AON,Aon,Financials
13,1120089600,323728814,2005,6,AON,Aon,Financials
14,1128038400,327027027,2005,9,AON,Aon,Financials
15,1143763200,324590164,2006,3,AON,Aon,Financials
16,1151625600,321666667,2006,6,AON,Aon,Financials
17,1159574400,311764706,2006,9,AON,Aon,Financials
18,1175299200,300000000,2007,3,AON,Aon,Financials
19,1183161600,296000000,2007,6,AON,Aon,Financials
20,1191110400,321500000,2007,9,AON,Aon,Financials
21,1206921600,304000000,2008,3,AON,Aon,Financials
22,1214784000,289000000,2008,6,AON,Aon,Financials
23,1222732800,272093023,2008,9,AON,Aon,Financials
24,1238457600,284300000,2009,3,AON,Aon,Financials
25,1246320000,281132075,2009,6,AON,Aon,Financials
26,1254268800,285714286,2009,9,AON,Aon,Financials
27,1269993600,275900000,2010,3,AON,Aon,Financials
28,1277856000,278181818,2010,6,AON,Aon,Financials
29,1285804800,276923077,2010,9,AON,Aon,Financials
30,1301529600,341666667,2011,3,AON,Aon,Financials
31,1309392000,339473684,2011,6,AON,Aon,Financials
32,1317340800,335593220,2011,9,AON,Aon,Financials
33,1333152000,330555556,2012,3,AON,Aon,Financials
34,1341014400,332432432,2012,6,AON,Aon,Financials
35,1348963200,329032258,2012,9,AON,Aon,Financials
36,1356912000,321052632,2012,12,AON,Aon,Financials
37,1364688000,318292683,2013,3,AON,Aon,Financials
38,1372550400,313700000,2013,6,AON,Aon,Financials
39,1380499200,308433735,2013,9,AON,Aon,Financials
40,1388448000,306034483,2013,12,AON,Aon,Financials
41,1396224000,303738318,2014,3,AON,Aon,Financials
42,1404086400,298500000,2014,6,AON,Aon,Financials
43,1412035200,292300000,2014,9,AON,Aon,Financials
44,1419984000,286875000,2014,12,AON,Aon,Financials
45,1427760000,284200000,2015,3,AON,Aon,Financials
46,1435622400,284500000,2015,6,AON,Aon,Financials
47,1443571200,280900000,2015,9,AON,Aon,Financials
48,1451520000,275471698,2015,12,AON,Aon,Financials
49,1459382400,271700000,2016,3,AON,Aon,Financials
50,1467244800,269306931,2016,6,AON,Aon,Financials
51,1475193600,267500000,2016,9,AON,Aon,Financials
52,1483142400,265608466,2016,12,AON,Aon,Financials
53,1490918400,264800000,2017,3,AON,Aon,Financials
54,1498780800,262400000,2017,6,AON,Aon,Financials
55,1506729600,255600000,2017,9,AON,Aon,Financials
56,1514678400,251300000,2017,12,AON,Aon,Financials
57,1522454400,248500000,2018,3,AON,Aon,Financials
58,1530316800,246000000,2018,6,AON,Aon,Financials
59,1538265600,244000000,2018,9,AON,Aon,Financials
60,1546214400,242400000,2018,12,AON,Aon,Financials
61,1553990400,242200000,2019,3,AON,Aon,Financials
62,1561852800,240600000,2019,6,AON,Aon,Financials
63,1569801600,236900000,2019,9,AON,Aon,Financials
64,1577750400,234700000,2019,12,AON,Aon,Financials
65,1585612800,233200000,2020,3,AON,Aon,Financials
66,1593475200,232700000,2020,6,AON,Aon,Financials
67,1601424000,232600000,2020,9,AON,Aon,Financials
68,1609372800,229200000,2020,12,AON,Aon,Financials
69,1617148800,227100000,2021,3,AON,Aon,Financials
70,1625011200,227000000,2021,6,AON,Aon,Financials
71,1632960000,225400000,2021,9,AON,Aon,Financials
72,1640908800,219300000,2021,12,AON,Aon,Financials
73,1648684800,215300000,2022,3,AON,Aon,Financials
74,1656547200,213300000,2022,6,AON,Aon,Financials
75,1668716514,213300000,2022,11,AON,Aon,Financials
