,d,v,years,months,ticker_symbol,security,sector
0,985996800,3217780000,2001,3,BAC,Bank of America,Financials
1,993859200,3203074000,2001,6,BAC,Bank of America,Financials
2,1001808000,3199384000,2001,9,BAC,Bank of America,Financials
3,1017532800,3086942000,2002,3,BAC,Bank of America,Financials
4,1025395200,3067566000,2002,6,BAC,Bank of America,Financials
5,1033344000,3008034000,2002,9,BAC,Bank of America,Financials
6,1049068800,2998810000,2003,3,BAC,Bank of America,Financials
7,1056931200,2988188000,2003,6,BAC,Bank of America,Financials
8,1064880000,2980206000,2003,9,BAC,Bank of America,Financials
9,1080691200,2880306000,2004,3,BAC,Bank of America,Financials
10,1088553600,4062384000,2004,6,BAC,Bank of America,Financials
11,1096502400,4052304000,2004,9,BAC,Bank of America,Financials
12,1112227200,4032550000,2005,3,BAC,Bank of America,Financials
13,1120089600,4005356000,2005,6,BAC,Bank of America,Financials
14,1128038400,4000573000,2005,9,BAC,Bank of America,Financials
15,1143763200,4609481000,2006,3,BAC,Bank of America,Financials
16,1151625600,4534627000,2006,6,BAC,Bank of America,Financials
17,1159574400,4499704000,2006,9,BAC,Bank of America,Financials
18,1175299200,4432664000,2007,3,BAC,Bank of America,Financials
19,1183161600,4419246000,2007,6,BAC,Bank of America,Financials
20,1191110400,4420616000,2007,9,BAC,Bank of America,Financials
21,1206921600,4427823000,2008,3,BAC,Bank of America,Financials
22,1214784000,4435719000,2008,6,BAC,Bank of America,Financials
23,1222732800,4543963000,2008,9,BAC,Bank of America,Financials
24,1230681600,4957049000,2008,12,BAC,Bank of America,Financials
25,1238457600,6370815000,2009,3,BAC,Bank of America,Financials
26,1246320000,7241515000,2009,6,BAC,Bank of America,Financials
27,1254268800,8633834000,2009,9,BAC,Bank of America,Financials
28,1262217600,8634565000,2009,12,BAC,Bank of America,Financials
29,1269993600,9177468000,2010,3,BAC,Bank of America,Financials
30,1277856000,9956773000,2010,6,BAC,Bank of America,Financials
31,1285804800,9976351000,2010,9,BAC,Bank of America,Financials
32,1293753600,10036575000,2010,12,BAC,Bank of America,Financials
33,1301529600,10075875000,2011,3,BAC,Bank of America,Financials
34,1309392000,10094928000,2011,6,BAC,Bank of America,Financials
35,1317340800,10116284000,2011,9,BAC,Bank of America,Financials
36,1325289600,10281397000,2011,12,BAC,Bank of America,Financials
37,1333152000,10651367000,2012,3,BAC,Bank of America,Financials
38,1341014400,10775695000,2012,6,BAC,Bank of America,Financials
39,1348963200,10776173000,2012,9,BAC,Bank of America,Financials
40,1356912000,10777204000,2012,12,BAC,Bank of America,Financials
41,1364688000,10798975000,2013,3,BAC,Bank of America,Financials
42,1372550400,10775867000,2013,6,BAC,Bank of America,Financials
43,1380499200,10718918000,2013,9,BAC,Bank of America,Financials
44,1388448000,10633030000,2013,12,BAC,Bank of America,Financials
45,1396224000,10560518000,2014,3,BAC,Bank of America,Financials
46,1404086400,10519359000,2014,6,BAC,Bank of America,Financials
47,1412035200,10515790000,2014,9,BAC,Bank of America,Financials
48,1419984000,10516334000,2014,12,BAC,Bank of America,Financials
49,1427760000,10518790000,2015,3,BAC,Bank of America,Financials
50,1435622400,10488137000,2015,6,BAC,Bank of America,Financials
51,1443571200,10444291000,2015,9,BAC,Bank of America,Financials
52,1451520000,10399422000,2015,12,BAC,Bank of America,Financials
53,1459382400,10339731000,2016,3,BAC,Bank of America,Financials
54,1467244800,10253573000,2016,6,BAC,Bank of America,Financials
55,1475193600,10250124000,2016,9,BAC,Bank of America,Financials
56,1483142400,10170031000,2016,12,BAC,Bank of America,Financials
57,1490918400,10099557000,2017,3,BAC,Bank of America,Financials
58,1498780800,10013503000,2017,6,BAC,Bank of America,Financials
59,1506729600,10197891000,2017,9,BAC,Bank of America,Financials
60,1514678400,10470672000,2017,12,BAC,Bank of America,Financials
61,1522454400,10322394000,2018,3,BAC,Bank of America,Financials
62,1530316800,10181700000,2018,6,BAC,Bank of America,Financials
63,1538265600,10031600000,2018,9,BAC,Bank of America,Financials
64,1546214400,9855800000,2018,12,BAC,Bank of America,Financials
65,1553990400,9725900000,2019,3,BAC,Bank of America,Financials
66,1561852800,9523200000,2019,6,BAC,Bank of America,Financials
67,1569801600,9303600000,2019,9,BAC,Bank of America,Financials
68,1577750400,9017100000,2019,12,BAC,Bank of America,Financials
69,1585612800,8815600000,2020,3,BAC,Bank of America,Financials
70,1593475200,8739900000,2020,6,BAC,Bank of America,Financials
71,1601424000,8732900000,2020,9,BAC,Bank of America,Financials
72,1609372800,8724900000,2020,12,BAC,Bank of America,Financials
73,1617148800,8700100000,2021,3,BAC,Bank of America,Financials
74,1625011200,8620800000,2021,6,BAC,Bank of America,Financials
75,1632960000,8430700000,2021,9,BAC,Bank of America,Financials
76,1640908800,8226500000,2021,12,BAC,Bank of America,Financials
77,1648684800,8136800000,2022,3,BAC,Bank of America,Financials
78,1656547200,8121600000,2022,6,BAC,Bank of America,Financials
79,1668716573,8107700000,2022,11,BAC,Bank of America,Financials
