,d,v,years,months,ticker_symbol,security,sector
0,985996800,498470000,2001,3,C,Citigroup,Financials
1,993859200,497960000,2001,6,C,Citigroup,Financials
2,1001808000,506080000,2001,9,C,Citigroup,Financials
3,1017532800,511050000,2002,3,C,Citigroup,Financials
4,1025395200,509670000,2002,6,C,Citigroup,Financials
5,1033344000,503660000,2002,9,C,Citigroup,Financials
6,1049068800,509490000,2003,3,C,Citigroup,Financials
7,1056931200,508550000,2003,6,C,Citigroup,Financials
8,1064880000,509680000,2003,9,C,Citigroup,Financials
9,1080691200,509560000,2004,3,C,Citigroup,Financials
10,1088553600,510050000,2004,6,C,Citigroup,Financials
11,1096502400,511230000,2004,9,C,Citigroup,Financials
12,1112227200,513330000,2005,3,C,Citigroup,Financials
13,1120089600,511910000,2005,6,C,Citigroup,Financials
14,1128038400,505830000,2005,9,C,Citigroup,Financials
15,1143763200,492070000,2006,3,C,Citigroup,Financials
16,1151625600,489900000,2006,6,C,Citigroup,Financials
17,1159574400,487550000,2006,9,C,Citigroup,Financials
18,1175299200,487700000,2007,3,C,Citigroup,Financials
19,1183161600,489830000,2007,6,C,Citigroup,Financials
20,1191110400,491610000,2007,9,C,Citigroup,Financials
21,1206921600,508560000,2008,3,C,Citigroup,Financials
22,1214784000,528740000,2008,6,C,Citigroup,Financials
23,1222732800,534180000,2008,9,C,Citigroup,Financials
24,1238457600,538500000,2009,3,C,Citigroup,Financials
25,1246320000,540220000,2009,6,C,Citigroup,Financials
26,1254268800,1210430000,2009,9,C,Citigroup,Financials
27,1262217600,2338440000,2009,12,C,Citigroup,Financials
28,1269993600,2862024839,2010,3,C,Citigroup,Financials
29,1277856000,2844430000,2010,6,C,Citigroup,Financials
30,1285804800,2887750000,2010,9,C,Citigroup,Financials
31,1293753600,2893290000,2010,12,C,Citigroup,Financials
32,1301529600,2904350000,2011,3,C,Citigroup,Financials
33,1309392000,2908600000,2011,6,C,Citigroup,Financials
34,1317340800,2910800000,2011,9,C,Citigroup,Financials
35,1325289600,2915200000,2011,12,C,Citigroup,Financials
36,1333152000,2926200000,2012,3,C,Citigroup,Financials
37,1341014400,2926600000,2012,6,C,Citigroup,Financials
38,1348963200,2926800000,2012,9,C,Citigroup,Financials
39,1356912000,2942700000,2012,12,C,Citigroup,Financials
40,1364688000,3040100000,2013,3,C,Citigroup,Financials
41,1372550400,3040700000,2013,6,C,Citigroup,Financials
42,1380499200,3034300000,2013,9,C,Citigroup,Financials
43,1388448000,3028000000,2013,12,C,Citigroup,Financials
44,1396224000,3037400000,2014,3,C,Citigroup,Financials
45,1404086400,3033800000,2014,6,C,Citigroup,Financials
46,1412035200,3029500000,2014,9,C,Citigroup,Financials
47,1419984000,3025600000,2014,12,C,Citigroup,Financials
48,1427760000,3034200000,2015,3,C,Citigroup,Financials
49,1435622400,3020000000,2015,6,C,Citigroup,Financials
50,1443571200,2993300000,2015,9,C,Citigroup,Financials
51,1451520000,2968300000,2015,12,C,Citigroup,Financials
52,1459382400,2943000000,2016,3,C,Citigroup,Financials
53,1467244800,2915800000,2016,6,C,Citigroup,Financials
54,1475193600,2879900000,2016,9,C,Citigroup,Financials
55,1483142400,2813800000,2016,12,C,Citigroup,Financials
56,1490918400,2765300000,2017,3,C,Citigroup,Financials
57,1498780800,2739100000,2017,6,C,Citigroup,Financials
58,1506729600,2683600000,2017,9,C,Citigroup,Financials
59,1514678400,2606200000,2017,12,C,Citigroup,Financials
60,1522454400,2561600000,2018,3,C,Citigroup,Financials
61,1530316800,2530900000,2018,6,C,Citigroup,Financials
62,1538265600,2479800000,2018,9,C,Citigroup,Financials
63,1546214400,2401100000,2018,12,C,Citigroup,Financials
64,1553990400,2340400000,2019,3,C,Citigroup,Financials
65,1561852800,2286100000,2019,6,C,Citigroup,Financials
66,1569801600,2220800000,2019,9,C,Citigroup,Financials
67,1577750400,2149400000,2019,12,C,Citigroup,Financials
68,1585612800,2097900000,2020,3,C,Citigroup,Financials
69,1593475200,2081700000,2020,6,C,Citigroup,Financials
70,1601424000,2081800000,2020,9,C,Citigroup,Financials
71,1609372800,2081900000,2020,12,C,Citigroup,Financials
72,1617148800,2082000000,2021,3,C,Citigroup,Financials
73,1625011200,2056500000,2021,6,C,Citigroup,Financials
74,1632960000,2009300000,2021,9,C,Citigroup,Financials
75,1640908800,1984300000,2021,12,C,Citigroup,Financials
76,1648684800,1971700000,2022,3,C,Citigroup,Financials
77,1656547200,1941500000,2022,6,C,Citigroup,Financials
78,1668716734,1936800000,2022,11,C,Citigroup,Financials
