,d,v,years,months,ticker_symbol,security,sector
0,985996800,246654167,2001,3,CB,Chubb Limited,Financials
1,993859200,243550000,2001,6,CB,Chubb Limited,Financials
2,1001808000,226969231,2001,9,CB,Chubb Limited,Financials
3,1017532800,267304054,2002,3,CB,Chubb Limited,Financials
4,1025395200,280810811,2002,6,CB,Chubb Limited,Financials
5,1033344000,235458333,2002,9,CB,Chubb Limited,Financials
6,1049068800,268960870,2003,3,CB,Chubb Limited,Financials
7,1056931200,274420741,2003,6,CB,Chubb Limited,Financials
8,1064880000,283972000,2003,9,CB,Chubb Limited,Financials
9,1080691200,286426282,2004,3,CB,Chubb Limited,Financials
10,1088553600,288817483,2004,6,CB,Chubb Limited,Financials
11,1096502400,287569900,2004,9,CB,Chubb Limited,Financials
12,1112227200,290622819,2005,3,CB,Chubb Limited,Financials
13,1120089600,290062112,2005,6,CB,Chubb Limited,Financials
14,1128038400,260465116,2005,9,CB,Chubb Limited,Financials
15,1143763200,328187919,2006,3,CB,Chubb Limited,Financials
16,1151625600,327428571,2006,6,CB,Chubb Limited,Financials
17,1159574400,328409091,2006,9,CB,Chubb Limited,Financials
18,1175299200,329107981,2007,3,CB,Chubb Limited,Financials
19,1183161600,331122449,2007,6,CB,Chubb Limited,Financials
20,1191110400,331313131,2007,9,CB,Chubb Limited,Financials
21,1206921600,336607143,2008,3,CB,Chubb Limited,Financials
22,1214784000,328627780,2008,6,CB,Chubb Limited,Financials
23,1222732800,327889473,2008,9,CB,Chubb Limited,Financials
24,1238457600,335474828,2009,3,CB,Chubb Limited,Financials
25,1246320000,336898236,2009,6,CB,Chubb Limited,Financials
26,1254268800,336159387,2009,9,CB,Chubb Limited,Financials
27,1269993600,338610718,2010,3,CB,Chubb Limited,Financials
28,1277856000,338478484,2010,6,CB,Chubb Limited,Financials
29,1285804800,339229422,2010,9,CB,Chubb Limited,Financials
30,1301529600,337088217,2011,3,CB,Chubb Limited,Financials
31,1309392000,338920580,2011,6,CB,Chubb Limited,Financials
32,1317340800,338400000,2011,9,CB,Chubb Limited,Financials
33,1333152000,338567341,2012,3,CB,Chubb Limited,Financials
34,1341014400,339766067,2012,6,CB,Chubb Limited,Financials
35,1348963200,340207037,2012,9,CB,Chubb Limited,Financials
36,1356912000,340821273,2012,12,CB,Chubb Limited,Financials
37,1364688000,340778142,2013,3,CB,Chubb Limited,Financials
38,1372550400,340086269,2013,6,CB,Chubb Limited,Financials
39,1380499200,340888648,2013,9,CB,Chubb Limited,Financials
40,1396224000,338869562,2014,3,CB,Chubb Limited,Financials
41,1404086400,337846228,2014,6,CB,Chubb Limited,Financials
42,1412035200,334472324,2014,9,CB,Chubb Limited,Financials
43,1427760000,328212376,2015,3,CB,Chubb Limited,Financials
44,1435622400,325463196,2015,6,CB,Chubb Limited,Financials
45,1443571200,324210936,2015,9,CB,Chubb Limited,Financials
46,1459382400,446739586,2016,3,CB,Chubb Limited,Financials
47,1467244800,467701328,2016,6,CB,Chubb Limited,Financials
48,1475193600,468021093,2016,9,CB,Chubb Limited,Financials
49,1483142400,468258439,2016,12,CB,Chubb Limited,Financials
50,1490918400,468903086,2017,3,CB,Chubb Limited,Financials
51,1498780800,467981077,2017,6,CB,Chubb Limited,Financials
52,1506729600,466370784,2017,9,CB,Chubb Limited,Financials
53,1514678400,465429008,2017,12,CB,Chubb Limited,Financials
54,1522454400,465703240,2018,3,CB,Chubb Limited,Financials
55,1530316800,465276597,2018,6,CB,Chubb Limited,Financials
56,1538265600,462981973,2018,9,CB,Chubb Limited,Financials
57,1546214400,460636999,2018,12,CB,Chubb Limited,Financials
58,1553990400,458805185,2019,3,CB,Chubb Limited,Financials
59,1561852800,457224455,2019,6,CB,Chubb Limited,Financials
60,1569801600,454975143,2019,9,CB,Chubb Limited,Financials
61,1577750400,451971567,2019,12,CB,Chubb Limited,Financials
62,1585612800,451367782,2020,3,CB,Chubb Limited,Financials
63,1593475200,451360023,2020,6,CB,Chubb Limited,Financials
64,1601424000,451376194,2020,9,CB,Chubb Limited,Financials
65,1609372800,450732625,2020,12,CB,Chubb Limited,Financials
66,1617148800,449676959,2021,3,CB,Chubb Limited,Financials
67,1625011200,438717213,2021,6,CB,Chubb Limited,Financials
68,1632960000,430876252,2021,9,CB,Chubb Limited,Financials
69,1640908800,426572612,2021,12,CB,Chubb Limited,Financials
70,1648684800,423675327,2022,3,CB,Chubb Limited,Financials
71,1656547200,418474087,2022,6,CB,Chubb Limited,Financials
72,1668716704,416542101,2022,11,CB,Chubb Limited,Financials
