,d,v,years,months,ticker_symbol,security,sector
0,985996800,178634000,2001,3,CMA,Comerica,Financials
1,993859200,177540870,2001,6,CMA,Comerica,Financials
2,1001808000,176064655,2001,9,CMA,Comerica,Financials
3,1017532800,175410000,2002,3,CMA,Comerica,Financials
4,1025395200,175410000,2002,6,CMA,Comerica,Financials
5,1033344000,175410000,2002,9,CMA,Comerica,Financials
6,1049068800,174257426,2003,3,CMA,Comerica,Financials
7,1056931200,173469388,2003,6,CMA,Comerica,Financials
8,1064880000,174444444,2003,9,CMA,Comerica,Financials
9,1080691200,174193548,2004,3,CMA,Comerica,Financials
10,1088553600,172972973,2004,6,CMA,Comerica,Financials
11,1096502400,170434783,2004,9,CMA,Comerica,Financials
12,1112227200,168644068,2005,3,CMA,Comerica,Financials
13,1120089600,168217054,2005,6,CMA,Comerica,Financials
14,1128038400,166433566,2005,9,CMA,Comerica,Financials
15,1143763200,161666667,2006,3,CMA,Comerica,Financials
16,1151625600,161290323,2006,6,CMA,Comerica,Financials
17,1159574400,160000000,2006,9,CMA,Comerica,Financials
18,1175299200,157024793,2007,3,CMA,Comerica,Financials
19,1183161600,153125000,2007,6,CMA,Comerica,Financials
20,1191110400,150833333,2007,9,CMA,Comerica,Financials
21,1206921600,149315068,2008,3,CMA,Comerica,Financials
22,1214784000,151351351,2008,6,CMA,Comerica,Financials
23,1222732800,147368421,2008,9,CMA,Comerica,Financials
24,1230681600,150000000,2008,12,CMA,Comerica,Financials
25,1238457600,150000000,2009,3,CMA,Comerica,Financials
26,1246320000,160000000,2009,6,CMA,Comerica,Financials
27,1254268800,150000000,2009,9,CMA,Comerica,Financials
28,1262217600,151000000,2009,12,CMA,Comerica,Financials
29,1269993600,154347826,2010,3,CMA,Comerica,Financials
30,1277856000,172500000,2010,6,CMA,Comerica,Financials
31,1285804800,173529412,2010,9,CMA,Comerica,Financials
32,1293753600,175925926,2010,12,CMA,Comerica,Financials
33,1301529600,175862069,2011,3,CMA,Comerica,Financials
34,1309392000,175925926,2011,6,CMA,Comerica,Financials
35,1317340800,190196078,2011,9,CMA,Comerica,Financials
36,1325289600,197916667,2011,12,CMA,Comerica,Financials
37,1333152000,195454545,2012,3,CMA,Comerica,Financials
38,1341014400,194520548,2012,6,CMA,Comerica,Financials
39,1348963200,190163934,2012,9,CMA,Comerica,Financials
40,1356912000,188235294,2012,12,CMA,Comerica,Financials
41,1364688000,185915493,2013,3,CMA,Comerica,Financials
42,1372550400,183116883,2013,6,CMA,Comerica,Financials
43,1380499200,181250000,2013,9,CMA,Comerica,Financials
44,1388448000,179687500,2013,12,CMA,Comerica,Financials
45,1396224000,180000000,2014,3,CMA,Comerica,Financials
46,1404086400,179518072,2014,6,CMA,Comerica,Financials
47,1412035200,178823529,2014,9,CMA,Comerica,Financials
48,1419984000,178313253,2014,12,CMA,Comerica,Financials
49,1427760000,176000000,2015,3,CMA,Comerica,Financials
50,1435622400,176315789,2015,6,CMA,Comerica,Financials
51,1443571200,176315789,2015,9,CMA,Comerica,Financials
52,1451520000,176923077,2015,12,CMA,Comerica,Financials
53,1459382400,173529412,2016,3,CMA,Comerica,Financials
54,1467244800,171666667,2016,6,CMA,Comerica,Financials
55,1475193600,170114943,2016,9,CMA,Comerica,Financials
56,1483142400,171578947,2016,12,CMA,Comerica,Financials
57,1490918400,173913043,2017,3,CMA,Comerica,Financials
58,1498780800,175652174,2017,6,CMA,Comerica,Financials
59,1506729600,173643411,2017,9,CMA,Comerica,Financials
60,1514678400,172307692,2017,12,CMA,Comerica,Financials
61,1522454400,172222222,2018,3,CMA,Comerica,Financials
62,1530316800,170526316,2018,6,CMA,Comerica,Financials
63,1538265600,167195767,2018,9,CMA,Comerica,Financials
64,1546214400,161256545,2018,12,CMA,Comerica,Financials
65,1553990400,157476636,2019,3,CMA,Comerica,Financials
66,1561852800,152307692,2019,6,CMA,Comerica,Financials
67,1569801600,146464646,2019,9,CMA,Comerica,Financials
68,1577750400,142780749,2019,12,CMA,Comerica,Financials
69,1585612800,141304348,2020,3,CMA,Comerica,Financials
70,1593475200,138271605,2020,6,CMA,Comerica,Financials
71,1601424000,140000000,2020,9,CMA,Comerica,Financials
72,1609372800,139333333,2020,12,CMA,Comerica,Financials
73,1617148800,139430894,2021,3,CMA,Comerica,Financials
74,1625011200,136595745,2021,6,CMA,Comerica,Financials
75,1632960000,132812500,2021,9,CMA,Comerica,Financials
76,1640908800,130769231,2021,12,CMA,Comerica,Financials
77,1648684800,130935252,2022,3,CMA,Comerica,Financials
78,1656547200,131443299,2022,6,CMA,Comerica,Financials
79,1668716784,130418251,2022,11,CMA,Comerica,Financials
