,d,v,years,months,ticker_symbol,security,sector
0,983318400,515400000,2001,2,GS,Goldman Sachs,Financials
1,991267200,513800000,2001,5,GS,Goldman Sachs,Financials
2,999216000,508100000,2001,8,GS,Goldman Sachs,Financials
3,1014854400,500200000,2002,2,GS,Goldman Sachs,Financials
4,1022803200,496800000,2002,5,GS,Goldman Sachs,Financials
5,1030752000,494900000,2002,8,GS,Goldman Sachs,Financials
6,1046390400,489300000,2003,2,GS,Goldman Sachs,Financials
7,1054339200,485800000,2003,5,GS,Goldman Sachs,Financials
8,1062288000,488500000,2003,8,GS,Goldman Sachs,Financials
9,1078012800,492000000,2004,2,GS,Goldman Sachs,Financials
10,1085961600,487900000,2004,5,GS,Goldman Sachs,Financials
11,1093910400,489200000,2004,8,GS,Goldman Sachs,Financials
12,1109548800,494300000,2005,2,GS,Goldman Sachs,Financials
13,1117497600,485400000,2005,5,GS,Goldman Sachs,Financials
14,1125446400,473300000,2005,8,GS,Goldman Sachs,Financials
15,1141084800,457300000,2006,2,GS,Goldman Sachs,Financials
16,1149033600,449700000,2006,5,GS,Goldman Sachs,Financials
17,1156982400,449400000,2006,8,GS,Goldman Sachs,Financials
18,1172620800,444500000,2007,2,GS,Goldman Sachs,Financials
19,1180569600,435800000,2007,5,GS,Goldman Sachs,Financials
20,1188518400,429000000,2007,8,GS,Goldman Sachs,Financials
21,1204243200,432800000,2008,2,GS,Goldman Sachs,Financials
22,1212192000,427500000,2008,5,GS,Goldman Sachs,Financials
23,1220140800,427600000,2008,8,GS,Goldman Sachs,Financials
24,1228003200,459900000,2008,11,GS,Goldman Sachs,Financials
25,1238457600,477400000,2009,3,GS,Goldman Sachs,Financials
26,1246320000,514100000,2009,6,GS,Goldman Sachs,Financials
27,1254268800,525900000,2009,9,GS,Goldman Sachs,Financials
28,1262217600,530500000,2009,12,GS,Goldman Sachs,Financials
29,1269993600,546000000,2010,3,GS,Goldman Sachs,Financials
30,1277856000,539800000,2010,6,GS,Goldman Sachs,Financials
31,1285804800,541200000,2010,9,GS,Goldman Sachs,Financials
32,1293753600,541000000,2010,12,GS,Goldman Sachs,Financials
33,1301529600,540600000,2011,3,GS,Goldman Sachs,Financials
34,1309392000,531900000,2011,6,GS,Goldman Sachs,Financials
35,1317340800,518200000,2011,9,GS,Goldman Sachs,Financials
36,1325289600,508000000,2011,12,GS,Goldman Sachs,Financials
37,1333152000,510800000,2012,3,GS,Goldman Sachs,Financials
38,1341014400,501500000,2012,6,GS,Goldman Sachs,Financials
39,1348963200,491200000,2012,9,GS,Goldman Sachs,Financials
40,1356912000,481500000,2012,12,GS,Goldman Sachs,Financials
41,1364688000,482100000,2013,3,GS,Goldman Sachs,Financials
42,1372550400,473200000,2013,6,GS,Goldman Sachs,Financials
43,1380499200,463400000,2013,9,GS,Goldman Sachs,Financials
44,1388448000,467100000,2013,12,GS,Goldman Sachs,Financials
45,1396224000,468600000,2014,3,GS,Goldman Sachs,Financials
46,1404086400,461700000,2014,6,GS,Goldman Sachs,Financials
47,1412035200,455500000,2014,9,GS,Goldman Sachs,Financials
48,1419984000,450400000,2014,12,GS,Goldman Sachs,Financials
49,1427760000,453300000,2015,3,GS,Goldman Sachs,Financials
50,1435622400,451400000,2015,6,GS,Goldman Sachs,Financials
51,1443571200,449000000,2015,9,GS,Goldman Sachs,Financials
52,1451520000,442200000,2015,12,GS,Goldman Sachs,Financials
53,1459382400,440800000,2016,3,GS,Goldman Sachs,Financials
54,1467244800,431900000,2016,6,GS,Goldman Sachs,Financials
55,1475193600,422400000,2016,9,GS,Goldman Sachs,Financials
56,1483142400,415200000,2016,12,GS,Goldman Sachs,Financials
57,1490918400,412500000,2017,3,GS,Goldman Sachs,Financials
58,1498780800,406100000,2017,6,GS,Goldman Sachs,Financials
59,1506729600,398200000,2017,9,GS,Goldman Sachs,Financials
60,1514678400,389800000,2017,12,GS,Goldman Sachs,Financials
61,1522454400,389100000,2018,3,GS,Goldman Sachs,Financials
62,1530316800,387800000,2018,6,GS,Goldman Sachs,Financials
63,1538265600,385400000,2018,9,GS,Goldman Sachs,Financials
64,1546214400,379500000,2018,12,GS,Goldman Sachs,Financials
65,1553990400,379800000,2019,3,GS,Goldman Sachs,Financials
66,1561852800,374500000,2019,6,GS,Goldman Sachs,Financials
67,1569801600,370000000,2019,9,GS,Goldman Sachs,Financials
68,1577750400,362400000,2019,12,GS,Goldman Sachs,Financials
69,1585612800,358000000,2020,3,GS,Goldman Sachs,Financials
70,1593475200,355700000,2020,6,GS,Goldman Sachs,Financials
71,1601424000,355900000,2020,9,GS,Goldman Sachs,Financials
72,1609372800,356000000,2020,12,GS,Goldman Sachs,Financials
73,1617148800,356600000,2021,3,GS,Goldman Sachs,Financials
74,1625011200,350800000,2021,6,GS,Goldman Sachs,Financials
75,1632960000,348300000,2021,9,GS,Goldman Sachs,Financials
76,1640908800,346600000,2021,12,GS,Goldman Sachs,Financials
77,1648684800,351200000,2022,3,GS,Goldman Sachs,Financials
78,1656547200,355000000,2022,6,GS,Goldman Sachs,Financials
79,1668716913,352800000,2022,11,GS,Goldman Sachs,Financials
