,d,v,years,months,ticker_symbol,security,sector
0,985996800,250998380,2001,3,HBAN,Huntington Bancshares,Financials
1,993859200,251024374,2001,6,HBAN,Huntington Bancshares,Financials
2,1001808000,251147660,2001,9,HBAN,Huntington Bancshares,Financials
3,1017532800,250749000,2002,3,HBAN,Huntington Bancshares,Financials
4,1025395200,246106000,2002,6,HBAN,Huntington Bancshares,Financials
5,1033344000,239925000,2002,9,HBAN,Huntington Bancshares,Financials
6,1049068800,231355000,2003,3,HBAN,Huntington Bancshares,Financials
7,1056931200,228633000,2003,6,HBAN,Huntington Bancshares,Financials
8,1064880000,228715000,2003,9,HBAN,Huntington Bancshares,Financials
9,1080691200,229227000,2004,3,HBAN,Huntington Bancshares,Financials
10,1088553600,229429000,2004,6,HBAN,Huntington Bancshares,Financials
11,1096502400,229848000,2004,9,HBAN,Huntington Bancshares,Financials
12,1112227200,231824000,2005,3,HBAN,Huntington Bancshares,Financials
13,1120089600,232217000,2005,6,HBAN,Huntington Bancshares,Financials
14,1128038400,229830000,2005,9,HBAN,Huntington Bancshares,Financials
15,1143763200,230976000,2006,3,HBAN,Huntington Bancshares,Financials
16,1151625600,241729000,2006,6,HBAN,Huntington Bancshares,Financials
17,1159574400,237672000,2006,9,HBAN,Huntington Bancshares,Financials
18,1175299200,235586000,2007,3,HBAN,Huntington Bancshares,Financials
19,1183161600,236032000,2007,6,HBAN,Huntington Bancshares,Financials
20,1191110400,365895000,2007,9,HBAN,Huntington Bancshares,Financials
21,1206921600,366235000,2008,3,HBAN,Huntington Bancshares,Financials
22,1214784000,366206000,2008,6,HBAN,Huntington Bancshares,Financials
23,1222732800,366124000,2008,9,HBAN,Huntington Bancshares,Financials
24,1230681600,366054000,2008,12,HBAN,Huntington Bancshares,Financials
25,1238457600,366919000,2009,3,HBAN,Huntington Bancshares,Financials
26,1246320000,459246000,2009,6,HBAN,Huntington Bancshares,Financials
27,1254268800,589708000,2009,9,HBAN,Huntington Bancshares,Financials
28,1262217600,715336000,2009,12,HBAN,Huntington Bancshares,Financials
29,1269993600,716320000,2010,3,HBAN,Huntington Bancshares,Financials
30,1277856000,716580000,2010,6,HBAN,Huntington Bancshares,Financials
31,1285804800,716911000,2010,9,HBAN,Huntington Bancshares,Financials
32,1293753600,757924000,2010,12,HBAN,Huntington Bancshares,Financials
33,1301529600,863359000,2011,3,HBAN,Huntington Bancshares,Financials
