,d,v,years,months,ticker_symbol,security,sector
0,985996800,231500000,2001,3,HIG,Hartford (The),Financials
1,993859200,237300000,2001,6,HIG,Hartford (The),Financials
2,1001808000,238000000,2001,9,HIG,Hartford (The),Financials
3,1017532800,246100000,2002,3,HIG,Hartford (The),Financials
4,1025395200,247400000,2002,6,HIG,Hartford (The),Financials
5,1033344000,248900000,2002,9,HIG,Hartford (The),Financials
6,1049068800,255400000,2003,3,HIG,Hartford (The),Financials
7,1056931200,268800000,2003,6,HIG,Hartford (The),Financials
8,1064880000,282500000,2003,9,HIG,Hartford (The),Financials
9,1080691200,289900000,2004,3,HIG,Hartford (The),Financials
10,1088553600,292300000,2004,6,HIG,Hartford (The),Financials
11,1096502400,293200000,2004,9,HIG,Hartford (The),Financials
12,1112227200,294800000,2005,3,HIG,Hartford (The),Financials
13,1120089600,297100000,2005,6,HIG,Hartford (The),Financials
14,1128038400,299200000,2005,9,HIG,Hartford (The),Financials
15,1143763200,302200000,2006,3,HIG,Hartford (The),Financials
16,1151625600,303300000,2006,6,HIG,Hartford (The),Financials
17,1159574400,310000000,2006,9,HIG,Hartford (The),Financials
18,1175299200,319600000,2007,3,HIG,Hartford (The),Financials
19,1183161600,316800000,2007,6,HIG,Hartford (The),Financials
20,1191110400,315400000,2007,9,HIG,Hartford (The),Financials
21,1206921600,313800000,2008,3,HIG,Hartford (The),Financials
22,1214784000,311700000,2008,6,HIG,Hartford (The),Financials
23,1222732800,301100000,2008,9,HIG,Hartford (The),Financials
24,1238457600,320800000,2009,3,HIG,Hartford (The),Financials
25,1246320000,325400000,2009,6,HIG,Hartford (The),Financials
26,1254268800,356100000,2009,9,HIG,Hartford (The),Financials
27,1269993600,393700000,2010,3,HIG,Hartford (The),Financials
28,1277856000,443900000,2010,6,HIG,Hartford (The),Financials
29,1285804800,444100000,2010,9,HIG,Hartford (The),Financials
30,1301529600,444600000,2011,3,HIG,Hartford (The),Financials
31,1309392000,445100000,2011,6,HIG,Hartford (The),Financials
32,1317340800,445300000,2011,9,HIG,Hartford (The),Financials
33,1333152000,440700000,2012,3,HIG,Hartford (The),Financials
34,1341014400,438200000,2012,6,HIG,Hartford (The),Financials
35,1348963200,435800000,2012,9,HIG,Hartford (The),Financials
36,1356912000,436200000,2012,12,HIG,Hartford (The),Financials
37,1364688000,436300000,2013,3,HIG,Hartford (The),Financials
38,1372550400,451400000,2013,6,HIG,Hartford (The),Financials
39,1380499200,452100000,2013,9,HIG,Hartford (The),Financials
40,1388448000,451100000,2013,12,HIG,Hartford (The),Financials
41,1396224000,449800000,2014,3,HIG,Hartford (The),Financials
42,1404086400,450600000,2014,6,HIG,Hartford (The),Financials
43,1412035200,437200000,2014,9,HIG,Hartford (The),Financials
44,1419984000,429600000,2014,12,HIG,Hartford (The),Financials
45,1427760000,422600000,2015,3,HIG,Hartford (The),Financials
46,1435622400,418700000,2015,6,HIG,Hartford (The),Financials
47,1443571200,413800000,2015,9,HIG,Hartford (The),Financials
48,1451520000,406900000,2015,12,HIG,Hartford (The),Financials
49,1459382400,398500000,2016,3,HIG,Hartford (The),Financials
50,1467244800,391800000,2016,6,HIG,Hartford (The),Financials
51,1475193600,383800000,2016,9,HIG,Hartford (The),Financials
52,1490918400,371400000,2017,3,HIG,Hartford (The),Financials
53,1498780800,366000000,2017,6,HIG,Hartford (The),Financials
54,1506729600,360200000,2017,9,HIG,Hartford (The),Financials
55,1514678400,357000000,2017,12,HIG,Hartford (The),Financials
56,1522454400,357500000,2018,3,HIG,Hartford (The),Financials
57,1530316800,358300000,2018,6,HIG,Hartford (The),Financials
58,1538265600,358600000,2018,9,HIG,Hartford (The),Financials
59,1546214400,359100000,2018,12,HIG,Hartford (The),Financials
60,1553990400,360000000,2019,3,HIG,Hartford (The),Financials
61,1561852800,361400000,2019,6,HIG,Hartford (The),Financials
62,1569801600,361400000,2019,9,HIG,Hartford (The),Financials
63,1577750400,360500000,2019,12,HIG,Hartford (The),Financials
64,1585612800,358500000,2020,3,HIG,Hartford (The),Financials
65,1593475200,358100000,2020,6,HIG,Hartford (The),Financials
66,1601424000,358300000,2020,9,HIG,Hartford (The),Financials
67,1609372800,358400000,2020,12,HIG,Hartford (The),Financials
68,1617148800,358200000,2021,3,HIG,Hartford (The),Financials
69,1625011200,353700000,2021,6,HIG,Hartford (The),Financials
70,1632960000,345600000,2021,9,HIG,Hartford (The),Financials
71,1640908800,334925984,2021,12,HIG,Hartford (The),Financials
72,1648684800,332300000,2022,3,HIG,Hartford (The),Financials
73,1656547200,328571429,2022,6,HIG,Hartford (The),Financials
74,1668716928,328571429,2022,11,HIG,Hartford (The),Financials
