,d,v,years,months,ticker_symbol,security,sector
0,985996800,188475294,2001,3,LNC,Lincoln Financial,Financials
1,993859200,186494737,2001,6,LNC,Lincoln Financial,Financials
2,1001808000,188969841,2001,9,LNC,Lincoln Financial,Financials
3,1017532800,185198039,2002,3,LNC,Lincoln Financial,Financials
4,1025395200,185646875,2002,6,LNC,Lincoln Financial,Financials
5,1033344000,181828986,2002,9,LNC,Lincoln Financial,Financials
6,1049068800,180760870,2003,3,LNC,Lincoln Financial,Financials
7,1056931200,176175309,2003,6,LNC,Lincoln Financial,Financials
8,1064880000,177732000,2003,9,LNC,Lincoln Financial,Financials
9,1080691200,178690411,2004,3,LNC,Lincoln Financial,Financials
10,1088553600,178084762,2004,6,LNC,Lincoln Financial,Financials
11,1096502400,175155263,2004,9,LNC,Lincoln Financial,Financials
12,1112227200,173712621,2005,3,LNC,Lincoln Financial,Financials
13,1120089600,172043478,2005,6,LNC,Lincoln Financial,Financials
14,1128038400,172131579,2005,9,LNC,Lincoln Financial,Financials
15,1143763200,174015748,2006,3,LNC,Lincoln Financial,Financials
16,1151625600,279200000,2006,6,LNC,Lincoln Financial,Financials
17,1159574400,277862595,2006,9,LNC,Lincoln Financial,Financials
18,1175299200,275000000,2007,3,LNC,Lincoln Financial,Financials
19,1183161600,270503597,2007,6,LNC,Lincoln Financial,Financials
20,1191110400,270491803,2007,9,LNC,Lincoln Financial,Financials
21,1206921600,260360360,2008,3,LNC,Lincoln Financial,Financials
22,1214784000,257785473,2008,6,LNC,Lincoln Financial,Financials
23,1222732800,255865067,2008,9,LNC,Lincoln Financial,Financials
24,1238457600,255558961,2009,3,LNC,Lincoln Financial,Financials
25,1246320000,255558961,2009,6,LNC,Lincoln Financial,Financials
26,1254268800,301803107,2009,9,LNC,Lincoln Financial,Financials
27,1269993600,255600000,2010,3,LNC,Lincoln Financial,Financials
28,1277856000,304500000,2010,6,LNC,Lincoln Financial,Financials
29,1285804800,301800000,2010,9,LNC,Lincoln Financial,Financials
30,1301529600,302200000,2011,3,LNC,Lincoln Financial,Financials
31,1309392000,313200000,2011,6,LNC,Lincoln Financial,Financials
32,1317340800,304800000,2011,9,LNC,Lincoln Financial,Financials
33,1333152000,289055925,2012,3,LNC,Lincoln Financial,Financials
34,1341014400,279168971,2012,6,LNC,Lincoln Financial,Financials
35,1348963200,277883878,2012,9,LNC,Lincoln Financial,Financials
36,1356912000,271402586,2012,12,LNC,Lincoln Financial,Financials
37,1364688000,270265766,2013,3,LNC,Lincoln Financial,Financials
38,1372550400,266367162,2013,6,LNC,Lincoln Financial,Financials
39,1380499200,262342363,2013,9,LNC,Lincoln Financial,Financials
40,1388448000,262896701,2013,12,LNC,Lincoln Financial,Financials
41,1396224000,263682162,2014,3,LNC,Lincoln Financial,Financials
42,1404086400,260831708,2014,6,LNC,Lincoln Financial,Financials
43,1412035200,259786446,2014,9,LNC,Lincoln Financial,Financials
44,1419984000,256551440,2014,12,LNC,Lincoln Financial,Financials
45,1427760000,252928502,2015,3,LNC,Lincoln Financial,Financials
46,1435622400,250918893,2015,6,LNC,Lincoln Financial,Financials
47,1443571200,247464931,2015,9,LNC,Lincoln Financial,Financials
48,1451520000,243835893,2015,12,LNC,Lincoln Financial,Financials
49,1459382400,239005252,2016,3,LNC,Lincoln Financial,Financials
50,1467244800,232784691,2016,6,LNC,Lincoln Financial,Financials
51,1475193600,228529287,2016,9,LNC,Lincoln Financial,Financials
52,1483142400,226335105,2016,12,LNC,Lincoln Financial,Financials
53,1490918400,224888259,2017,3,LNC,Lincoln Financial,Financials
54,1498780800,222237262,2017,6,LNC,Lincoln Financial,Financials
55,1506729600,219544618,2017,9,LNC,Lincoln Financial,Financials
56,1514678400,218090114,2017,12,LNC,Lincoln Financial,Financials
57,1522454400,218695476,2018,3,LNC,Lincoln Financial,Financials
58,1530316800,217294051,2018,6,LNC,Lincoln Financial,Financials
59,1538265600,214776806,2018,9,LNC,Lincoln Financial,Financials
60,1546214400,205862760,2018,12,LNC,Lincoln Financial,Financials
61,1553990400,202987229,2019,3,LNC,Lincoln Financial,Financials
62,1561852800,200775731,2019,6,LNC,Lincoln Financial,Financials
63,1569801600,198327250,2019,9,LNC,Lincoln Financial,Financials
64,1577750400,196668532,2019,12,LNC,Lincoln Financial,Financials
65,1585612800,193208244,2020,3,LNC,Lincoln Financial,Financials
66,1593475200,193247103,2020,6,LNC,Lincoln Financial,Financials
67,1601424000,193254948,2020,9,LNC,Lincoln Financial,Financials
68,1609372800,192329691,2020,12,LNC,Lincoln Financial,Financials
69,1617148800,191149192,2021,3,LNC,Lincoln Financial,Financials
70,1625011200,189089948,2021,6,LNC,Lincoln Financial,Financials
71,1632960000,186089222,2021,9,LNC,Lincoln Financial,Financials
72,1640908800,177193515,2021,12,LNC,Lincoln Financial,Financials
73,1648684800,176400000,2022,3,LNC,Lincoln Financial,Financials
74,1656547200,172700000,2022,6,LNC,Lincoln Financial,Financials
75,1668717024,172700000,2022,11,LNC,Lincoln Financial,Financials
