,d,v,years,months,ticker_symbol,security,sector
0,985996800,755263158,2001,3,MET,MetLife,Financials
1,993859200,744186047,2001,6,MET,MetLife,Financials
2,1001808000,736363636,2001,9,MET,MetLife,Financials
3,1017532800,715217391,2002,3,MET,MetLife,Financials
4,1025395200,703636364,2002,6,MET,MetLife,Financials
5,1033344000,697872340,2002,9,MET,MetLife,Financials
6,1049068800,738775510,2003,3,MET,MetLife,Financials
7,1056931200,734177215,2003,6,MET,MetLife,Financials
8,1064880000,765333333,2003,9,MET,MetLife,Financials
9,1080691200,757971014,2004,3,MET,MetLife,Financials
10,1088553600,751587302,2004,6,MET,MetLife,Financials
11,1096502400,747311828,2004,9,MET,MetLife,Financials
12,1112227200,736567164,2005,3,MET,MetLife,Financials
13,1120089600,736065574,2005,6,MET,MetLife,Financials
14,1128038400,757142857,2005,9,MET,MetLife,Financials
15,1143763200,759574468,2006,3,MET,MetLife,Financials
16,1151625600,761728395,2006,6,MET,MetLife,Financials
17,1159574400,762595420,2006,9,MET,MetLife,Financials
18,1175299200,750381679,2007,3,MET,MetLife,Financials
19,1183161600,742763158,2007,6,MET,MetLife,Financials
20,1191110400,746212121,2007,9,MET,MetLife,Financials
21,1206921600,723529412,2008,3,MET,MetLife,Financials
22,1214784000,712837796,2008,6,MET,MetLife,Financials
23,1222732800,716011791,2008,9,MET,MetLife,Financials
24,1238457600,809101944,2009,3,MET,MetLife,Financials
25,1246320000,821594380,2009,6,MET,MetLife,Financials
26,1254268800,815068638,2009,9,MET,MetLife,Financials
27,1269993600,819393009,2010,3,MET,MetLife,Financials
28,1277856000,822654945,2010,6,MET,MetLife,Financials
29,1285804800,906909597,2010,9,MET,MetLife,Financials
30,1301529600,1056082512,2011,3,MET,MetLife,Financials
31,1309392000,1057391108,2011,6,MET,MetLife,Financials
32,1317340800,1060200000,2011,9,MET,MetLife,Financials
33,1333152000,1064300000,2012,3,MET,MetLife,Financials
34,1341014400,1064700000,2012,6,MET,MetLife,Financials
35,1348963200,1065000000,2012,9,MET,MetLife,Financials
36,1356912000,1091000000,2012,12,MET,MetLife,Financials
37,1364688000,1096900000,2013,3,MET,MetLife,Financials
38,1372550400,1097900000,2013,6,MET,MetLife,Financials
39,1380499200,1104900000,2013,9,MET,MetLife,Financials
40,1388448000,1123700000,2013,12,MET,MetLife,Financials
41,1396224000,1126900000,2014,3,MET,MetLife,Financials
42,1404086400,1104900000,2014,6,MET,MetLife,Financials
43,1412035200,1125100000,2014,9,MET,MetLife,Financials
44,1419984000,1131900000,2014,12,MET,MetLife,Financials
45,1427760000,1125700000,2015,3,MET,MetLife,Financials
46,1435622400,1117800000,2015,6,MET,MetLife,Financials
47,1443571200,1118900000,2015,9,MET,MetLife,Financials
48,1451520000,1110900000,2015,12,MET,MetLife,Financials
49,1459382400,1100800000,2016,3,MET,MetLife,Financials
50,1467244800,1100300000,2016,6,MET,MetLife,Financials
51,1475193600,1100500000,2016,9,MET,MetLife,Financials
52,1483142400,1100200000,2016,12,MET,MetLife,Financials
53,1490918400,1090400000,2017,3,MET,MetLife,Financials
54,1498780800,1074000000,2017,6,MET,MetLife,Financials
55,1506729600,1062300000,2017,9,MET,MetLife,Financials
56,1514678400,1052500000,2017,12,MET,MetLife,Financials
57,1522454400,1035900000,2018,3,MET,MetLife,Financials
58,1530316800,1015600000,2018,6,MET,MetLife,Financials
59,1538265600,986644069,2018,9,MET,MetLife,Financials
60,1546214400,980300000,2018,12,MET,MetLife,Financials
61,1553990400,956500000,2019,3,MET,MetLife,Financials
62,1561852800,946200000,2019,6,MET,MetLife,Financials
63,1569801600,929600000,2019,9,MET,MetLife,Financials
64,1577750400,918700000,2019,12,MET,MetLife,Financials
65,1585612800,914100000,2020,3,MET,MetLife,Financials
66,1593475200,908800000,2020,6,MET,MetLife,Financials
67,1601424000,908700000,2020,9,MET,MetLife,Financials
68,1609372800,899900000,2020,12,MET,MetLife,Financials
69,1617148800,878312175,2021,3,MET,MetLife,Financials
70,1625011200,873300000,2021,6,MET,MetLife,Financials
71,1632960000,854900000,2021,9,MET,MetLife,Financials
72,1640908800,838100000,2021,12,MET,MetLife,Financials
73,1648684800,830500000,2022,3,MET,MetLife,Financials
74,1656547200,809700000,2022,6,MET,MetLife,Financials
75,1668717101,809700000,2022,11,MET,MetLife,Financials
