,d,v,years,months,ticker_symbol,security,sector
0,1080691200,3295931,2004,3,MKTX,MarketAxess,Financials
1,1088553600,3298192,2004,6,MKTX,MarketAxess,Financials
2,1096502400,3304257,2004,9,MKTX,MarketAxess,Financials
3,1112227200,27427508,2005,3,MKTX,MarketAxess,Financials
4,1120089600,27727594,2005,6,MKTX,MarketAxess,Financials
5,1128038400,28316845,2005,9,MKTX,MarketAxess,Financials
6,1143763200,29814296,2006,3,MKTX,MarketAxess,Financials
7,1151625600,29837704,2006,6,MKTX,MarketAxess,Financials
8,1159574400,31319771,2006,9,MKTX,MarketAxess,Financials
9,1175299200,30813478,2007,3,MKTX,MarketAxess,Financials
10,1183161600,32927868,2007,6,MKTX,MarketAxess,Financials
11,1191110400,32828978,2007,9,MKTX,MarketAxess,Financials
12,1206921600,32413129,2008,3,MKTX,MarketAxess,Financials
13,1214784000,32931838,2008,6,MKTX,MarketAxess,Financials
14,1222732800,32952000,2008,9,MKTX,MarketAxess,Financials
15,1238457600,33183476,2009,3,MKTX,MarketAxess,Financials
16,1246320000,33256000,2009,6,MKTX,MarketAxess,Financials
17,1254268800,33287000,2009,9,MKTX,MarketAxess,Financials
18,1269993600,33626000,2010,3,MKTX,MarketAxess,Financials
19,1277856000,33733000,2010,6,MKTX,MarketAxess,Financials
20,1285804800,32945000,2010,9,MKTX,MarketAxess,Financials
21,1301529600,36507000,2011,3,MKTX,MarketAxess,Financials
22,1309392000,36762000,2011,6,MKTX,MarketAxess,Financials
23,1317340800,37126000,2011,9,MKTX,MarketAxess,Financials
24,1333152000,36934000,2012,3,MKTX,MarketAxess,Financials
25,1341014400,36128000,2012,6,MKTX,MarketAxess,Financials
26,1348963200,36500000,2012,9,MKTX,MarketAxess,Financials
27,1356912000,36501000,2012,12,MKTX,MarketAxess,Financials
28,1364688000,36774000,2013,3,MKTX,MarketAxess,Financials
29,1372550400,36868000,2013,6,MKTX,MarketAxess,Financials
30,1380499200,36919000,2013,9,MKTX,MarketAxess,Financials
31,1388448000,36982000,2013,12,MKTX,MarketAxess,Financials
32,1396224000,37121000,2014,3,MKTX,MarketAxess,Financials
33,1404086400,37015000,2014,6,MKTX,MarketAxess,Financials
34,1412035200,36856000,2014,9,MKTX,MarketAxess,Financials
35,1419984000,36729000,2014,12,MKTX,MarketAxess,Financials
36,1427760000,36706000,2015,3,MKTX,MarketAxess,Financials
37,1435622400,36699000,2015,6,MKTX,MarketAxess,Financials
38,1443571200,36681000,2015,9,MKTX,MarketAxess,Financials
39,1451520000,36673000,2015,12,MKTX,MarketAxess,Financials
40,1459382400,36775000,2016,3,MKTX,MarketAxess,Financials
41,1467244800,36876000,2016,6,MKTX,MarketAxess,Financials
42,1475193600,36889000,2016,9,MKTX,MarketAxess,Financials
43,1483142400,36837000,2016,12,MKTX,MarketAxess,Financials
44,1490918400,36850000,2017,3,MKTX,MarketAxess,Financials
45,1498780800,36853000,2017,6,MKTX,MarketAxess,Financials
46,1506729600,36865000,2017,9,MKTX,MarketAxess,Financials
47,1514678400,36887000,2017,12,MKTX,MarketAxess,Financials
48,1522454400,36954000,2018,3,MKTX,MarketAxess,Financials
49,1530316800,36950000,2018,6,MKTX,MarketAxess,Financials
50,1538265600,36951000,2018,9,MKTX,MarketAxess,Financials
51,1546214400,36978000,2018,12,MKTX,MarketAxess,Financials
52,1553990400,37043000,2019,3,MKTX,MarketAxess,Financials
53,1561852800,37049000,2019,6,MKTX,MarketAxess,Financials
54,1569801600,37066000,2019,9,MKTX,MarketAxess,Financials
55,1577750400,37176000,2019,12,MKTX,MarketAxess,Financials
56,1585612800,37303000,2020,3,MKTX,MarketAxess,Financials
57,1593475200,37340000,2020,6,MKTX,MarketAxess,Financials
58,1601424000,37386000,2020,9,MKTX,MarketAxess,Financials
59,1609372800,37405000,2020,12,MKTX,MarketAxess,Financials
60,1617148800,37470000,2021,3,MKTX,MarketAxess,Financials
61,1625011200,37508000,2021,6,MKTX,MarketAxess,Financials
62,1632960000,37529000,2021,9,MKTX,MarketAxess,Financials
63,1640908800,37527000,2021,12,MKTX,MarketAxess,Financials
64,1648684800,37384000,2022,3,MKTX,MarketAxess,Financials
65,1656547200,37529000,2022,6,MKTX,MarketAxess,Financials
66,1668717071,37479000,2022,11,MKTX,MarketAxess,Financials
