,d,v,years,months,ticker_symbol,security,sector
0,985996800,95427000,2001,3,MTB,M&T Bank,Financials
1,993859200,97125000,2001,6,MTB,M&T Bank,Financials
2,1001808000,96115000,2001,9,MTB,M&T Bank,Financials
3,1017532800,93265000,2002,3,MTB,M&T Bank,Financials
4,1025395200,92608000,2002,6,MTB,M&T Bank,Financials
5,1033344000,92017000,2002,9,MTB,M&T Bank,Financials
6,1049068800,92399000,2003,3,MTB,M&T Bank,Financials
7,1056931200,119393000,2003,6,MTB,M&T Bank,Financials
8,1064880000,119727000,2003,9,MTB,M&T Bank,Financials
9,1080691200,119738000,2004,3,MTB,M&T Bank,Financials
10,1088553600,118224000,2004,6,MTB,M&T Bank,Financials
11,1096502400,116897000,2004,9,MTB,M&T Bank,Financials
12,1112227200,114773000,2005,3,MTB,M&T Bank,Financials
13,1120089600,113949000,2005,6,MTB,M&T Bank,Financials
14,1128038400,113530000,2005,9,MTB,M&T Bank,Financials
15,1143763200,111693000,2006,3,MTB,M&T Bank,Financials
16,1151625600,111259000,2006,6,MTB,M&T Bank,Financials
17,1159574400,111047000,2006,9,MTB,M&T Bank,Financials
18,1175299200,109694000,2007,3,MTB,M&T Bank,Financials
19,1183161600,107939000,2007,6,MTB,M&T Bank,Financials
20,1191110400,107056000,2007,9,MTB,M&T Bank,Financials
21,1206921600,110017000,2008,3,MTB,M&T Bank,Financials
22,1214784000,110191000,2008,6,MTB,M&T Bank,Financials
23,1222732800,109861446,2008,9,MTB,M&T Bank,Financials
24,1238457600,110439000,2009,3,MTB,M&T Bank,Financials
25,1246320000,112544444,2009,6,MTB,M&T Bank,Financials
26,1254268800,117416495,2009,9,MTB,M&T Bank,Financials
27,1269993600,119259483,2010,3,MTB,M&T Bank,Financials
28,1277856000,128400680,2010,6,MTB,M&T Bank,Financials
29,1285804800,128869128,2010,9,MTB,M&T Bank,Financials
30,1301529600,129731447,2011,3,MTB,M&T Bank,Financials
31,1309392000,132657613,2011,6,MTB,M&T Bank,Financials
32,1317340800,124575000,2011,9,MTB,M&T Bank,Financials
33,1333152000,125616000,2012,3,MTB,M&T Bank,Financials
34,1341014400,136479532,2012,6,MTB,M&T Bank,Financials
35,1348963200,134615596,2012,9,MTB,M&T Bank,Financials
36,1356912000,135868349,2012,12,MTB,M&T Bank,Financials
37,1364688000,137056500,2013,3,MTB,M&T Bank,Financials
38,1372550400,136119531,2013,6,MTB,M&T Bank,Financials
39,1380499200,138253052,2013,9,MTB,M&T Bank,Financials
40,1388448000,141033121,2013,12,MTB,M&T Bank,Financials
41,1396224000,140501227,2014,3,MTB,M&T Bank,Financials
42,1404086400,142882412,2014,6,MTB,M&T Bank,Financials
43,1412035200,143408333,2014,9,MTB,M&T Bank,Financials
44,1419984000,131730052,2014,12,MTB,M&T Bank,Financials
45,1427760000,131829518,2015,3,MTB,M&T Bank,Financials
46,1435622400,132402513,2015,6,MTB,M&T Bank,Financials
47,1443571200,132652577,2015,9,MTB,M&T Bank,Financials
48,1451520000,150338788,2015,12,MTB,M&T Bank,Financials
49,1459382400,158475862,2016,3,MTB,M&T Bank,Financials
50,1467244800,158067677,2016,6,MTB,M&T Bank,Financials
51,1475193600,155713333,2016,9,MTB,M&T Bank,Financials
52,1483142400,155453030,2016,12,MTB,M&T Bank,Financials
53,1490918400,154256808,2017,3,MTB,M&T Bank,Financials
54,1498780800,152822881,2017,6,MTB,M&T Bank,Financials
55,1506729600,151263063,2017,9,MTB,M&T Bank,Financials
56,1514678400,150490547,2017,12,MTB,M&T Bank,Financials
57,1522454400,148548661,2018,3,MTB,M&T Bank,Financials
58,1530316800,144969325,2018,6,MTB,M&T Bank,Financials
59,1538265600,142758475,2018,9,MTB,M&T Bank,Financials
60,1546214400,139714894,2018,12,MTB,M&T Bank,Financials
61,1553990400,137936119,2019,3,MTB,M&T Bank,Financials
62,1561852800,135518862,2019,6,MTB,M&T Bank,Financials
63,1569801600,132971182,2019,9,MTB,M&T Bank,Financials
64,1577750400,131492222,2019,12,MTB,M&T Bank,Financials
65,1585612800,129896891,2020,3,MTB,M&T Bank,Financials
66,1593475200,128217816,2020,6,MTB,M&T Bank,Financials
67,1601424000,128509091,2020,9,MTB,M&T Bank,Financials
68,1609372800,128371875,2020,12,MTB,M&T Bank,Financials
69,1617148800,128556456,2021,3,MTB,M&T Bank,Financials
70,1625011200,128668328,2021,6,MTB,M&T Bank,Financials
71,1632960000,128638108,2021,9,MTB,M&T Bank,Financials
72,1640908800,128834125,2021,12,MTB,M&T Bank,Financials
73,1648684800,129121673,2022,3,MTB,M&T Bank,Financials
74,1656547200,177996296,2022,6,MTB,M&T Bank,Financials
75,1668717055,174803944,2022,11,MTB,M&T Bank,Financials
