,d,v,years,months,ticker_symbol,security,sector
0,985996800,374185714,2001,3,NDAQ,"Nasdaq, Inc.",Financials
1,993859200,345564706,2001,6,NDAQ,"Nasdaq, Inc.",Financials
2,1001808000,340500000,2001,9,NDAQ,"Nasdaq, Inc.",Financials
3,1017532800,234116739,2002,3,NDAQ,"Nasdaq, Inc.",Financials
4,1025395200,237337500,2002,6,NDAQ,"Nasdaq, Inc.",Financials
5,1033344000,237000000,2002,9,NDAQ,"Nasdaq, Inc.",Financials
6,1049068800,235020798,2003,3,NDAQ,"Nasdaq, Inc.",Financials
7,1056931200,234327273,2003,6,NDAQ,"Nasdaq, Inc.",Financials
8,1064880000,233942308,2003,9,NDAQ,"Nasdaq, Inc.",Financials
9,1080691200,274800000,2004,3,NDAQ,"Nasdaq, Inc.",Financials
10,1088553600,185700000,2004,6,NDAQ,"Nasdaq, Inc.",Financials
11,1096502400,243337500,2004,9,NDAQ,"Nasdaq, Inc.",Financials
12,1112227200,232371429,2005,3,NDAQ,"Nasdaq, Inc.",Financials
13,1120089600,234540000,2005,6,NDAQ,"Nasdaq, Inc.",Financials
14,1128038400,246390000,2005,9,NDAQ,"Nasdaq, Inc.",Financials
15,1143763200,259470000,2006,3,NDAQ,"Nasdaq, Inc.",Financials
16,1151625600,312075000,2006,6,NDAQ,"Nasdaq, Inc.",Financials
17,1159574400,335844444,2006,9,NDAQ,"Nasdaq, Inc.",Financials
18,1175299200,343425000,2007,3,NDAQ,"Nasdaq, Inc.",Financials
19,1183161600,336768000,2007,6,NDAQ,"Nasdaq, Inc.",Financials
20,1191110400,339002786,2007,9,NDAQ,"Nasdaq, Inc.",Financials
21,1206921600,485452000,2008,3,NDAQ,"Nasdaq, Inc.",Financials
22,1214784000,599164272,2008,6,NDAQ,"Nasdaq, Inc.",Financials
23,1222732800,599931975,2008,9,NDAQ,"Nasdaq, Inc.",Financials
24,1238457600,605835618,2009,3,NDAQ,"Nasdaq, Inc.",Financials
25,1246320000,606000000,2009,6,NDAQ,"Nasdaq, Inc.",Financials
26,1254268800,609934002,2009,9,NDAQ,"Nasdaq, Inc.",Financials
27,1269993600,633496014,2010,3,NDAQ,"Nasdaq, Inc.",Financials
28,1277856000,618000000,2010,6,NDAQ,"Nasdaq, Inc.",Financials
29,1285804800,600346449,2010,9,NDAQ,"Nasdaq, Inc.",Financials
30,1301529600,528000000,2011,3,NDAQ,"Nasdaq, Inc.",Financials
31,1309392000,531000000,2011,6,NDAQ,"Nasdaq, Inc.",Financials
32,1317340800,531291843,2011,9,NDAQ,"Nasdaq, Inc.",Financials
33,1333152000,519000000,2012,3,NDAQ,"Nasdaq, Inc.",Financials
34,1341014400,507000000,2012,6,NDAQ,"Nasdaq, Inc.",Financials
35,1348963200,498705798,2012,9,NDAQ,"Nasdaq, Inc.",Financials
36,1356912000,493500000,2012,12,NDAQ,"Nasdaq, Inc.",Financials
37,1364688000,497100000,2013,3,NDAQ,"Nasdaq, Inc.",Financials
38,1372550400,499200000,2013,6,NDAQ,"Nasdaq, Inc.",Financials
39,1380499200,501900000,2013,9,NDAQ,"Nasdaq, Inc.",Financials
40,1388448000,504900000,2013,12,NDAQ,"Nasdaq, Inc.",Financials
41,1396224000,508800000,2014,3,NDAQ,"Nasdaq, Inc.",Financials
42,1404086400,507900000,2014,6,NDAQ,"Nasdaq, Inc.",Financials
43,1412035200,505800000,2014,9,NDAQ,"Nasdaq, Inc.",Financials
44,1419984000,504600000,2014,12,NDAQ,"Nasdaq, Inc.",Financials
45,1427760000,507000000,2015,3,NDAQ,"Nasdaq, Inc.",Financials
46,1435622400,506100000,2015,6,NDAQ,"Nasdaq, Inc.",Financials
47,1443571200,500700000,2015,9,NDAQ,"Nasdaq, Inc.",Financials
48,1451520000,493800000,2015,12,NDAQ,"Nasdaq, Inc.",Financials
49,1459382400,492900000,2016,3,NDAQ,"Nasdaq, Inc.",Financials
50,1467244800,495000000,2016,6,NDAQ,"Nasdaq, Inc.",Financials
51,1475193600,496800000,2016,9,NDAQ,"Nasdaq, Inc.",Financials
52,1483142400,497400000,2016,12,NDAQ,"Nasdaq, Inc.",Financials
53,1490918400,499500000,2017,3,NDAQ,"Nasdaq, Inc.",Financials
54,1498780800,496200000,2017,6,NDAQ,"Nasdaq, Inc.",Financials
55,1506729600,500100000,2017,9,NDAQ,"Nasdaq, Inc.",Financials
56,1514678400,500700000,2017,12,NDAQ,"Nasdaq, Inc.",Financials
57,1522454400,500700000,2018,3,NDAQ,"Nasdaq, Inc.",Financials
58,1530316800,497100000,2018,6,NDAQ,"Nasdaq, Inc.",Financials
59,1538265600,492600000,2018,9,NDAQ,"Nasdaq, Inc.",Financials
60,1546214400,493500000,2018,12,NDAQ,"Nasdaq, Inc.",Financials
61,1553990400,495900000,2019,3,NDAQ,"Nasdaq, Inc.",Financials
62,1561852800,496800000,2019,6,NDAQ,"Nasdaq, Inc.",Financials
