,d,v,years,months,ticker_symbol,security,sector
0,1001808000,361875000,2001,9,PFG,Principal Financial Group,Financials
1,1017532800,349000000,2002,3,PFG,Principal Financial Group,Financials
2,1025395200,353529412,2002,6,PFG,Principal Financial Group,Financials
3,1033344000,344347826,2002,9,PFG,Principal Financial Group,Financials
4,1049068800,331276596,2003,3,PFG,Principal Financial Group,Financials
5,1056931200,326129032,2003,6,PFG,Principal Financial Group,Financials
6,1064880000,322835821,2003,9,PFG,Principal Financial Group,Financials
7,1080691200,322666667,2004,3,PFG,Principal Financial Group,Financials
8,1088553600,315000000,2004,6,PFG,Principal Financial Group,Financials
9,1096502400,311250000,2004,9,PFG,Principal Financial Group,Financials
10,1112227200,297826087,2005,3,PFG,Principal Financial Group,Financials
11,1120089600,287831325,2005,6,PFG,Principal Financial Group,Financials
12,1128038400,280000000,2005,9,PFG,Principal Financial Group,Financials
13,1143763200,280098039,2006,3,PFG,Principal Financial Group,Financials
14,1151625600,273376623,2006,6,PFG,Principal Financial Group,Financials
15,1159574400,269892473,2006,9,PFG,Principal Financial Group,Financials
16,1175299200,267812500,2007,3,PFG,Principal Financial Group,Financials
17,1183161600,266491228,2007,6,PFG,Principal Financial Group,Financials
18,1191110400,263977273,2007,9,PFG,Principal Financial Group,Financials
19,1206921600,260000000,2008,3,PFG,Principal Financial Group,Financials
20,1214784000,259100000,2008,6,PFG,Principal Financial Group,Financials
21,1222732800,259500000,2008,9,PFG,Principal Financial Group,Financials
22,1238457600,260000000,2009,3,PFG,Principal Financial Group,Financials
23,1246320000,289900000,2009,6,PFG,Principal Financial Group,Financials
24,1254268800,319100000,2009,9,PFG,Principal Financial Group,Financials
25,1269993600,319800000,2010,3,PFG,Principal Financial Group,Financials
26,1277856000,320100000,2010,6,PFG,Principal Financial Group,Financials
27,1285804800,320300000,2010,9,PFG,Principal Financial Group,Financials
28,1301529600,321300000,2011,3,PFG,Principal Financial Group,Financials
29,1309392000,320000000,2011,6,PFG,Principal Financial Group,Financials
30,1317340800,311900000,2011,9,PFG,Principal Financial Group,Financials
31,1333152000,300900000,2012,3,PFG,Principal Financial Group,Financials
32,1341014400,301900000,2012,6,PFG,Principal Financial Group,Financials
33,1348963200,297500000,2012,9,PFG,Principal Financial Group,Financials
34,1356912000,293800000,2012,12,PFG,Principal Financial Group,Financials
35,1364688000,293300000,2013,3,PFG,Principal Financial Group,Financials
36,1372550400,293900000,2013,6,PFG,Principal Financial Group,Financials
37,1380499200,293900000,2013,9,PFG,Principal Financial Group,Financials
38,1385769600,298600000,2013,11,PFG,Principal Financial Group,Financials
39,1388448000,295200000,2013,12,PFG,Principal Financial Group,Financials
40,1396224000,295800000,2014,3,PFG,Principal Financial Group,Financials
41,1404086400,293800000,2014,6,PFG,Principal Financial Group,Financials
42,1412035200,293600000,2014,9,PFG,Principal Financial Group,Financials
43,1419984000,293900000,2014,12,PFG,Principal Financial Group,Financials
44,1427760000,294400000,2015,3,PFG,Principal Financial Group,Financials
45,1435622400,294700000,2015,6,PFG,Principal Financial Group,Financials
46,1443571200,293500000,2015,9,PFG,Principal Financial Group,Financials
47,1459382400,291500000,2016,3,PFG,Principal Financial Group,Financials
48,1467244800,289900000,2016,6,PFG,Principal Financial Group,Financials
49,1475193600,288100000,2016,9,PFG,Principal Financial Group,Financials
50,1490918400,288300000,2017,3,PFG,Principal Financial Group,Financials
51,1498780800,288900000,2017,6,PFG,Principal Financial Group,Financials
52,1506729600,289300000,2017,9,PFG,Principal Financial Group,Financials
53,1522454400,289400000,2018,3,PFG,Principal Financial Group,Financials
54,1530316800,286400000,2018,6,PFG,Principal Financial Group,Financials
55,1538265600,284900000,2018,9,PFG,Principal Financial Group,Financials
56,1553990400,278700000,2019,3,PFG,Principal Financial Group,Financials
57,1561852800,279000000,2019,6,PFG,Principal Financial Group,Financials
58,1569801600,279000000,2019,9,PFG,Principal Financial Group,Financials
59,1585612800,273388576,2020,3,PFG,Principal Financial Group,Financials
60,1593475200,274000000,2020,6,PFG,Principal Financial Group,Financials
61,1601424000,274500000,2020,9,PFG,Principal Financial Group,Financials
62,1617148800,272500000,2021,3,PFG,Principal Financial Group,Financials
63,1625011200,269000000,2021,6,PFG,Principal Financial Group,Financials
64,1632960000,266100000,2021,9,PFG,Principal Financial Group,Financials
65,1648684800,252200000,2022,3,PFG,Principal Financial Group,Financials
66,1656547200,249900000,2022,6,PFG,Principal Financial Group,Financials
67,1668717215,249900000,2022,11,PFG,Principal Financial Group,Financials
