,d,v,years,months,ticker_symbol,security,sector
0,985996800,883200000,2001,3,PGR,Progressive Corporation,Financials
1,993859200,886800000,2001,6,PGR,Progressive Corporation,Financials
2,1001808000,883200000,2001,9,PGR,Progressive Corporation,Financials
3,1017532800,882000000,2002,3,PGR,Progressive Corporation,Financials
4,1025395200,879200000,2002,6,PGR,Progressive Corporation,Financials
5,1033344000,871600000,2002,9,PGR,Progressive Corporation,Financials
6,1049068800,871600000,2003,3,PGR,Progressive Corporation,Financials
7,1056931200,870400000,2003,6,PGR,Progressive Corporation,Financials
8,1064880000,867600000,2003,9,PGR,Progressive Corporation,Financials
9,1080691200,865600000,2004,3,PGR,Progressive Corporation,Financials
10,1088553600,865200000,2004,6,PGR,Progressive Corporation,Financials
11,1096502400,864000000,2004,9,PGR,Progressive Corporation,Financials
12,1112227200,796000000,2005,3,PGR,Progressive Corporation,Financials
13,1120089600,788400000,2005,6,PGR,Progressive Corporation,Financials
14,1128038400,783200000,2005,9,PGR,Progressive Corporation,Financials
15,1143763200,781200000,2006,3,PGR,Progressive Corporation,Financials
16,1151625600,776100000,2006,6,PGR,Progressive Corporation,Financials
17,1159574400,763200000,2006,9,PGR,Progressive Corporation,Financials
18,1175299200,737800000,2007,3,PGR,Progressive Corporation,Financials
19,1183161600,721800000,2007,6,PGR,Progressive Corporation,Financials
20,1191110400,702600000,2007,9,PGR,Progressive Corporation,Financials
21,1206921600,671500000,2008,3,PGR,Progressive Corporation,Financials
22,1214784000,667400000,2008,6,PGR,Progressive Corporation,Financials
23,1222732800,666300000,2008,9,PGR,Progressive Corporation,Financials
24,1238457600,668600000,2009,3,PGR,Progressive Corporation,Financials
25,1246320000,669200000,2009,6,PGR,Progressive Corporation,Financials
26,1254268800,666700000,2009,9,PGR,Progressive Corporation,Financials
27,1269993600,661400000,2010,3,PGR,Progressive Corporation,Financials
28,1277856000,660400000,2010,6,PGR,Progressive Corporation,Financials
29,1285804800,655800000,2010,9,PGR,Progressive Corporation,Financials
30,1301529600,651800000,2011,3,PGR,Progressive Corporation,Financials
31,1309392000,643600000,2011,6,PGR,Progressive Corporation,Financials
32,1317340800,626900000,2011,9,PGR,Progressive Corporation,Financials
33,1333152000,606200000,2012,3,PGR,Progressive Corporation,Financials
34,1341014400,604800000,2012,6,PGR,Progressive Corporation,Financials
35,1348963200,601900000,2012,9,PGR,Progressive Corporation,Financials
36,1364688000,600600000,2013,3,PGR,Progressive Corporation,Financials
37,1372550400,599500000,2013,6,PGR,Progressive Corporation,Financials
38,1380499200,598900000,2013,9,PGR,Progressive Corporation,Financials
39,1396224000,593900000,2014,3,PGR,Progressive Corporation,Financials
40,1404086400,591200000,2014,6,PGR,Progressive Corporation,Financials
41,1412035200,589800000,2014,9,PGR,Progressive Corporation,Financials
42,1427760000,587600000,2015,3,PGR,Progressive Corporation,Financials
43,1435622400,585700000,2015,6,PGR,Progressive Corporation,Financials
44,1443571200,585200000,2015,9,PGR,Progressive Corporation,Financials
45,1459382400,583200000,2016,3,PGR,Progressive Corporation,Financials
46,1467244800,582400000,2016,6,PGR,Progressive Corporation,Financials
47,1475193600,581500000,2016,9,PGR,Progressive Corporation,Financials
48,1490918400,580300000,2017,3,PGR,Progressive Corporation,Financials
49,1498780800,580500000,2017,6,PGR,Progressive Corporation,Financials
50,1506729600,581300000,2017,9,PGR,Progressive Corporation,Financials
51,1522454400,582000000,2018,3,PGR,Progressive Corporation,Financials
52,1530316800,582000000,2018,6,PGR,Progressive Corporation,Financials
53,1538265600,582700000,2018,9,PGR,Progressive Corporation,Financials
54,1553990400,583500000,2019,3,PGR,Progressive Corporation,Financials
55,1561852800,583600000,2019,6,PGR,Progressive Corporation,Financials
56,1569801600,584100000,2019,9,PGR,Progressive Corporation,Financials
57,1585612800,584700000,2020,3,PGR,Progressive Corporation,Financials
58,1593475200,584900000,2020,6,PGR,Progressive Corporation,Financials
59,1601424000,585200000,2020,9,PGR,Progressive Corporation,Financials
60,1617148800,584900000,2021,3,PGR,Progressive Corporation,Financials
61,1625011200,584600000,2021,6,PGR,Progressive Corporation,Financials
62,1632960000,584700000,2021,9,PGR,Progressive Corporation,Financials
63,1648684800,584300000,2022,3,PGR,Progressive Corporation,Financials
64,1656547200,584300000,2022,6,PGR,Progressive Corporation,Financials
65,1668717231,584300000,2022,11,PGR,Progressive Corporation,Financials
