,d,v,years,months,ticker_symbol,security,sector
0,985996800,162591225,2001,3,RJF,Raymond James,Financials
1,993859200,162114750,2001,6,RJF,Raymond James,Financials
2,1009756800,163272375,2001,12,RJF,Raymond James,Financials
3,1017532800,162676434,2002,3,RJF,Raymond James,Financials
4,1025395200,164916000,2002,6,RJF,Raymond James,Financials
5,1041292800,164571750,2002,12,RJF,Raymond James,Financials
6,1049068800,165252763,2003,3,RJF,Raymond James,Financials
7,1056931200,163775250,2003,6,RJF,Raymond James,Financials
8,1072828800,163981125,2003,12,RJF,Raymond James,Financials
9,1080691200,164160293,2004,3,RJF,Raymond James,Financials
10,1088553600,165582000,2004,6,RJF,Raymond James,Financials
11,1104451200,166504500,2004,12,RJF,Raymond James,Financials
12,1112227200,166019650,2005,3,RJF,Raymond James,Financials
13,1120089600,165741750,2005,6,RJF,Raymond James,Financials
14,1135987200,167251500,2005,12,RJF,Raymond James,Financials
15,1143763200,169791000,2006,3,RJF,Raymond James,Financials
16,1151625600,170196000,2006,6,RJF,Raymond James,Financials
17,1167523200,171508500,2006,12,RJF,Raymond James,Financials
18,1175299200,173553000,2007,3,RJF,Raymond James,Financials
19,1183161600,174202500,2007,6,RJF,Raymond James,Financials
20,1199059200,175321500,2007,12,RJF,Raymond James,Financials
21,1206921600,175968000,2008,3,RJF,Raymond James,Financials
22,1214784000,173449500,2008,6,RJF,Raymond James,Financials
23,1230681600,174862500,2008,12,RJF,Raymond James,Financials
24,1238457600,176086500,2009,3,RJF,Raymond James,Financials
25,1246320000,177265500,2009,6,RJF,Raymond James,Financials
26,1262217600,178144500,2009,12,RJF,Raymond James,Financials
27,1269993600,178932000,2010,3,RJF,Raymond James,Financials
28,1277856000,179433000,2010,6,RJF,Raymond James,Financials
29,1293753600,181732500,2010,12,RJF,Raymond James,Financials
30,1301529600,183594000,2011,3,RJF,Raymond James,Financials
31,1309392000,184857000,2011,6,RJF,Raymond James,Financials
32,1325289600,184837500,2011,12,RJF,Raymond James,Financials
33,1333152000,194029500,2012,3,RJF,Raymond James,Financials
34,1341014400,202884000,2012,6,RJF,Raymond James,Financials
35,1348963200,203695500,2012,9,RJF,Raymond James,Financials
36,1356912000,204786000,2012,12,RJF,Raymond James,Financials
37,1364688000,206725500,2013,3,RJF,Raymond James,Financials
38,1372550400,207277500,2013,6,RJF,Raymond James,Financials
39,1380499200,207670500,2013,9,RJF,Raymond James,Financials
40,1388448000,208633500,2013,12,RJF,Raymond James,Financials
41,1396224000,209832000,2014,3,RJF,Raymond James,Financials
42,1404086400,210405000,2014,6,RJF,Raymond James,Financials
43,1412035200,210735000,2014,9,RJF,Raymond James,Financials
44,1419984000,211869000,2014,12,RJF,Raymond James,Financials
45,1427760000,213480000,2015,3,RJF,Raymond James,Financials
46,1435622400,214878000,2015,6,RJF,Raymond James,Financials
47,1443571200,214758000,2015,9,RJF,Raymond James,Financials
48,1451520000,214587000,2015,12,RJF,Raymond James,Financials
49,1459382400,212208000,2016,3,RJF,Raymond James,Financials
50,1467244800,211747500,2016,6,RJF,Raymond James,Financials
51,1475193600,212071500,2016,9,RJF,Raymond James,Financials
52,1483142400,213165000,2016,12,RJF,Raymond James,Financials
53,1490918400,215050500,2017,3,RJF,Raymond James,Financials
54,1498780800,215568000,2017,6,RJF,Raymond James,Financials
55,1506729600,215869500,2017,9,RJF,Raymond James,Financials
56,1514678400,216703500,2017,12,RJF,Raymond James,Financials
57,1522454400,218077500,2018,3,RJF,Raymond James,Financials
58,1530316800,218451000,2018,6,RJF,Raymond James,Financials
59,1538265600,218430000,2018,9,RJF,Raymond James,Financials
60,1546214400,216300000,2018,12,RJF,Raymond James,Financials
61,1553990400,211200000,2019,3,RJF,Raymond James,Financials
62,1561852800,210600000,2019,6,RJF,Raymond James,Financials
63,1569801600,207900000,2019,9,RJF,Raymond James,Financials
64,1577750400,207450000,2019,12,RJF,Raymond James,Financials
65,1585612800,207600000,2020,3,RJF,Raymond James,Financials
66,1593475200,205650000,2020,6,RJF,Raymond James,Financials
67,1601424000,205350000,2020,9,RJF,Raymond James,Financials
68,1609372800,205200000,2020,12,RJF,Raymond James,Financials
69,1617148800,206700000,2021,3,RJF,Raymond James,Financials
70,1625011200,205800000,2021,6,RJF,Raymond James,Financials
71,1632960000,205500000,2021,9,RJF,Raymond James,Financials
72,1640908800,206300000,2021,12,RJF,Raymond James,Financials
73,1648684800,207700000,2022,3,RJF,Raymond James,Financials
74,1656547200,210700000,2022,6,RJF,Raymond James,Financials
75,1668717261,215000000,2022,11,RJF,Raymond James,Financials
