,d,v,years,months,ticker_symbol,security,sector
0,1049068800,26210000,2003,3,SBNY,Signature Bank,Financials
1,1056931200,26210000,2003,6,SBNY,Signature Bank,Financials
2,1064880000,26210000,2003,9,SBNY,Signature Bank,Financials
3,1080691200,20323077,2004,3,SBNY,Signature Bank,Financials
4,1088553600,26104286,2004,6,SBNY,Signature Bank,Financials
5,1096502400,26433333,2004,9,SBNY,Signature Bank,Financials
6,1112227200,28635000,2005,3,SBNY,Signature Bank,Financials
7,1120089600,28269231,2005,6,SBNY,Signature Bank,Financials
8,1128038400,29131818,2005,9,SBNY,Signature Bank,Financials
9,1143763200,29474074,2006,3,SBNY,Signature Bank,Financials
10,1151625600,29425000,2006,6,SBNY,Signature Bank,Financials
11,1159574400,29567857,2006,9,SBNY,Signature Bank,Financials
12,1175299200,30061290,2007,3,SBNY,Signature Bank,Financials
13,1183161600,29271429,2007,6,SBNY,Signature Bank,Financials
14,1191110400,29841667,2007,9,SBNY,Signature Bank,Financials
15,1206921600,29848485,2008,3,SBNY,Signature Bank,Financials
16,1214784000,30144444,2008,6,SBNY,Signature Bank,Financials
17,1222732800,30650000,2008,9,SBNY,Signature Bank,Financials
18,1238457600,35265000,2009,3,SBNY,Signature Bank,Financials
19,1246320000,36655000,2009,6,SBNY,Signature Bank,Financials
20,1254268800,40604000,2009,9,SBNY,Signature Bank,Financials
21,1269993600,40638000,2010,3,SBNY,Signature Bank,Financials
22,1277856000,40913000,2010,6,SBNY,Signature Bank,Financials
23,1285804800,41005000,2010,9,SBNY,Signature Bank,Financials
24,1301529600,41349000,2011,3,SBNY,Signature Bank,Financials
25,1309392000,41353000,2011,6,SBNY,Signature Bank,Financials
26,1317340800,45532000,2011,9,SBNY,Signature Bank,Financials
27,1333152000,46205000,2012,3,SBNY,Signature Bank,Financials
28,1341014400,47307000,2012,6,SBNY,Signature Bank,Financials
29,1348963200,46792000,2012,9,SBNY,Signature Bank,Financials
30,1364688000,47249000,2013,3,SBNY,Signature Bank,Financials
31,1372550400,47260000,2013,6,SBNY,Signature Bank,Financials
32,1380499200,47271000,2013,9,SBNY,Signature Bank,Financials
33,1388448000,47287000,2013,12,SBNY,Signature Bank,Financials
34,1396224000,47318000,2014,3,SBNY,Signature Bank,Financials
35,1404086400,48270000,2014,6,SBNY,Signature Bank,Financials
36,1412035200,50000000,2014,9,SBNY,Signature Bank,Financials
37,1419984000,50316000,2014,12,SBNY,Signature Bank,Financials
38,1427760000,50352000,2015,3,SBNY,Signature Bank,Financials
39,1435622400,50809000,2015,6,SBNY,Signature Bank,Financials
40,1443571200,50888000,2015,9,SBNY,Signature Bank,Financials
41,1459382400,52589000,2016,3,SBNY,Signature Bank,Financials
42,1467244800,53668000,2016,6,SBNY,Signature Bank,Financials
43,1475193600,53683000,2016,9,SBNY,Signature Bank,Financials
44,1490918400,53718000,2017,3,SBNY,Signature Bank,Financials
45,1498780800,54083000,2017,6,SBNY,Signature Bank,Financials
46,1506729600,54098000,2017,9,SBNY,Signature Bank,Financials
47,1522454400,54143000,2018,3,SBNY,Signature Bank,Financials
48,1530316800,54527000,2018,6,SBNY,Signature Bank,Financials
49,1538265600,54544000,2018,9,SBNY,Signature Bank,Financials
50,1553990400,54165000,2019,3,SBNY,Signature Bank,Financials
51,1561852800,54213000,2019,6,SBNY,Signature Bank,Financials
52,1569801600,53722000,2019,9,SBNY,Signature Bank,Financials
53,1585612800,52546000,2020,3,SBNY,Signature Bank,Financials
54,1593475200,52672000,2020,6,SBNY,Signature Bank,Financials
55,1601424000,52673000,2020,9,SBNY,Signature Bank,Financials
56,1617148800,54998000,2021,3,SBNY,Signature Bank,Financials
57,1625011200,57128000,2021,6,SBNY,Signature Bank,Financials
58,1632960000,59284000,2021,9,SBNY,Signature Bank,Financials
59,1648684800,61670000,2022,3,SBNY,Signature Bank,Financials
60,1656547200,62440000,2022,6,SBNY,Signature Bank,Financials
61,1668717309,62440000,2022,11,SBNY,Signature Bank,Financials
