,d,v,years,months,ticker_symbol,security,sector
0,985996800,49023529,2001,3,SIVB,SVB Financial,Financials
1,993859200,48264000,2001,6,SIVB,SVB Financial,Financials
2,1001808000,47697436,2001,9,SIVB,SVB Financial,Financials
3,1017532800,44533333,2002,3,SIVB,SVB Financial,Financials
4,1025395200,45409091,2002,6,SIVB,SVB Financial,Financials
5,1033344000,43653333,2002,9,SIVB,SVB Financial,Financials
6,1049068800,38585185,2003,3,SIVB,SVB Financial,Financials
7,1056931200,28800000,2003,6,SIVB,SVB Financial,Financials
8,1064880000,34174510,2003,9,SIVB,SVB Financial,Financials
9,1080691200,35025000,2004,3,SIVB,SVB Financial,Financials
10,1088553600,34906667,2004,6,SIVB,SVB Financial,Financials
11,1096502400,35006522,2004,9,SIVB,SVB Financial,Financials
12,1112227200,35514706,2005,3,SIVB,SVB Financial,Financials
13,1120089600,34826667,2005,6,SIVB,SVB Financial,Financials
14,1128038400,34937879,2005,9,SIVB,SVB Financial,Financials
15,1143763200,35350794,2006,3,SIVB,SVB Financial,Financials
16,1151625600,34856410,2006,6,SIVB,SVB Financial,Financials
17,1159574400,34479452,2006,9,SIVB,SVB Financial,Financials
18,1175299200,34623171,2007,3,SIVB,SVB Financial,Financials
19,1183161600,34126866,2007,6,SIVB,SVB Financial,Financials
20,1191110400,34032143,2007,9,SIVB,SVB Financial,Financials
21,1206921600,32445349,2008,3,SIVB,SVB Financial,Financials
22,1214784000,32265152,2008,6,SIVB,SVB Financial,Financials
23,1222732800,32534000,2008,9,SIVB,SVB Financial,Financials
24,1238457600,32932000,2009,3,SIVB,SVB Financial,Financials
25,1246320000,32951905,2009,6,SIVB,SVB Financial,Financials
26,1254268800,33176678,2009,9,SIVB,SVB Financial,Financials
27,1269993600,41404501,2010,3,SIVB,SVB Financial,Financials
28,1277856000,41720015,2010,6,SIVB,SVB Financial,Financials
29,1285804800,41930456,2010,9,SIVB,SVB Financial,Financials
30,1301529600,42482037,2011,3,SIVB,SVB Financial,Financials
31,1309392000,42923955,2011,6,SIVB,SVB Financial,Financials
32,1317340800,43232655,2011,9,SIVB,SVB Financial,Financials
33,1333152000,43779800,2012,3,SIVB,SVB Financial,Financials
34,1341014400,44207353,2012,6,SIVB,SVB Financial,Financials
35,1348963200,44449243,2012,9,SIVB,SVB Financial,Financials
36,1356912000,44524789,2012,12,SIVB,SVB Financial,Financials
37,1364688000,44801590,2013,3,SIVB,SVB Financial,Financials
38,1372550400,45164138,2013,6,SIVB,SVB Financial,Financials
39,1380499200,45580105,2013,9,SIVB,SVB Financial,Financials
40,1388448000,45701224,2013,12,SIVB,SVB Financial,Financials
41,1396224000,45866387,2014,3,SIVB,SVB Financial,Financials
42,1404086400,48168275,2014,6,SIVB,SVB Financial,Financials
43,1412035200,50751633,2014,9,SIVB,SVB Financial,Financials
44,1419984000,50859313,2014,12,SIVB,SVB Financial,Financials
45,1427760000,51008680,2015,3,SIVB,SVB Financial,Financials
46,1435622400,51268197,2015,6,SIVB,SVB Financial,Financials
47,1443571200,51479026,2015,9,SIVB,SVB Financial,Financials
48,1451520000,51508962,2015,12,SIVB,SVB Financial,Financials
49,1459382400,51645843,2016,3,SIVB,SVB Financial,Financials
50,1467244800,51830823,2016,6,SIVB,SVB Financial,Financials
51,1475193600,52046199,2016,9,SIVB,SVB Financial,Financials
52,1483142400,52134396,2016,12,SIVB,SVB Financial,Financials
53,1490918400,52343571,2017,3,SIVB,SVB Financial,Financials
54,1498780800,52536927,2017,6,SIVB,SVB Financial,Financials
55,1506729600,52704869,2017,9,SIVB,SVB Financial,Financials
56,1514678400,52761821,2017,12,SIVB,SVB Financial,Financials
57,1522454400,52883063,2018,3,SIVB,SVB Financial,Financials
58,1530316800,53064224,2018,6,SIVB,SVB Financial,Financials
59,1538265600,53235090,2018,9,SIVB,SVB Financial,Financials
60,1546214400,53125046,2018,12,SIVB,SVB Financial,Financials
61,1553990400,52586950,2019,3,SIVB,SVB Financial,Financials
62,1561852800,51954761,2019,6,SIVB,SVB Financial,Financials
63,1569801600,51544807,2019,9,SIVB,SVB Financial,Financials
64,1577750400,51587074,2019,12,SIVB,SVB Financial,Financials
65,1585612800,51565499,2020,3,SIVB,SVB Financial,Financials
66,1593475200,51581237,2020,6,SIVB,SVB Financial,Financials
67,1601424000,51773181,2020,9,SIVB,SVB Financial,Financials
68,1609372800,51817077,2020,12,SIVB,SVB Financial,Financials
69,1617148800,52180045,2021,3,SIVB,SVB Financial,Financials
70,1625011200,54352725,2021,6,SIVB,SVB Financial,Financials
71,1632960000,57722890,2021,9,SIVB,SVB Financial,Financials
72,1640908800,58702618,2021,12,SIVB,SVB Financial,Financials
73,1648684800,58800492,2022,3,SIVB,SVB Financial,Financials
74,1656547200,58934849,2022,6,SIVB,SVB Financial,Financials
75,1668717340,59096090,2022,11,SIVB,SVB Financial,Financials
