,d,v,years,months,ticker_symbol,security,sector
0,985996800,387914000,2001,3,SPGI,S&P Global,Financials
1,993859200,389142000,2001,6,SPGI,S&P Global,Financials
2,1001808000,387784000,2001,9,SPGI,S&P Global,Financials
3,1017532800,385778000,2002,3,SPGI,S&P Global,Financials
4,1025395200,386534000,2002,6,SPGI,S&P Global,Financials
5,1033344000,386060000,2002,9,SPGI,S&P Global,Financials
6,1049068800,381866000,2003,3,SPGI,S&P Global,Financials
7,1056931200,379660000,2003,6,SPGI,S&P Global,Financials
8,1064880000,381048000,2003,9,SPGI,S&P Global,Financials
9,1080691200,381162000,2004,3,SPGI,S&P Global,Financials
10,1088553600,379180000,2004,6,SPGI,S&P Global,Financials
11,1096502400,378760000,2004,9,SPGI,S&P Global,Financials
12,1112227200,378830000,2005,3,SPGI,S&P Global,Financials
13,1120089600,373534000,2005,6,SPGI,S&P Global,Financials
14,1128038400,373552000,2005,9,SPGI,S&P Global,Financials
15,1143763200,367456000,2006,3,SPGI,S&P Global,Financials
16,1151625600,355783000,2006,6,SPGI,S&P Global,Financials
17,1159574400,351139000,2006,9,SPGI,S&P Global,Financials
18,1175299200,351215000,2007,3,SPGI,S&P Global,Financials
19,1183161600,340183000,2007,6,SPGI,S&P Global,Financials
20,1191110400,330249000,2007,9,SPGI,S&P Global,Financials
21,1206921600,319945000,2008,3,SPGI,S&P Global,Financials
22,1214784000,317746000,2008,6,SPGI,S&P Global,Financials
23,1222732800,313105000,2008,9,SPGI,S&P Global,Financials
24,1238457600,312017000,2009,3,SPGI,S&P Global,Financials
25,1246320000,312226000,2009,6,SPGI,S&P Global,Financials
26,1254268800,312471000,2009,9,SPGI,S&P Global,Financials
27,1269993600,313372000,2010,3,SPGI,S&P Global,Financials
28,1277856000,311167000,2010,6,SPGI,S&P Global,Financials
29,1285804800,307246000,2010,9,SPGI,S&P Global,Financials
30,1301529600,305200000,2011,3,SPGI,S&P Global,Financials
31,1309392000,303600000,2011,6,SPGI,S&P Global,Financials
32,1317340800,297800000,2011,9,SPGI,S&P Global,Financials
33,1333152000,278000000,2012,3,SPGI,S&P Global,Financials
34,1341014400,279700000,2012,6,SPGI,S&P Global,Financials
35,1348963200,278700000,2012,9,SPGI,S&P Global,Financials
36,1356912000,277900000,2012,12,SPGI,S&P Global,Financials
37,1364688000,280500000,2013,3,SPGI,S&P Global,Financials
38,1372550400,274300000,2013,6,SPGI,S&P Global,Financials
39,1380499200,272800000,2013,9,SPGI,S&P Global,Financials
40,1388448000,270400000,2013,12,SPGI,S&P Global,Financials
41,1396224000,271800000,2014,3,SPGI,S&P Global,Financials
42,1404086400,271500000,2014,6,SPGI,S&P Global,Financials
43,1412035200,270900000,2014,9,SPGI,S&P Global,Financials
44,1419984000,271700000,2014,12,SPGI,S&P Global,Financials
45,1427760000,273500000,2015,3,SPGI,S&P Global,Financials
46,1435622400,273100000,2015,6,SPGI,S&P Global,Financials
47,1443571200,271300000,2015,9,SPGI,S&P Global,Financials
48,1451520000,268500000,2015,12,SPGI,S&P Global,Financials
49,1459382400,265000000,2016,3,SPGI,S&P Global,Financials
50,1467244800,264500000,2016,6,SPGI,S&P Global,Financials
51,1475193600,262900000,2016,9,SPGI,S&P Global,Financials
52,1483142400,258900000,2016,12,SPGI,S&P Global,Financials
53,1490918400,258200000,2017,3,SPGI,S&P Global,Financials
54,1498780800,257300000,2017,6,SPGI,S&P Global,Financials
55,1506729600,255500000,2017,9,SPGI,S&P Global,Financials
56,1514678400,254400000,2017,12,SPGI,S&P Global,Financials
57,1522454400,252400000,2018,3,SPGI,S&P Global,Financials
58,1530316800,251100000,2018,6,SPGI,S&P Global,Financials
59,1538265600,251300000,2018,9,SPGI,S&P Global,Financials
60,1546214400,249000000,2018,12,SPGI,S&P Global,Financials
61,1553990400,246700000,2019,3,SPGI,S&P Global,Financials
62,1561852800,246100000,2019,6,SPGI,S&P Global,Financials
63,1569801600,245000000,2019,9,SPGI,S&P Global,Financials
64,1577750400,244000000,2019,12,SPGI,S&P Global,Financials
65,1585612800,242100000,2020,3,SPGI,S&P Global,Financials
66,1593475200,240900000,2020,6,SPGI,S&P Global,Financials
67,1601424000,240600000,2020,9,SPGI,S&P Global,Financials
68,1609372800,240500000,2020,12,SPGI,S&P Global,Financials
69,1617148800,240600000,2021,3,SPGI,S&P Global,Financials
70,1625011200,240800000,2021,6,SPGI,S&P Global,Financials
71,1632960000,240900000,2021,9,SPGI,S&P Global,Financials
72,1640908800,241000000,2021,12,SPGI,S&P Global,Financials
73,1648684800,275200000,2022,3,SPGI,S&P Global,Financials
74,1656547200,338000000,2022,6,SPGI,S&P Global,Financials
75,1668717294,338000000,2022,11,SPGI,S&P Global,Financials
