,d,v,years,months,ticker_symbol,security,sector
0,985996800,324680000,2001,3,STT,State Street Corporation,Financials
1,993859200,325214000,2001,6,STT,State Street Corporation,Financials
2,1001808000,326731000,2001,9,STT,State Street Corporation,Financials
3,1017532800,323689000,2002,3,STT,State Street Corporation,Financials
4,1025395200,323858000,2002,6,STT,State Street Corporation,Financials
5,1033344000,323023000,2002,9,STT,State Street Corporation,Financials
6,1049068800,329569000,2003,3,STT,State Street Corporation,Financials
7,1056931200,331325000,2003,6,STT,State Street Corporation,Financials
8,1064880000,332246000,2003,9,STT,State Street Corporation,Financials
9,1080691200,334635000,2004,3,STT,State Street Corporation,Financials
10,1088553600,334930000,2004,6,STT,State Street Corporation,Financials
11,1096502400,335626000,2004,9,STT,State Street Corporation,Financials
12,1112227200,331563000,2005,3,STT,State Street Corporation,Financials
13,1120089600,330118000,2005,6,STT,State Street Corporation,Financials
14,1128038400,329097000,2005,9,STT,State Street Corporation,Financials
15,1143763200,332761000,2006,3,STT,State Street Corporation,Financials
16,1151625600,330804000,2006,6,STT,State Street Corporation,Financials
17,1159574400,330440000,2006,9,STT,State Street Corporation,Financials
18,1175299200,334036000,2007,3,STT,State Street Corporation,Financials
19,1183161600,335769000,2007,6,STT,State Street Corporation,Financials
20,1191110400,386843000,2007,9,STT,State Street Corporation,Financials
21,1206921600,387942000,2008,3,STT,State Street Corporation,Financials
22,1214784000,402482000,2008,6,STT,State Street Corporation,Financials
23,1222732800,430872000,2008,9,STT,State Street Corporation,Financials
24,1238457600,432179000,2009,3,STT,State Street Corporation,Financials
25,1246320000,432179000,2009,6,STT,State Street Corporation,Financials
26,1254268800,447370000,2009,9,STT,State Street Corporation,Financials
27,1269993600,494588000,2010,3,STT,State Street Corporation,Financials
28,1277856000,495606000,2010,6,STT,State Street Corporation,Financials
29,1285804800,495729000,2010,9,STT,State Street Corporation,Financials
30,1301529600,497471000,2011,3,STT,State Street Corporation,Financials
31,1309392000,496806000,2011,6,STT,State Street Corporation,Financials
32,1317340800,490840000,2011,9,STT,State Street Corporation,Financials
33,1333152000,484942000,2012,3,STT,State Street Corporation,Financials
34,1341014400,481404000,2012,6,STT,State Street Corporation,Financials
35,1348963200,472355000,2012,9,STT,State Street Corporation,Financials
36,1356912000,459339000,2012,12,STT,State Street Corporation,Financials
37,1364688000,454315000,2013,3,STT,State Street Corporation,Financials
38,1372550400,452176000,2013,6,STT,State Street Corporation,Financials
39,1380499200,442860000,2013,9,STT,State Street Corporation,Financials
40,1388448000,435871000,2013,12,STT,State Street Corporation,Financials
41,1396224000,430621000,2014,3,STT,State Street Corporation,Financials
42,1404086400,427824000,2014,6,STT,State Street Corporation,Financials
43,1412035200,421974000,2014,9,STT,State Street Corporation,Financials
44,1419984000,416651000,2014,12,STT,State Street Corporation,Financials
45,1427760000,412225000,2015,3,STT,State Street Corporation,Financials
46,1435622400,410674000,2015,6,STT,State Street Corporation,Financials
47,1443571200,406612000,2015,9,STT,State Street Corporation,Financials
48,1451520000,402041000,2015,12,STT,State Street Corporation,Financials
49,1459382400,399421000,2016,3,STT,State Street Corporation,Financials
50,1467244800,394160000,2016,6,STT,State Street Corporation,Financials
51,1475193600,388358000,2016,9,STT,State Street Corporation,Financials
52,1483142400,384115000,2016,12,STT,State Street Corporation,Financials
53,1490918400,381224000,2017,3,STT,State Street Corporation,Financials
54,1498780800,375395000,2017,6,STT,State Street Corporation,Financials
55,1506729600,372765000,2017,9,STT,State Street Corporation,Financials
56,1514678400,369934000,2017,12,STT,State Street Corporation,Financials
57,1522454400,367439000,2018,3,STT,State Street Corporation,Financials
58,1530316800,365619000,2018,6,STT,State Street Corporation,Financials
59,1538265600,374963000,2018,9,STT,State Street Corporation,Financials
60,1546214400,379741000,2018,12,STT,State Street Corporation,Financials
61,1553990400,377915000,2019,3,STT,State Street Corporation,Financials
62,1561852800,373773000,2019,6,STT,State Street Corporation,Financials
63,1569801600,366732000,2019,9,STT,State Street Corporation,Financials
64,1577750400,361439000,2019,12,STT,State Street Corporation,Financials
65,1585612800,353746000,2020,3,STT,State Street Corporation,Financials
66,1593475200,352157000,2020,6,STT,State Street Corporation,Financials
67,1601424000,352586000,2020,9,STT,State Street Corporation,Financials
68,1609372800,352974000,2020,12,STT,State Street Corporation,Financials
69,1617148800,350743000,2021,3,STT,State Street Corporation,Financials
70,1625011200,345889000,2021,6,STT,State Street Corporation,Financials
71,1632960000,347718000,2021,9,STT,State Street Corporation,Financials
72,1640908800,365798000,2021,12,STT,State Street Corporation,Financials
73,1648684800,366542000,2022,3,STT,State Street Corporation,Financials
74,1656547200,367375000,2022,6,STT,State Street Corporation,Financials
75,1668717324,367789000,2022,11,STT,State Street Corporation,Financials
