,d,v,years,months,ticker_symbol,security,sector
0,1364688000,830271000,2013,3,SYF,Synchrony Financial,Financials
1,1372550400,830271000,2013,6,SYF,Synchrony Financial,Financials
2,1380499200,830271000,2013,9,SYF,Synchrony Financial,Financials
3,1396224000,830271000,2014,3,SYF,Synchrony Financial,Financials
4,1404086400,830270833,2014,6,SYF,Synchrony Financial,Financials
5,1412035200,782000000,2014,9,SYF,Synchrony Financial,Financials
6,1419984000,833800000,2014,12,SYF,Synchrony Financial,Financials
7,1427760000,833800000,2015,3,SYF,Synchrony Financial,Financials
8,1435622400,833800000,2015,6,SYF,Synchrony Financial,Financials
9,1443571200,833800000,2015,9,SYF,Synchrony Financial,Financials
10,1451520000,833800000,2015,12,SYF,Synchrony Financial,Financials
11,1459382400,833800000,2016,3,SYF,Synchrony Financial,Financials
12,1467244800,833900000,2016,6,SYF,Synchrony Financial,Financials
13,1475193600,828400000,2016,9,SYF,Synchrony Financial,Financials
14,1483142400,820500000,2016,12,SYF,Synchrony Financial,Financials
15,1490918400,813100000,2017,3,SYF,Synchrony Financial,Financials
16,1498780800,804000000,2017,6,SYF,Synchrony Financial,Financials
17,1506729600,787300000,2017,9,SYF,Synchrony Financial,Financials
18,1514678400,778700000,2017,12,SYF,Synchrony Financial,Financials
19,1522454400,763700000,2018,3,SYF,Synchrony Financial,Financials
20,1530316800,752200000,2018,6,SYF,Synchrony Financial,Financials
21,1538265600,734900000,2018,9,SYF,Synchrony Financial,Financials
22,1546214400,718700000,2018,12,SYF,Synchrony Financial,Financials
23,1553990400,706300000,2019,3,SYF,Synchrony Financial,Financials
24,1561852800,683600000,2019,6,SYF,Synchrony Financial,Financials
25,1569801600,658300000,2019,9,SYF,Synchrony Financial,Financials
26,1577750400,633700000,2019,12,SYF,Synchrony Financial,Financials
27,1585612800,604900000,2020,3,SYF,Synchrony Financial,Financials
28,1593475200,583700000,2020,6,SYF,Synchrony Financial,Financials
29,1601424000,583800000,2020,9,SYF,Synchrony Financial,Financials
30,1609372800,583900000,2020,12,SYF,Synchrony Financial,Financials
31,1617148800,583300000,2021,3,SYF,Synchrony Financial,Financials
32,1625011200,577200000,2021,6,SYF,Synchrony Financial,Financials
33,1632960000,560600000,2021,9,SYF,Synchrony Financial,Financials
34,1640908800,537800000,2021,12,SYF,Synchrony Financial,Financials
35,1648684800,515300000,2022,3,SYF,Synchrony Financial,Financials
36,1656547200,493000000,2022,6,SYF,Synchrony Financial,Financials
37,1668717356,468500000,2022,11,SYF,Synchrony Financial,Financials
