,d,v,years,months,ticker_symbol,security,sector
0,985996800,409201404,2001,3,TFC,Truist,Financials
1,993859200,420692786,2001,6,TFC,Truist,Financials
2,1001808000,454346907,2001,9,TFC,Truist,Financials
3,1017532800,462902144,2002,3,TFC,Truist,Financials
4,1025395200,478121878,2002,6,TFC,Truist,Financials
5,1033344000,477112074,2002,9,TFC,Truist,Financials
6,1049068800,470529359,2003,3,TFC,Truist,Financials
7,1056931200,471713450,2003,6,TFC,Truist,Financials
8,1064880000,551018984,2003,9,TFC,Truist,Financials
9,1080691200,546576484,2004,3,TFC,Truist,Financials
10,1088553600,554041770,2004,6,TFC,Truist,Financials
11,1096502400,553944042,2004,9,TFC,Truist,Financials
12,1112227200,549282008,2005,3,TFC,Truist,Financials
13,1120089600,547089165,2005,6,TFC,Truist,Financials
14,1128038400,547467864,2005,9,TFC,Truist,Financials
15,1143763200,539952669,2006,3,TFC,Truist,Financials
16,1151625600,536882392,2006,6,TFC,Truist,Financials
17,1159574400,538911074,2006,9,TFC,Truist,Financials
18,1175299200,541850632,2007,3,TFC,Truist,Financials
19,1183161600,548385000,2007,6,TFC,Truist,Financials
20,1191110400,550603000,2007,9,TFC,Truist,Financials
21,1206921600,546214000,2008,3,TFC,Truist,Financials
22,1214784000,546628000,2008,6,TFC,Truist,Financials
23,1222732800,549761000,2008,9,TFC,Truist,Financials
24,1238457600,559801000,2009,3,TFC,Truist,Financials
25,1246320000,602726000,2009,6,TFC,Truist,Financials
26,1254268800,665408000,2009,9,TFC,Truist,Financials
27,1262217600,688590000,2009,12,TFC,Truist,Financials
28,1269993600,690792000,2010,3,TFC,Truist,Financials
29,1277856000,692113000,2010,6,TFC,Truist,Financials
30,1285804800,693017000,2010,9,TFC,Truist,Financials
31,1301529600,695309000,2011,3,TFC,Truist,Financials
32,1309392000,696625000,2011,6,TFC,Truist,Financials
33,1317340800,697052000,2011,9,TFC,Truist,Financials
34,1325289600,697117000,2011,12,TFC,Truist,Financials
35,1333152000,697685000,2012,3,TFC,Truist,Financials
36,1341014400,698579000,2012,6,TFC,Truist,Financials
37,1348963200,699091000,2012,9,TFC,Truist,Financials
38,1356912000,699586000,2012,12,TFC,Truist,Financials
39,1364688000,700275000,2013,3,TFC,Truist,Financials
40,1372550400,702082000,2013,6,TFC,Truist,Financials
41,1380499200,704134000,2013,9,TFC,Truist,Financials
42,1388448000,705485000,2013,12,TFC,Truist,Financials
43,1396224000,712842000,2014,3,TFC,Truist,Financials
44,1404086400,719080000,2014,6,TFC,Truist,Financials
45,1412035200,720117000,2014,9,TFC,Truist,Financials
46,1419984000,720418000,2014,12,TFC,Truist,Financials
47,1427760000,721639000,2015,3,TFC,Truist,Financials
48,1435622400,724880000,2015,6,TFC,Truist,Financials
49,1443571200,764435000,2015,9,TFC,Truist,Financials
50,1451520000,780261000,2015,12,TFC,Truist,Financials
51,1459382400,781193000,2016,3,TFC,Truist,Financials
52,1467244800,814261000,2016,6,TFC,Truist,Financials
53,1475193600,812521000,2016,9,TFC,Truist,Financials
54,1483142400,810593000,2016,12,TFC,Truist,Financials
55,1490918400,809903000,2017,3,TFC,Truist,Financials
56,1498780800,808980000,2017,6,TFC,Truist,Financials
57,1506729600,794558000,2017,9,TFC,Truist,Financials
58,1514678400,783764000,2017,12,TFC,Truist,Financials
59,1522454400,779617000,2018,3,TFC,Truist,Financials
60,1530316800,775836000,2018,6,TFC,Truist,Financials
61,1538265600,771562000,2018,9,TFC,Truist,Financials
62,1546214400,765013000,2018,12,TFC,Truist,Financials
63,1553990400,764135000,2019,3,TFC,Truist,Financials
64,1561852800,765958000,2019,6,TFC,Truist,Financials
65,1569801600,766167000,2019,9,TFC,Truist,Financials
66,1577750400,922840000,2019,12,TFC,Truist,Financials
67,1585612800,1344372000,2020,3,TFC,Truist,Financials
68,1593475200,1347512000,2020,6,TFC,Truist,Financials
69,1601424000,1347916000,2020,9,TFC,Truist,Financials
70,1609372800,1348493000,2020,12,TFC,Truist,Financials
71,1617148800,1345666000,2021,3,TFC,Truist,Financials
72,1625011200,1338302000,2021,6,TFC,Truist,Financials
73,1632960000,1334825000,2021,9,TFC,Truist,Financials
74,1640908800,1329979000,2021,12,TFC,Truist,Financials
75,1648684800,1329037000,2022,3,TFC,Truist,Financials
76,1656547200,1330160000,2022,6,TFC,Truist,Financials
77,1668717405,1326539000,2022,11,TFC,Truist,Financials
