,d,v,years,months,ticker_symbol,security,sector
0,985996800,245502000,2001,3,TROW,T. Rowe Price,Financials
1,993859200,246164000,2001,6,TROW,T. Rowe Price,Financials
2,1001808000,246566000,2001,9,TROW,T. Rowe Price,Financials
3,1017532800,247062000,2002,3,TROW,T. Rowe Price,Financials
4,1025395200,246272000,2002,6,TROW,T. Rowe Price,Financials
5,1033344000,244792000,2002,9,TROW,T. Rowe Price,Financials
6,1049068800,244884000,2003,3,TROW,T. Rowe Price,Financials
7,1056931200,245014000,2003,6,TROW,T. Rowe Price,Financials
8,1064880000,248026000,2003,9,TROW,T. Rowe Price,Financials
9,1080691200,252192000,2004,3,TROW,T. Rowe Price,Financials
10,1088553600,253952000,2004,6,TROW,T. Rowe Price,Financials
11,1096502400,254858000,2004,9,TROW,T. Rowe Price,Financials
12,1112227200,260532000,2005,3,TROW,T. Rowe Price,Financials
13,1120089600,259630000,2005,6,TROW,T. Rowe Price,Financials
14,1128038400,260012000,2005,9,TROW,T. Rowe Price,Financials
15,1143763200,264030000,2006,3,TROW,T. Rowe Price,Financials
16,1151625600,264767000,2006,6,TROW,T. Rowe Price,Financials
17,1159574400,262343000,2006,9,TROW,T. Rowe Price,Financials
18,1175299200,265400000,2007,3,TROW,T. Rowe Price,Financials
19,1183161600,265400000,2007,6,TROW,T. Rowe Price,Financials
20,1191110400,264200000,2007,9,TROW,T. Rowe Price,Financials
21,1206921600,261700000,2008,3,TROW,T. Rowe Price,Financials
22,1214784000,259600000,2008,6,TROW,T. Rowe Price,Financials
23,1222732800,258700000,2008,9,TROW,T. Rowe Price,Financials
24,1238457600,255400000,2009,3,TROW,T. Rowe Price,Financials
25,1246320000,255200000,2009,6,TROW,T. Rowe Price,Financials
26,1254268800,256100000,2009,9,TROW,T. Rowe Price,Financials
27,1269993600,258200000,2010,3,TROW,T. Rowe Price,Financials
28,1277856000,258200000,2010,6,TROW,T. Rowe Price,Financials
29,1285804800,255500000,2010,9,TROW,T. Rowe Price,Financials
30,1301529600,258200000,2011,3,TROW,T. Rowe Price,Financials
31,1309392000,258000000,2011,6,TROW,T. Rowe Price,Financials
32,1317340800,253700000,2011,9,TROW,T. Rowe Price,Financials
33,1333152000,258700000,2012,3,TROW,T. Rowe Price,Financials
34,1341014400,253400000,2012,6,TROW,T. Rowe Price,Financials
35,1348963200,253000000,2012,9,TROW,T. Rowe Price,Financials
36,1364688000,256900000,2013,3,TROW,T. Rowe Price,Financials
37,1372550400,258200000,2013,6,TROW,T. Rowe Price,Financials
38,1380499200,258700000,2013,9,TROW,T. Rowe Price,Financials
39,1396224000,260400000,2014,3,TROW,T. Rowe Price,Financials
40,1404086400,260700000,2014,6,TROW,T. Rowe Price,Financials
41,1412035200,259700000,2014,9,TROW,T. Rowe Price,Financials
42,1427760000,258700000,2015,3,TROW,T. Rowe Price,Financials
43,1435622400,257700000,2015,6,TROW,T. Rowe Price,Financials
44,1443571200,252700000,2015,9,TROW,T. Rowe Price,Financials
45,1459382400,246700000,2016,3,TROW,T. Rowe Price,Financials
46,1467244800,246900000,2016,6,TROW,T. Rowe Price,Financials
47,1475193600,245600000,2016,9,TROW,T. Rowe Price,Financials
48,1490918400,242100000,2017,3,TROW,T. Rowe Price,Financials
49,1498780800,239800000,2017,6,TROW,T. Rowe Price,Financials
50,1506729600,240300000,2017,9,TROW,T. Rowe Price,Financials
51,1522454400,244300000,2018,3,TROW,T. Rowe Price,Financials
52,1530316800,242200000,2018,6,TROW,T. Rowe Price,Financials
53,1538265600,242800000,2018,9,TROW,T. Rowe Price,Financials
54,1546214400,239700000,2018,12,TROW,T. Rowe Price,Financials
55,1553990400,236600000,2019,3,TROW,T. Rowe Price,Financials
56,1561852800,235900000,2019,6,TROW,T. Rowe Price,Financials
57,1569801600,234900000,2019,9,TROW,T. Rowe Price,Financials
58,1577750400,234100000,2019,12,TROW,T. Rowe Price,Financials
59,1585612800,234100000,2020,3,TROW,T. Rowe Price,Financials
60,1593475200,227400000,2020,6,TROW,T. Rowe Price,Financials
61,1601424000,227000000,2020,9,TROW,T. Rowe Price,Financials
62,1609372800,226800000,2020,12,TROW,T. Rowe Price,Financials
63,1617148800,227700000,2021,3,TROW,T. Rowe Price,Financials
64,1625011200,226900000,2021,6,TROW,T. Rowe Price,Financials
65,1632960000,226900000,2021,9,TROW,T. Rowe Price,Financials
66,1640908800,224900000,2021,12,TROW,T. Rowe Price,Financials
67,1648684800,228200000,2022,3,TROW,T. Rowe Price,Financials
68,1656547200,226700000,2022,6,TROW,T. Rowe Price,Financials
69,1668717371,226700000,2022,11,TROW,T. Rowe Price,Financials
