,d,v,years,months,ticker_symbol,security,sector
0,980899200,455000000,2001,1,A,Agilent Technologies,Health Care
1,988588800,456000000,2001,4,A,Agilent Technologies,Health Care
2,996537600,459000000,2001,7,A,Agilent Technologies,Health Care
3,1012435200,463000000,2002,1,A,Agilent Technologies,Health Care
4,1020124800,464000000,2002,4,A,Agilent Technologies,Health Care
5,1028073600,466000000,2002,7,A,Agilent Technologies,Health Care
6,1043971200,471000000,2003,1,A,Agilent Technologies,Health Care
7,1051660800,471000000,2003,4,A,Agilent Technologies,Health Care
8,1059609600,475000000,2003,7,A,Agilent Technologies,Health Care
9,1075507200,480000000,2004,1,A,Agilent Technologies,Health Care
10,1083283200,481000000,2004,4,A,Agilent Technologies,Health Care
11,1091232000,485000000,2004,7,A,Agilent Technologies,Health Care
12,1107129600,491000000,2005,1,A,Agilent Technologies,Health Care
13,1114819200,491000000,2005,4,A,Agilent Technologies,Health Care
14,1122768000,494000000,2005,7,A,Agilent Technologies,Health Care
15,1138665600,473000000,2006,1,A,Agilent Technologies,Health Care
16,1146355200,430000000,2006,4,A,Agilent Technologies,Health Care
17,1154304000,412000000,2006,7,A,Agilent Technologies,Health Care
18,1170201600,406000000,2007,1,A,Agilent Technologies,Health Care
19,1177891200,402000000,2007,4,A,Agilent Technologies,Health Care
20,1185840000,392000000,2007,7,A,Agilent Technologies,Health Care
21,1201737600,371000000,2008,1,A,Agilent Technologies,Health Care
22,1209513600,363000000,2008,4,A,Agilent Technologies,Health Care
23,1217462400,362000000,2008,7,A,Agilent Technologies,Health Care
24,1233360000,351000000,2009,1,A,Agilent Technologies,Health Care
25,1241049600,344000000,2009,4,A,Agilent Technologies,Health Care
26,1248998400,345000000,2009,7,A,Agilent Technologies,Health Care
27,1264896000,348000000,2010,1,A,Agilent Technologies,Health Care
28,1272585600,348000000,2010,4,A,Agilent Technologies,Health Care
29,1280534400,347000000,2010,7,A,Agilent Technologies,Health Care
30,1296432000,347000000,2011,1,A,Agilent Technologies,Health Care
31,1304121600,347000000,2011,4,A,Agilent Technologies,Health Care
32,1312070400,348000000,2011,7,A,Agilent Technologies,Health Care
33,1327968000,348000000,2012,1,A,Agilent Technologies,Health Care
34,1335744000,348000000,2012,4,A,Agilent Technologies,Health Care
35,1343692800,348000000,2012,7,A,Agilent Technologies,Health Care
36,1351641600,348000000,2012,10,A,Agilent Technologies,Health Care
37,1359590400,347000000,2013,1,A,Agilent Technologies,Health Care
38,1367280000,345000000,2013,4,A,Agilent Technologies,Health Care
39,1375228800,339000000,2013,7,A,Agilent Technologies,Health Care
40,1383177600,331000000,2013,10,A,Agilent Technologies,Health Care
41,1391126400,333000000,2014,1,A,Agilent Technologies,Health Care
42,1398816000,333000000,2014,4,A,Agilent Technologies,Health Care
43,1406764800,334000000,2014,7,A,Agilent Technologies,Health Care
44,1414713600,334000000,2014,10,A,Agilent Technologies,Health Care
45,1422662400,336000000,2015,1,A,Agilent Technologies,Health Care
46,1430352000,334000000,2015,4,A,Agilent Technologies,Health Care
47,1438300800,332000000,2015,7,A,Agilent Technologies,Health Care
48,1446249600,331000000,2015,10,A,Agilent Technologies,Health Care
49,1454198400,329000000,2016,1,A,Agilent Technologies,Health Care
50,1461974400,326000000,2016,4,A,Agilent Technologies,Health Care
51,1469923200,325000000,2016,7,A,Agilent Technologies,Health Care
52,1477872000,324000000,2016,10,A,Agilent Technologies,Health Care
53,1485820800,322000000,2017,1,A,Agilent Technologies,Health Care
54,1493510400,321000000,2017,4,A,Agilent Technologies,Health Care
55,1501459200,321000000,2017,7,A,Agilent Technologies,Health Care
56,1517356800,323000000,2018,1,A,Agilent Technologies,Health Care
57,1525046400,322000000,2018,4,A,Agilent Technologies,Health Care
58,1532995200,320000000,2018,7,A,Agilent Technologies,Health Care
59,1540944000,319000000,2018,10,A,Agilent Technologies,Health Care
60,1548892800,318000000,2019,1,A,Agilent Technologies,Health Care
61,1556582400,317000000,2019,4,A,Agilent Technologies,Health Care
62,1564531200,312000000,2019,7,A,Agilent Technologies,Health Care
63,1572480000,309000000,2019,10,A,Agilent Technologies,Health Care
64,1580428800,310000000,2020,1,A,Agilent Technologies,Health Care
65,1588204800,309000000,2020,4,A,Agilent Technologies,Health Care
66,1596153600,309000000,2020,7,A,Agilent Technologies,Health Care
67,1604102400,308000000,2020,10,A,Agilent Technologies,Health Care
68,1612051200,306000000,2021,1,A,Agilent Technologies,Health Care
69,1619740800,304000000,2021,4,A,Agilent Technologies,Health Care
70,1627689600,303000000,2021,7,A,Agilent Technologies,Health Care
71,1635638400,303000000,2021,10,A,Agilent Technologies,Health Care
72,1643587200,301000000,2022,1,A,Agilent Technologies,Health Care
73,1651276800,299000000,2022,4,A,Agilent Technologies,Health Care
74,1659225600,298000000,2022,7,A,Agilent Technologies,Health Care
75,1668712001,298000000,2022,11,A,Agilent Technologies,Health Care
