,d,v,years,months,ticker_symbol,security,sector
0,985996800,1041100000,2001,3,AMGN,Amgen,Health Care
1,993859200,1044800000,2001,6,AMGN,Amgen,Health Care
2,1001808000,1048300000,2001,9,AMGN,Amgen,Health Care
3,1017532800,1043600000,2002,3,AMGN,Amgen,Health Care
4,1025395200,1038600000,2002,6,AMGN,Amgen,Health Care
5,1033344000,1241700000,2002,9,AMGN,Amgen,Health Care
6,1049068800,1290500000,2003,3,AMGN,Amgen,Health Care
7,1056931200,1287900000,2003,6,AMGN,Amgen,Health Care
8,1064880000,1289400000,2003,9,AMGN,Amgen,Health Care
9,1080691200,1279400000,2004,3,AMGN,Amgen,Health Care
10,1088553600,1268200000,2004,6,AMGN,Amgen,Health Care
11,1096502400,1272000000,2004,9,AMGN,Amgen,Health Care
12,1112227200,1249000000,2005,3,AMGN,Amgen,Health Care
13,1120089600,1233000000,2005,6,AMGN,Amgen,Health Care
14,1128038400,1233000000,2005,9,AMGN,Amgen,Health Care
15,1143763200,1202000000,2006,3,AMGN,Amgen,Health Care
16,1151625600,1173000000,2006,6,AMGN,Amgen,Health Care
17,1159574400,1167000000,2006,9,AMGN,Amgen,Health Care
18,1175299200,1167000000,2007,3,AMGN,Amgen,Health Care
19,1183161600,1129000000,2007,6,AMGN,Amgen,Health Care
20,1191110400,1086000000,2007,9,AMGN,Amgen,Health Care
21,1206921600,1089000000,2008,3,AMGN,Amgen,Health Care
22,1214784000,1078000000,2008,6,AMGN,Amgen,Health Care
23,1222732800,1058000000,2008,9,AMGN,Amgen,Health Care
24,1238457600,1032000000,2009,3,AMGN,Amgen,Health Care
25,1246320000,1013000000,2009,6,AMGN,Amgen,Health Care
26,1254268800,1016000000,2009,9,AMGN,Amgen,Health Care
27,1269993600,982000000,2010,3,AMGN,Amgen,Health Care
28,1277856000,959000000,2010,6,AMGN,Amgen,Health Care
29,1285804800,958000000,2010,9,AMGN,Amgen,Health Care
30,1301529600,933000000,2011,3,AMGN,Amgen,Health Care
31,1309392000,927000000,2011,6,AMGN,Amgen,Health Care
32,1317340800,907000000,2011,9,AMGN,Amgen,Health Care
33,1333152000,791000000,2012,3,AMGN,Amgen,Health Care
34,1341014400,776000000,2012,6,AMGN,Amgen,Health Care
35,1348963200,771000000,2012,9,AMGN,Amgen,Health Care
36,1356912000,763000000,2012,12,AMGN,Amgen,Health Care
37,1364688000,751000000,2013,3,AMGN,Amgen,Health Care
38,1372550400,752000000,2013,6,AMGN,Amgen,Health Care
39,1380499200,754000000,2013,9,AMGN,Amgen,Health Care
40,1388448000,754000000,2013,12,AMGN,Amgen,Health Care
41,1396224000,757000000,2014,3,AMGN,Amgen,Health Care
42,1404086400,759000000,2014,6,AMGN,Amgen,Health Care
43,1412035200,761000000,2014,9,AMGN,Amgen,Health Care
44,1419984000,761000000,2014,12,AMGN,Amgen,Health Care
45,1427760000,761000000,2015,3,AMGN,Amgen,Health Care
46,1435622400,760000000,2015,6,AMGN,Amgen,Health Care
47,1443571200,757000000,2015,9,AMGN,Amgen,Health Care
48,1451520000,754000000,2015,12,AMGN,Amgen,Health Care
49,1459382400,753000000,2016,3,AMGN,Amgen,Health Care
50,1467244800,751000000,2016,6,AMGN,Amgen,Health Care
51,1475193600,747000000,2016,9,AMGN,Amgen,Health Care
52,1483142400,742000000,2016,12,AMGN,Amgen,Health Care
53,1490918400,737000000,2017,3,AMGN,Amgen,Health Care
54,1498780800,734000000,2017,6,AMGN,Amgen,Health Care
55,1506729600,728000000,2017,9,AMGN,Amgen,Health Care
56,1514678400,724000000,2017,12,AMGN,Amgen,Health Care
57,1522454400,707000000,2018,3,AMGN,Amgen,Health Care
58,1530316800,656000000,2018,6,AMGN,Amgen,Health Care
59,1538265600,645000000,2018,9,AMGN,Amgen,Health Care
60,1546214400,635000000,2018,12,AMGN,Amgen,Health Care
61,1553990400,622000000,2019,3,AMGN,Amgen,Health Care
62,1561852800,607000000,2019,6,AMGN,Amgen,Health Care
63,1569801600,599000000,2019,9,AMGN,Amgen,Health Care
64,1577750400,593000000,2019,12,AMGN,Amgen,Health Care
65,1585612800,590000000,2020,3,AMGN,Amgen,Health Care
66,1593475200,588000000,2020,6,AMGN,Amgen,Health Care
67,1601424000,585000000,2020,9,AMGN,Amgen,Health Care
68,1609372800,581000000,2020,12,AMGN,Amgen,Health Care
69,1617148800,577000000,2021,3,AMGN,Amgen,Health Care
70,1625011200,573000000,2021,6,AMGN,Amgen,Health Care
71,1632960000,567000000,2021,9,AMGN,Amgen,Health Care
72,1640908800,562000000,2021,12,AMGN,Amgen,Health Care
73,1648684800,548000000,2022,3,AMGN,Amgen,Health Care
74,1656547200,535000000,2022,6,AMGN,Amgen,Health Care
75,1668712048,535000000,2022,11,AMGN,Amgen,Health Care
