,d,v,years,months,ticker_symbol,security,sector
0,985996800,255819565,2001,3,BDX,Becton Dickinson,Health Care
1,993859200,257556250,2001,6,BDX,Becton Dickinson,Health Care
2,1009756800,260576316,2001,12,BDX,Becton Dickinson,Health Care
3,1017532800,257084000,2002,3,BDX,Becton Dickinson,Health Care
4,1025395200,258893478,2002,6,BDX,Becton Dickinson,Health Care
5,1041292800,256890909,2002,12,BDX,Becton Dickinson,Health Care
6,1049068800,252580357,2003,3,BDX,Becton Dickinson,Health Care
7,1056931200,253803922,2003,6,BDX,Becton Dickinson,Health Care
8,1072828800,249704000,2003,12,BDX,Becton Dickinson,Health Care
9,1080691200,253269231,2004,3,BDX,Becton Dickinson,Health Care
10,1088553600,253200000,2004,6,BDX,Becton Dickinson,Health Care
11,1104451200,249979487,2004,12,BDX,Becton Dickinson,Health Care
12,1112227200,254256757,2005,3,BDX,Becton Dickinson,Health Care
13,1120089600,252890667,2005,6,BDX,Becton Dickinson,Health Care
14,1135987200,247568182,2005,12,BDX,Becton Dickinson,Health Care
15,1143763200,248496774,2006,3,BDX,Becton Dickinson,Health Care
16,1151625600,245682143,2006,6,BDX,Becton Dickinson,Health Care
17,1167523200,246343103,2006,12,BDX,Becton Dickinson,Health Care
18,1175299200,244982828,2007,3,BDX,Becton Dickinson,Health Care
19,1183161600,244809000,2007,6,BDX,Becton Dickinson,Health Care
20,1199059200,244637838,2007,12,BDX,Becton Dickinson,Health Care
21,1206921600,244411504,2008,3,BDX,Becton Dickinson,Health Care
22,1214784000,244273000,2008,6,BDX,Becton Dickinson,Health Care
23,1230681600,242397000,2008,12,BDX,Becton Dickinson,Health Care
24,1238457600,240239000,2009,3,BDX,Becton Dickinson,Health Care
25,1246320000,240109000,2009,6,BDX,Becton Dickinson,Health Care
26,1262217600,237360000,2009,12,BDX,Becton Dickinson,Health Care
27,1269993600,235325000,2010,3,BDX,Becton Dickinson,Health Care
28,1277856000,233242000,2010,6,BDX,Becton Dickinson,Health Care
29,1293753600,228083000,2010,12,BDX,Becton Dickinson,Health Care
30,1301529600,220894000,2011,3,BDX,Becton Dickinson,Health Care
31,1309392000,218966000,2011,6,BDX,Becton Dickinson,Health Care
32,1325289600,214300000,2011,12,BDX,Becton Dickinson,Health Care
33,1333152000,206426000,2012,3,BDX,Becton Dickinson,Health Care
34,1341014400,202015000,2012,6,BDX,Becton Dickinson,Health Care
35,1348963200,199072000,2012,9,BDX,Becton Dickinson,Health Care
36,1356912000,196427000,2012,12,BDX,Becton Dickinson,Health Care
37,1364688000,194609000,2013,3,BDX,Becton Dickinson,Health Care
38,1372550400,194879000,2013,6,BDX,Becton Dickinson,Health Care
39,1380499200,194697000,2013,9,BDX,Becton Dickinson,Health Care
40,1388448000,194203000,2013,12,BDX,Becton Dickinson,Health Care
41,1396224000,193609000,2014,3,BDX,Becton Dickinson,Health Care
42,1404086400,193054000,2014,6,BDX,Becton Dickinson,Health Care
43,1412035200,192332000,2014,9,BDX,Becton Dickinson,Health Care
44,1419984000,192844000,2014,12,BDX,Becton Dickinson,Health Care
45,1427760000,196085000,2015,3,BDX,Becton Dickinson,Health Care
46,1435622400,210175000,2015,6,BDX,Becton Dickinson,Health Care
47,1443571200,210985000,2015,9,BDX,Becton Dickinson,Health Care
48,1451520000,211689000,2015,12,BDX,Becton Dickinson,Health Care
49,1459382400,212469000,2016,3,BDX,Becton Dickinson,Health Care
50,1467244800,213083000,2016,6,BDX,Becton Dickinson,Health Care
51,1475193600,213571000,2016,9,BDX,Becton Dickinson,Health Care
52,1483142400,213064000,2016,12,BDX,Becton Dickinson,Health Care
53,1490918400,213583000,2017,3,BDX,Becton Dickinson,Health Care
54,1498780800,220807000,2017,6,BDX,Becton Dickinson,Health Care
55,1506729600,228218000,2017,9,BDX,Becton Dickinson,Health Care
56,1514678400,230038000,2017,12,BDX,Becton Dickinson,Health Care
57,1522454400,267341000,2018,3,BDX,Becton Dickinson,Health Care
58,1530316800,267836000,2018,6,BDX,Becton Dickinson,Health Care
59,1538265600,268500000,2018,9,BDX,Becton Dickinson,Health Care
60,1546214400,269035000,2018,12,BDX,Becton Dickinson,Health Care
61,1553990400,269882000,2019,3,BDX,Becton Dickinson,Health Care
62,1561852800,270249000,2019,6,BDX,Becton Dickinson,Health Care
63,1569801600,270610000,2019,9,BDX,Becton Dickinson,Health Care
64,1577750400,271102000,2019,12,BDX,Becton Dickinson,Health Care
65,1585612800,272014000,2020,3,BDX,Becton Dickinson,Health Care
66,1593475200,282385000,2020,6,BDX,Becton Dickinson,Health Care
67,1601424000,290348000,2020,9,BDX,Becton Dickinson,Health Care
68,1609372800,290590000,2020,12,BDX,Becton Dickinson,Health Care
69,1617148800,291095000,2021,3,BDX,Becton Dickinson,Health Care
70,1625011200,289522000,2021,6,BDX,Becton Dickinson,Health Care
71,1632960000,285985000,2021,9,BDX,Becton Dickinson,Health Care
72,1640908800,284685000,2021,12,BDX,Becton Dickinson,Health Care
73,1648684800,285243000,2022,3,BDX,Becton Dickinson,Health Care
74,1656547200,285441000,2022,6,BDX,Becton Dickinson,Health Care
75,1668712080,285441000,2022,11,BDX,Becton Dickinson,Health Care
