,d,v,years,months,ticker_symbol,security,sector
0,985996800,1948000000,2001,3,BMY,Bristol Myers Squibb,Health Care
1,993859200,1940000000,2001,6,BMY,Bristol Myers Squibb,Health Care
2,1001808000,1936000000,2001,9,BMY,Bristol Myers Squibb,Health Care
3,1017532800,1935000000,2002,3,BMY,Bristol Myers Squibb,Health Care
4,1025395200,1937000000,2002,6,BMY,Bristol Myers Squibb,Health Care
5,1033344000,1936000000,2002,9,BMY,Bristol Myers Squibb,Health Care
6,1049068800,1936000000,2003,3,BMY,Bristol Myers Squibb,Health Care
7,1056931200,1937000000,2003,6,BMY,Bristol Myers Squibb,Health Care
8,1064880000,1937000000,2003,9,BMY,Bristol Myers Squibb,Health Care
9,1080691200,1939000000,2004,3,BMY,Bristol Myers Squibb,Health Care
10,1088553600,1942000000,2004,6,BMY,Bristol Myers Squibb,Health Care
11,1096502400,1942000000,2004,9,BMY,Bristol Myers Squibb,Health Care
12,1112227200,1949000000,2005,3,BMY,Bristol Myers Squibb,Health Care
13,1120089600,1952000000,2005,6,BMY,Bristol Myers Squibb,Health Care
14,1128038400,1953000000,2005,9,BMY,Bristol Myers Squibb,Health Care
15,1143763200,1957000000,2006,3,BMY,Bristol Myers Squibb,Health Care
16,1151625600,1960000000,2006,6,BMY,Bristol Myers Squibb,Health Care
17,1159574400,1961000000,2006,9,BMY,Bristol Myers Squibb,Health Care
18,1175299200,1962000000,2007,3,BMY,Bristol Myers Squibb,Health Care
19,1183161600,1968000000,2007,6,BMY,Bristol Myers Squibb,Health Care
20,1191110400,1974000000,2007,9,BMY,Bristol Myers Squibb,Health Care
21,1206921600,1975000000,2008,3,BMY,Bristol Myers Squibb,Health Care
22,1214784000,1977000000,2008,6,BMY,Bristol Myers Squibb,Health Care
23,1222732800,1977000000,2008,9,BMY,Bristol Myers Squibb,Health Care
24,1238457600,1978000000,2009,3,BMY,Bristol Myers Squibb,Health Care
25,1246320000,1980000000,2009,6,BMY,Bristol Myers Squibb,Health Care
26,1254268800,1980000000,2009,9,BMY,Bristol Myers Squibb,Health Care
27,1269993600,1715000000,2010,3,BMY,Bristol Myers Squibb,Health Care
28,1277856000,1718000000,2010,6,BMY,Bristol Myers Squibb,Health Care
29,1285804800,1712000000,2010,9,BMY,Bristol Myers Squibb,Health Care
30,1301529600,1702000000,2011,3,BMY,Bristol Myers Squibb,Health Care
31,1309392000,1707000000,2011,6,BMY,Bristol Myers Squibb,Health Care
32,1317340800,1698000000,2011,9,BMY,Bristol Myers Squibb,Health Care
33,1333152000,1687000000,2012,3,BMY,Bristol Myers Squibb,Health Care
34,1341014400,1683000000,2012,6,BMY,Bristol Myers Squibb,Health Care
35,1348963200,1666000000,2012,9,BMY,Bristol Myers Squibb,Health Care
36,1356912000,1644000000,2012,12,BMY,Bristol Myers Squibb,Health Care
