,d,v,years,months,ticker_symbol,security,sector
0,985996800,1000000000,2001,3,BSX,Boston Scientific,Health Care
1,993859200,800000000,2001,6,BSX,Boston Scientific,Health Care
2,1001808000,828571429,2001,9,BSX,Boston Scientific,Health Care
3,1017532800,820000000,2002,3,BSX,Boston Scientific,Health Care
4,1025395200,833333333,2002,6,BSX,Boston Scientific,Health Care
5,1033344000,805000000,2002,9,BSX,Boston Scientific,Health Care
6,1049068800,808333333,2003,3,BSX,Boston Scientific,Health Care
7,1056931200,814285714,2003,6,BSX,Boston Scientific,Health Care
8,1064880000,826666667,2003,9,BSX,Boston Scientific,Health Care
9,1080691200,843478261,2004,3,BSX,Boston Scientific,Health Care
10,1088553600,845945946,2004,6,BSX,Boston Scientific,Health Care
11,1096502400,832258065,2004,9,BSX,Boston Scientific,Health Care
12,1112227200,832558140,2005,3,BSX,Boston Scientific,Health Care
13,1120089600,820000000,2005,6,BSX,Boston Scientific,Health Care
14,1128038400,815151515,2005,9,BSX,Boston Scientific,Health Care
15,1143763200,830000000,2006,3,BSX,Boston Scientific,Health Care
16,1151625600,1327725857,2006,6,BSX,Boston Scientific,Health Care
17,1159574400,1520000000,2006,9,BSX,Boston Scientific,Health Care
18,1175299200,1500000000,2007,3,BSX,Boston Scientific,Health Care
19,1183161600,1485400000,2007,6,BSX,Boston Scientific,Health Care
20,1191110400,1489800000,2007,9,BSX,Boston Scientific,Health Care
21,1206921600,1494100000,2008,3,BSX,Boston Scientific,Health Care
22,1214784000,1497600000,2008,6,BSX,Boston Scientific,Health Care
23,1222732800,1500900000,2008,9,BSX,Boston Scientific,Health Care
24,1238457600,1504800000,2009,3,BSX,Boston Scientific,Health Care
25,1246320000,1506800000,2009,6,BSX,Boston Scientific,Health Care
26,1254268800,1509300000,2009,9,BSX,Boston Scientific,Health Care
27,1269993600,1514500000,2010,3,BSX,Boston Scientific,Health Care
28,1277856000,1516600000,2010,6,BSX,Boston Scientific,Health Care
29,1285804800,1519800000,2010,9,BSX,Boston Scientific,Health Care
30,1301529600,1526500000,2011,3,BSX,Boston Scientific,Health Care
31,1309392000,1528600000,2011,6,BSX,Boston Scientific,Health Care
32,1317340800,1514400000,2011,9,BSX,Boston Scientific,Health Care
33,1333152000,1445200000,2012,3,BSX,Boston Scientific,Health Care
34,1341014400,1423200000,2012,6,BSX,Boston Scientific,Health Care
35,1348963200,1392500000,2012,9,BSX,Boston Scientific,Health Care
36,1356912000,1365900000,2012,12,BSX,Boston Scientific,Health Care
37,1364688000,1351900000,2013,3,BSX,Boston Scientific,Health Care
38,1372550400,1343500000,2013,6,BSX,Boston Scientific,Health Care
39,1380499200,1340300000,2013,9,BSX,Boston Scientific,Health Care
40,1388448000,1329200000,2013,12,BSX,Boston Scientific,Health Care
41,1396224000,1321700000,2014,3,BSX,Boston Scientific,Health Care
42,1404086400,1323200000,2014,6,BSX,Boston Scientific,Health Care
43,1412035200,1325500000,2014,9,BSX,Boston Scientific,Health Care
44,1419984000,1326800000,2014,12,BSX,Boston Scientific,Health Care
45,1427760000,1333700000,2015,3,BSX,Boston Scientific,Health Care
46,1435622400,1341300000,2015,6,BSX,Boston Scientific,Health Care
47,1443571200,1344000000,2015,9,BSX,Boston Scientific,Health Care
48,1451520000,1345900000,2015,12,BSX,Boston Scientific,Health Care
49,1459382400,1350400000,2016,3,BSX,Boston Scientific,Health Care
50,1467244800,1357400000,2016,6,BSX,Boston Scientific,Health Care
51,1475193600,1360600000,2016,9,BSX,Boston Scientific,Health Care
52,1483142400,1361900000,2016,12,BSX,Boston Scientific,Health Care
53,1490918400,1365400000,2017,3,BSX,Boston Scientific,Health Care
54,1498780800,1369800000,2017,6,BSX,Boston Scientific,Health Care
55,1506729600,1372000000,2017,9,BSX,Boston Scientific,Health Care
56,1514678400,1373300000,2017,12,BSX,Boston Scientific,Health Care
57,1522454400,1376500000,2018,3,BSX,Boston Scientific,Health Care
58,1530316800,1380500000,2018,6,BSX,Boston Scientific,Health Care
59,1538265600,1382800000,2018,9,BSX,Boston Scientific,Health Care
60,1546214400,1384200000,2018,12,BSX,Boston Scientific,Health Care
61,1553990400,1387700000,2019,3,BSX,Boston Scientific,Health Care
62,1561852800,1391000000,2019,6,BSX,Boston Scientific,Health Care
63,1569801600,1393100000,2019,9,BSX,Boston Scientific,Health Care
64,1577750400,1394300000,2019,12,BSX,Boston Scientific,Health Care
65,1585612800,1397400000,2020,3,BSX,Boston Scientific,Health Care
66,1593475200,1410900000,2020,6,BSX,Boston Scientific,Health Care
67,1601424000,1430900000,2020,9,BSX,Boston Scientific,Health Care
68,1609372800,1427700000,2020,12,BSX,Boston Scientific,Health Care
69,1617148800,1418700000,2021,3,BSX,Boston Scientific,Health Care
70,1625011200,1421300000,2021,6,BSX,Boston Scientific,Health Care
71,1632960000,1423800000,2021,9,BSX,Boston Scientific,Health Care
72,1640908800,1425200000,2021,12,BSX,Boston Scientific,Health Care
73,1648684800,1427800000,2022,3,BSX,Boston Scientific,Health Care
74,1656547200,1429700000,2022,6,BSX,Boston Scientific,Health Care
75,1668712144,1431600000,2022,11,BSX,Boston Scientific,Health Care
