,d,v,years,months,ticker_symbol,security,sector
0,985996800,444300000,2001,3,CAH,Cardinal Health,Health Care
1,1001808000,449600000,2001,9,CAH,Cardinal Health,Health Care
2,1009756800,449900000,2001,12,CAH,Cardinal Health,Health Care
3,1017532800,449900000,2002,3,CAH,Cardinal Health,Health Care
4,1033344000,446200000,2002,9,CAH,Cardinal Health,Health Care
5,1041292800,442000000,2002,12,CAH,Cardinal Health,Health Care
6,1049068800,449100000,2003,3,CAH,Cardinal Health,Health Care
7,1064880000,440500000,2003,9,CAH,Cardinal Health,Health Care
8,1072828800,433200000,2003,12,CAH,Cardinal Health,Health Care
9,1080691200,433400000,2004,3,CAH,Cardinal Health,Health Care
10,1096502400,431700000,2004,9,CAH,Cardinal Health,Health Care
11,1104451200,432100000,2004,12,CAH,Cardinal Health,Health Care
12,1112227200,431800000,2005,3,CAH,Cardinal Health,Health Care
13,1128038400,426300000,2005,9,CAH,Cardinal Health,Health Care
14,1135987200,425500000,2005,12,CAH,Cardinal Health,Health Care
15,1143763200,419100000,2006,3,CAH,Cardinal Health,Health Care
16,1159574400,404500000,2006,9,CAH,Cardinal Health,Health Care
17,1167523200,402200000,2006,12,CAH,Cardinal Health,Health Care
18,1175299200,394600000,2007,3,CAH,Cardinal Health,Health Care
19,1191110400,363000000,2007,9,CAH,Cardinal Health,Health Care
20,1199059200,358700000,2007,12,CAH,Cardinal Health,Health Care
21,1206921600,355500000,2008,3,CAH,Cardinal Health,Health Care
22,1222732800,356700000,2008,9,CAH,Cardinal Health,Health Care
23,1230681600,357300000,2008,12,CAH,Cardinal Health,Health Care
24,1238457600,358100000,2009,3,CAH,Cardinal Health,Health Care
25,1254268800,359100000,2009,9,CAH,Cardinal Health,Health Care
26,1262217600,359000000,2009,12,CAH,Cardinal Health,Health Care
27,1269993600,358700000,2010,3,CAH,Cardinal Health,Health Care
28,1285804800,348900000,2010,9,CAH,Cardinal Health,Health Care
29,1293753600,347600000,2010,12,CAH,Cardinal Health,Health Care
30,1301529600,348500000,2011,3,CAH,Cardinal Health,Health Care
31,1317340800,344800000,2011,9,CAH,Cardinal Health,Health Care
32,1325289600,345000000,2011,12,CAH,Cardinal Health,Health Care
33,1333152000,345300000,2012,3,CAH,Cardinal Health,Health Care
34,1341014400,345000000,2012,6,CAH,Cardinal Health,Health Care
35,1348963200,341000000,2012,9,CAH,Cardinal Health,Health Care
36,1356912000,340000000,2012,12,CAH,Cardinal Health,Health Care
37,1364688000,341000000,2013,3,CAH,Cardinal Health,Health Care
38,1372550400,341000000,2013,6,CAH,Cardinal Health,Health Care
39,1380499200,340000000,2013,9,CAH,Cardinal Health,Health Care
40,1388448000,342000000,2013,12,CAH,Cardinal Health,Health Care
41,1396224000,342000000,2014,3,CAH,Cardinal Health,Health Care
42,1404086400,339000000,2014,6,CAH,Cardinal Health,Health Care
43,1412035200,336000000,2014,9,CAH,Cardinal Health,Health Care
44,1419984000,331000000,2014,12,CAH,Cardinal Health,Health Care
45,1427760000,330000000,2015,3,CAH,Cardinal Health,Health Care
46,1435622400,330000000,2015,6,CAH,Cardinal Health,Health Care
47,1443571200,328000000,2015,9,CAH,Cardinal Health,Health Care
48,1451520000,329000000,2015,12,CAH,Cardinal Health,Health Care
49,1459382400,328000000,2016,3,CAH,Cardinal Health,Health Care
50,1467244800,324000000,2016,6,CAH,Cardinal Health,Health Care
51,1475193600,320000000,2016,9,CAH,Cardinal Health,Health Care
52,1483142400,318000000,2016,12,CAH,Cardinal Health,Health Care
53,1490918400,316000000,2017,3,CAH,Cardinal Health,Health Care
54,1498780800,316000000,2017,6,CAH,Cardinal Health,Health Care
55,1506729600,316000000,2017,9,CAH,Cardinal Health,Health Care
56,1514678400,315000000,2017,12,CAH,Cardinal Health,Health Care
57,1522454400,313000000,2018,3,CAH,Cardinal Health,Health Care
58,1530316800,310000000,2018,6,CAH,Cardinal Health,Health Care
59,1538265600,305000000,2018,9,CAH,Cardinal Health,Health Care
60,1546214400,299000000,2018,12,CAH,Cardinal Health,Health Care
61,1553990400,298000000,2019,3,CAH,Cardinal Health,Health Care
62,1561852800,298000000,2019,6,CAH,Cardinal Health,Health Care
63,1569801600,296000000,2019,9,CAH,Cardinal Health,Health Care
64,1577750400,292000000,2019,12,CAH,Cardinal Health,Health Care
65,1585612800,292000000,2020,3,CAH,Cardinal Health,Health Care
66,1593475200,292000000,2020,6,CAH,Cardinal Health,Health Care
67,1601424000,293000000,2020,9,CAH,Cardinal Health,Health Care
68,1609372800,294000000,2020,12,CAH,Cardinal Health,Health Care
69,1617148800,292000000,2021,3,CAH,Cardinal Health,Health Care
70,1625011200,290000000,2021,6,CAH,Cardinal Health,Health Care
71,1632960000,287000000,2021,9,CAH,Cardinal Health,Health Care
72,1640908800,279000000,2021,12,CAH,Cardinal Health,Health Care
73,1648684800,275000000,2022,3,CAH,Cardinal Health,Health Care
74,1656547200,273000000,2022,6,CAH,Cardinal Health,Health Care
75,1668712176,273000000,2022,11,CAH,Cardinal Health,Health Care
