,d,v,years,months,ticker_symbol,security,sector
0,985996800,785600000,2001,3,CVS,CVS Health,Health Care
1,993859200,787000000,2001,6,CVS,CVS Health,Health Care
2,1001808000,783000000,2001,9,CVS,CVS Health,Health Care
3,1017532800,783200000,2002,3,CVS,CVS Health,Health Care
4,1025395200,784000000,2002,6,CVS,CVS Health,Health Care
5,1033344000,785400000,2002,9,CVS,CVS Health,Health Care
6,1049068800,786800000,2003,3,CVS,CVS Health,Health Care
7,1056931200,788000000,2003,6,CVS,CVS Health,Health Care
8,1064880000,789600000,2003,9,CVS,CVS Health,Health Care
9,1080691200,792600000,2004,3,CVS,CVS Health,Health Care
10,1088553600,796000000,2004,6,CVS,CVS Health,Health Care
11,1096502400,799200000,2004,9,CVS,CVS Health,Health Care
12,1112227200,806800000,2005,3,CVS,CVS Health,Health Care
13,1120089600,810900000,2005,6,CVS,CVS Health,Health Care
14,1128038400,813500000,2005,9,CVS,CVS Health,Health Care
15,1143763200,816800000,2006,3,CVS,CVS Health,Health Care
16,1151625600,818900000,2006,6,CVS,CVS Health,Health Care
17,1159574400,822300000,2006,9,CVS,CVS Health,Health Care
18,1175299200,906100000,2007,3,CVS,CVS Health,Health Care
19,1183161600,1492400000,2007,6,CVS,CVS Health,Health Care
20,1191110400,1473700000,2007,9,CVS,CVS Health,Health Care
21,1206921600,1429800000,2008,3,CVS,CVS Health,Health Care
22,1214784000,1431800000,2008,6,CVS,CVS Health,Health Care
23,1222732800,1435500000,2008,9,CVS,CVS Health,Health Care
24,1238457600,1450000000,2009,3,CVS,CVS Health,Health Care
25,1246320000,1456900000,2009,6,CVS,CVS Health,Health Care
26,1254268800,1429400000,2009,9,CVS,CVS Health,Health Care
27,1269993600,1386000000,2010,3,CVS,CVS Health,Health Care
28,1277856000,1359000000,2010,6,CVS,CVS Health,Health Care
29,1285804800,1360000000,2010,9,CVS,CVS Health,Health Care
30,1301529600,1362000000,2011,3,CVS,CVS Health,Health Care
31,1309392000,1355000000,2011,6,CVS,CVS Health,Health Care
32,1317340800,1332000000,2011,9,CVS,CVS Health,Health Care
33,1333152000,1299000000,2012,3,CVS,CVS Health,Health Care
34,1341014400,1278000000,2012,6,CVS,CVS Health,Health Care
35,1348963200,1265000000,2012,9,CVS,CVS Health,Health Care
36,1356912000,1241000000,2012,12,CVS,CVS Health,Health Care
37,1364688000,1232000000,2013,3,CVS,CVS Health,Health Care
38,1372550400,1227000000,2013,6,CVS,CVS Health,Health Care
39,1380499200,1218000000,2013,9,CVS,CVS Health,Health Care
40,1388448000,1192000000,2013,12,CVS,CVS Health,Health Care
41,1396224000,1180000000,2014,3,CVS,CVS Health,Health Care
42,1404086400,1165000000,2014,6,CVS,CVS Health,Health Care
43,1412035200,1157000000,2014,9,CVS,CVS Health,Health Care
44,1427760000,1128000000,2015,3,CVS,CVS Health,Health Care
45,1435622400,1124000000,2015,6,CVS,CVS Health,Health Care
46,1443571200,1114000000,2015,9,CVS,CVS Health,Health Care
47,1451520000,1107000000,2015,12,CVS,CVS Health,Health Care
48,1459382400,1092000000,2016,3,CVS,CVS Health,Health Care
49,1467244800,1070000000,2016,6,CVS,CVS Health,Health Care
50,1475193600,1068000000,2016,9,CVS,CVS Health,Health Care
51,1483142400,1064000000,2016,12,CVS,CVS Health,Health Care
52,1490918400,1030000000,2017,3,CVS,CVS Health,Health Care
53,1498780800,1019000000,2017,6,CVS,CVS Health,Health Care
54,1506729600,1016000000,2017,9,CVS,CVS Health,Health Care
55,1514678400,1014000000,2017,12,CVS,CVS Health,Health Care
56,1522454400,1016000000,2018,3,CVS,CVS Health,Health Care
57,1530316800,1018000000,2018,6,CVS,CVS Health,Health Care
58,1538265600,1020000000,2018,9,CVS,CVS Health,Health Care
59,1546214400,1121000000,2018,12,CVS,CVS Health,Health Care
60,1553990400,1298000000,2019,3,CVS,CVS Health,Health Care
61,1561852800,1301000000,2019,6,CVS,CVS Health,Health Care
62,1569801600,1302000000,2019,9,CVS,CVS Health,Health Care
63,1577750400,1303000000,2019,12,CVS,CVS Health,Health Care
64,1585612800,1306000000,2020,3,CVS,CVS Health,Health Care
65,1593475200,1309000000,2020,6,CVS,CVS Health,Health Care
66,1601424000,1310000000,2020,9,CVS,CVS Health,Health Care
67,1609372800,1311000000,2020,12,CVS,CVS Health,Health Care
68,1617148800,1313000000,2021,3,CVS,CVS Health,Health Care
69,1625011200,1319000000,2021,6,CVS,CVS Health,Health Care
70,1632960000,1321000000,2021,9,CVS,CVS Health,Health Care
71,1640908800,1322000000,2021,12,CVS,CVS Health,Health Care
72,1648684800,1312000000,2022,3,CVS,CVS Health,Health Care
73,1656547200,1313000000,2022,6,CVS,CVS Health,Health Care
74,1668712274,1313000000,2022,11,CVS,CVS Health,Health Care
