,d,v,years,months,ticker_symbol,security,sector
0,985996800,183780000,2001,3,DGX,Quest Diagnostics,Health Care
1,993859200,185132000,2001,6,DGX,Quest Diagnostics,Health Care
2,1001808000,186764000,2001,9,DGX,Quest Diagnostics,Health Care
3,1017532800,190844000,2002,3,DGX,Quest Diagnostics,Health Care
4,1025395200,192786000,2002,6,DGX,Quest Diagnostics,Health Care
5,1033344000,193800000,2002,9,DGX,Quest Diagnostics,Health Care
6,1049068800,200074000,2003,3,DGX,Quest Diagnostics,Health Care
7,1056931200,210098000,2003,6,DGX,Quest Diagnostics,Health Care
8,1064880000,209574000,2003,9,DGX,Quest Diagnostics,Health Care
9,1080691200,206284000,2004,3,DGX,Quest Diagnostics,Health Care
10,1088553600,206018000,2004,6,DGX,Quest Diagnostics,Health Care
11,1096502400,202488000,2004,9,DGX,Quest Diagnostics,Health Care
12,1112227200,201718000,2005,3,DGX,Quest Diagnostics,Health Care
13,1120089600,202597000,2005,6,DGX,Quest Diagnostics,Health Care
14,1128038400,202681000,2005,9,DGX,Quest Diagnostics,Health Care
15,1143763200,198395000,2006,3,DGX,Quest Diagnostics,Health Care
16,1151625600,198013000,2006,6,DGX,Quest Diagnostics,Health Care
17,1159574400,197164000,2006,9,DGX,Quest Diagnostics,Health Care
18,1175299200,193379000,2007,3,DGX,Quest Diagnostics,Health Care
19,1183161600,192651000,2007,6,DGX,Quest Diagnostics,Health Care
20,1191110400,193377000,2007,9,DGX,Quest Diagnostics,Health Care
21,1206921600,194143000,2008,3,DGX,Quest Diagnostics,Health Care
22,1214784000,194527000,2008,6,DGX,Quest Diagnostics,Health Care
23,1222732800,194971000,2008,9,DGX,Quest Diagnostics,Health Care
24,1238457600,189370000,2009,3,DGX,Quest Diagnostics,Health Care
25,1246320000,185266000,2009,6,DGX,Quest Diagnostics,Health Care
26,1254268800,185100000,2009,9,DGX,Quest Diagnostics,Health Care
27,1269993600,180200000,2010,3,DGX,Quest Diagnostics,Health Care
28,1277856000,178900000,2010,6,DGX,Quest Diagnostics,Health Care
29,1285804800,173200000,2010,9,DGX,Quest Diagnostics,Health Care
30,1301529600,161500000,2011,3,DGX,Quest Diagnostics,Health Care
31,1309392000,157600000,2011,6,DGX,Quest Diagnostics,Health Care
32,1317340800,157800000,2011,9,DGX,Quest Diagnostics,Health Care
33,1333152000,158300000,2012,3,DGX,Quest Diagnostics,Health Care
34,1341014400,158500000,2012,6,DGX,Quest Diagnostics,Health Care
35,1348963200,158800000,2012,9,DGX,Quest Diagnostics,Health Care
36,1356912000,158700000,2012,12,DGX,Quest Diagnostics,Health Care
37,1364688000,158100000,2013,3,DGX,Quest Diagnostics,Health Care
38,1372550400,152700000,2013,6,DGX,Quest Diagnostics,Health Care
39,1380499200,149600000,2013,9,DGX,Quest Diagnostics,Health Care
40,1388448000,146000000,2013,12,DGX,Quest Diagnostics,Health Care
41,1396224000,144000000,2014,3,DGX,Quest Diagnostics,Health Care
42,1404086400,144000000,2014,6,DGX,Quest Diagnostics,Health Care
43,1412035200,145000000,2014,9,DGX,Quest Diagnostics,Health Care
44,1419984000,145000000,2014,12,DGX,Quest Diagnostics,Health Care
45,1427760000,144000000,2015,3,DGX,Quest Diagnostics,Health Care
46,1435622400,144000000,2015,6,DGX,Quest Diagnostics,Health Care
47,1443571200,144000000,2015,9,DGX,Quest Diagnostics,Health Care
48,1451520000,143000000,2015,12,DGX,Quest Diagnostics,Health Care
49,1459382400,143000000,2016,3,DGX,Quest Diagnostics,Health Care
50,1467244800,140000000,2016,6,DGX,Quest Diagnostics,Health Care
51,1475193600,139000000,2016,9,DGX,Quest Diagnostics,Health Care
52,1483142400,138000000,2016,12,DGX,Quest Diagnostics,Health Care
53,1490918400,137000000,2017,3,DGX,Quest Diagnostics,Health Care
54,1498780800,137000000,2017,6,DGX,Quest Diagnostics,Health Care
55,1506729600,137000000,2017,9,DGX,Quest Diagnostics,Health Care
56,1514678400,136000000,2017,12,DGX,Quest Diagnostics,Health Care
57,1522454400,136000000,2018,3,DGX,Quest Diagnostics,Health Care
58,1530316800,136000000,2018,6,DGX,Quest Diagnostics,Health Care
59,1538265600,136000000,2018,9,DGX,Quest Diagnostics,Health Care
60,1546214400,136000000,2018,12,DGX,Quest Diagnostics,Health Care
61,1553990400,134000000,2019,3,DGX,Quest Diagnostics,Health Care
62,1561852800,135000000,2019,6,DGX,Quest Diagnostics,Health Care
63,1569801600,135000000,2019,9,DGX,Quest Diagnostics,Health Care
64,1577750400,134000000,2019,12,DGX,Quest Diagnostics,Health Care
65,1585612800,134000000,2020,3,DGX,Quest Diagnostics,Health Care
66,1593475200,134000000,2020,6,DGX,Quest Diagnostics,Health Care
67,1601424000,135000000,2020,9,DGX,Quest Diagnostics,Health Care
68,1609372800,135000000,2020,12,DGX,Quest Diagnostics,Health Care
69,1617148800,133000000,2021,3,DGX,Quest Diagnostics,Health Care
70,1625011200,125000000,2021,6,DGX,Quest Diagnostics,Health Care
71,1632960000,123000000,2021,9,DGX,Quest Diagnostics,Health Care
72,1640908800,122000000,2021,12,DGX,Quest Diagnostics,Health Care
73,1648684800,119000000,2022,3,DGX,Quest Diagnostics,Health Care
74,1656547200,117000000,2022,6,DGX,Quest Diagnostics,Health Care
75,1668712731,116000000,2022,11,DGX,Quest Diagnostics,Health Care
