,d,v,years,months,ticker_symbol,security,sector
0,1001808000,206176000,2001,9,ELV,Elevance Health,Health Care
1,1017532800,205773196,2002,3,ELV,Elevance Health,Health Care
2,1025395200,206213592,2002,6,ELV,Elevance Health,Health Care
3,1033344000,257443609,2002,9,ELV,Elevance Health,Health Care
4,1049068800,277826087,2003,3,ELV,Elevance Health,Health Care
5,1056931200,277031250,2003,6,ELV,Elevance Health,Health Care
6,1064880000,276760563,2003,9,ELV,Elevance Health,Health Care
7,1080691200,276261682,2004,3,ELV,Elevance Health,Health Care
8,1088553600,276627907,2004,6,ELV,Elevance Health,Health Care
9,1096502400,276685714,2004,9,ELV,Elevance Health,Health Care
10,1112227200,612489242,2005,3,ELV,Elevance Health,Health Care
11,1120089600,608043478,2005,6,ELV,Elevance Health,Health Care
12,1128038400,610190476,2005,9,ELV,Elevance Health,Health Care
13,1143763200,653392857,2006,3,ELV,Elevance Health,Health Care
14,1151625600,626000000,2006,6,ELV,Elevance Health,Health Care
15,1159574400,618931298,2006,9,ELV,Elevance Health,Health Care
16,1175299200,611796875,2007,3,ELV,Elevance Health,Health Care
17,1183161600,609635036,2007,6,ELV,Elevance Health,Health Care
18,1191110400,590476190,2007,9,ELV,Elevance Health,Health Care
19,1206921600,544537037,2008,3,ELV,Elevance Health,Health Care
20,1214784000,521180556,2008,6,ELV,Elevance Health,Health Care
21,1222732800,513500000,2008,9,ELV,Elevance Health,Health Care
22,1238457600,496000000,2009,3,ELV,Elevance Health,Health Care
23,1246320000,496000000,2009,6,ELV,Elevance Health,Health Care
24,1254268800,471500000,2009,9,ELV,Elevance Health,Health Care
25,1269993600,441100000,2010,3,ELV,Elevance Health,Health Care
26,1277856000,441100000,2010,6,ELV,Elevance Health,Health Care
27,1285804800,394807753,2010,9,ELV,Elevance Health,Health Care
28,1301529600,368668482,2011,3,ELV,Elevance Health,Health Care
29,1309392000,366100000,2011,6,ELV,Elevance Health,Health Care
30,1317340800,356000000,2011,9,ELV,Elevance Health,Health Care
31,1333152000,331807383,2012,3,ELV,Elevance Health,Health Care
32,1341014400,327700000,2012,6,ELV,Elevance Health,Health Care
33,1348963200,314012463,2012,9,ELV,Elevance Health,Health Care
34,1364688000,303200000,2013,3,ELV,Elevance Health,Health Care
35,1372550400,299500000,2013,6,ELV,Elevance Health,Health Care
36,1380499200,296188115,2013,9,ELV,Elevance Health,Health Care
37,1396224000,281912262,2014,3,ELV,Elevance Health,Health Care
38,1404086400,274470910,2014,6,ELV,Elevance Health,Health Care
39,1412035200,270512468,2014,9,ELV,Elevance Health,Health Care
40,1427760000,266600000,2015,3,ELV,Elevance Health,Health Care
41,1435622400,263100000,2015,6,ELV,Elevance Health,Health Care
42,1443571200,261300000,2015,9,ELV,Elevance Health,Health Care
43,1451520000,261238188,2015,12,ELV,Elevance Health,Health Care
44,1459382400,262840916,2016,3,ELV,Elevance Health,Health Care
45,1467244800,263000000,2016,6,ELV,Elevance Health,Health Care
46,1475193600,263200000,2016,9,ELV,Elevance Health,Health Care
47,1483142400,263747395,2016,12,ELV,Elevance Health,Health Care
48,1490918400,264400000,2017,3,ELV,Elevance Health,Health Care
49,1498780800,264600000,2017,6,ELV,Elevance Health,Health Care
50,1506729600,257404755,2017,9,ELV,Elevance Health,Health Care
51,1514678400,256084913,2017,12,ELV,Elevance Health,Health Care
52,1522454400,255544728,2018,3,ELV,Elevance Health,Health Care
53,1530316800,258700000,2018,6,ELV,Elevance Health,Health Care
54,1538265600,259500000,2018,9,ELV,Elevance Health,Health Care
55,1553990400,257354383,2019,3,ELV,Elevance Health,Health Care
56,1561852800,255876479,2019,6,ELV,Elevance Health,Health Care
57,1569801600,255200000,2019,9,ELV,Elevance Health,Health Care
58,1577750400,252922161,2019,12,ELV,Elevance Health,Health Care
59,1585612800,252400000,2020,3,ELV,Elevance Health,Health Care
60,1593475200,252200000,2020,6,ELV,Elevance Health,Health Care
61,1601424000,251000000,2020,9,ELV,Elevance Health,Health Care
62,1609372800,245401430,2020,12,ELV,Elevance Health,Health Care
63,1617148800,244938635,2021,3,ELV,Elevance Health,Health Care
64,1625011200,244500000,2021,6,ELV,Elevance Health,Health Care
65,1632960000,243400000,2021,9,ELV,Elevance Health,Health Care
66,1640908800,241770746,2021,12,ELV,Elevance Health,Health Care
67,1648684800,241400000,2022,3,ELV,Elevance Health,Health Care
68,1656547200,240700000,2022,6,ELV,Elevance Health,Health Care
69,1668712372,239600000,2022,11,ELV,Elevance Health,Health Care
