,d,v,years,months,ticker_symbol,security,sector
0,985996800,1509584000,2001,3,GILD,Gilead Sciences,Health Care
1,993859200,1516464000,2001,6,GILD,Gilead Sciences,Health Care
2,1001808000,1524896000,2001,9,GILD,Gilead Sciences,Health Care
3,1017532800,1550400000,2002,3,GILD,Gilead Sciences,Health Care
4,1025395200,1561336000,2002,6,GILD,Gilead Sciences,Health Care
5,1033344000,1569120000,2002,9,GILD,Gilead Sciences,Health Care
6,1049068800,1586624000,2003,3,GILD,Gilead Sciences,Health Care
7,1056931200,1601888000,2003,6,GILD,Gilead Sciences,Health Care
8,1064880000,1613392000,2003,9,GILD,Gilead Sciences,Health Care
9,1080691200,1709072000,2004,3,GILD,Gilead Sciences,Health Care
10,1088553600,1716496000,2004,6,GILD,Gilead Sciences,Health Care
11,1096502400,1725092000,2004,9,GILD,Gilead Sciences,Health Care
12,1112227200,1798196000,2005,3,GILD,Gilead Sciences,Health Care
13,1120089600,1811768000,2005,6,GILD,Gilead Sciences,Health Care
14,1128038400,1824392000,2005,9,GILD,Gilead Sciences,Health Care
15,1143763200,1845700000,2006,3,GILD,Gilead Sciences,Health Care
16,1151625600,1830020000,2006,6,GILD,Gilead Sciences,Health Care
17,1159574400,1829732000,2006,9,GILD,Gilead Sciences,Health Care
18,1175299200,1853880000,2007,3,GILD,Gilead Sciences,Health Care
19,1183161600,1863354000,2007,6,GILD,Gilead Sciences,Health Care
20,1191110400,1853926000,2007,9,GILD,Gilead Sciences,Health Care
21,1206921600,1856208000,2008,3,GILD,Gilead Sciences,Health Care
22,1214784000,1845592000,2008,6,GILD,Gilead Sciences,Health Care
23,1222732800,1841614000,2008,9,GILD,Gilead Sciences,Health Care
24,1238457600,1819560000,2009,3,GILD,Gilead Sciences,Health Care
25,1246320000,1811222000,2009,6,GILD,Gilead Sciences,Health Care
26,1254268800,1806638000,2009,9,GILD,Gilead Sciences,Health Care
27,1269993600,1803212000,2010,3,GILD,Gilead Sciences,Health Care
28,1277856000,1763604000,2010,6,GILD,Gilead Sciences,Health Care
29,1285804800,1666012000,2010,9,GILD,Gilead Sciences,Health Care
30,1301529600,1592230000,2011,3,GILD,Gilead Sciences,Health Care
31,1309392000,1569614000,2011,6,GILD,Gilead Sciences,Health Care
32,1317340800,1534066000,2011,9,GILD,Gilead Sciences,Health Care
33,1333152000,1512572000,2012,3,GILD,Gilead Sciences,Health Care
34,1341014400,1513902000,2012,6,GILD,Gilead Sciences,Health Care
35,1348963200,1514770000,2012,9,GILD,Gilead Sciences,Health Care
36,1356912000,1517208000,2012,12,GILD,Gilead Sciences,Health Care
37,1364688000,1521372000,2013,3,GILD,Gilead Sciences,Health Care
38,1372550400,1526945000,2013,6,GILD,Gilead Sciences,Health Care
39,1380499200,1532105000,2013,9,GILD,Gilead Sciences,Health Care
40,1388448000,1533882000,2013,12,GILD,Gilead Sciences,Health Care
41,1396224000,1536525000,2014,3,GILD,Gilead Sciences,Health Care
42,1404086400,1532723000,2014,6,GILD,Gilead Sciences,Health Care
43,1412035200,1513899000,2014,9,GILD,Gilead Sciences,Health Care
44,1419984000,1506000000,2014,12,GILD,Gilead Sciences,Health Care
45,1427760000,1488000000,2015,3,GILD,Gilead Sciences,Health Care
46,1435622400,1472000000,2015,6,GILD,Gilead Sciences,Health Care
47,1443571200,1463000000,2015,9,GILD,Gilead Sciences,Health Care
48,1451520000,1436000000,2015,12,GILD,Gilead Sciences,Health Care
49,1459382400,1383000000,2016,3,GILD,Gilead Sciences,Health Care
50,1467244800,1335000000,2016,6,GILD,Gilead Sciences,Health Care
51,1475193600,1322000000,2016,9,GILD,Gilead Sciences,Health Care
52,1483142400,1316000000,2016,12,GILD,Gilead Sciences,Health Care
53,1490918400,1308000000,2017,3,GILD,Gilead Sciences,Health Care
54,1498780800,1307000000,2017,6,GILD,Gilead Sciences,Health Care
55,1506729600,1306000000,2017,9,GILD,Gilead Sciences,Health Care
56,1514678400,1307000000,2017,12,GILD,Gilead Sciences,Health Care
57,1522454400,1307000000,2018,3,GILD,Gilead Sciences,Health Care
58,1530316800,1298000000,2018,6,GILD,Gilead Sciences,Health Care
59,1538265600,1296000000,2018,9,GILD,Gilead Sciences,Health Care
60,1546214400,1290000000,2018,12,GILD,Gilead Sciences,Health Care
61,1553990400,1276000000,2019,3,GILD,Gilead Sciences,Health Care
62,1561852800,1270000000,2019,6,GILD,Gilead Sciences,Health Care
63,1569801600,1267000000,2019,9,GILD,Gilead Sciences,Health Care
64,1577750400,1266000000,2019,12,GILD,Gilead Sciences,Health Care
65,1585612800,1262000000,2020,3,GILD,Gilead Sciences,Health Care
66,1593475200,1255000000,2020,6,GILD,Gilead Sciences,Health Care
67,1601424000,1255000000,2020,9,GILD,Gilead Sciences,Health Care
68,1609372800,1255000000,2020,12,GILD,Gilead Sciences,Health Care
69,1617148800,1256000000,2021,3,GILD,Gilead Sciences,Health Care
70,1625011200,1255000000,2021,6,GILD,Gilead Sciences,Health Care
71,1632960000,1256000000,2021,9,GILD,Gilead Sciences,Health Care
72,1640908800,1256000000,2021,12,GILD,Gilead Sciences,Health Care
73,1648684800,1255000000,2022,3,GILD,Gilead Sciences,Health Care
74,1656547200,1256000000,2022,6,GILD,Gilead Sciences,Health Care
75,1668712403,1256000000,2022,11,GILD,Gilead Sciences,Health Care
