,d,v,years,months,ticker_symbol,security,sector
0,985996800,159304500,2001,3,ISRG,Intuitive Surgical,Health Care
1,993859200,160447500,2001,6,ISRG,Intuitive Surgical,Health Care
2,1001808000,162252000,2001,9,ISRG,Intuitive Surgical,Health Care
3,1017532800,163386000,2002,3,ISRG,Intuitive Surgical,Health Care
4,1025395200,163723500,2002,6,ISRG,Intuitive Surgical,Health Care
5,1033344000,164245500,2002,9,ISRG,Intuitive Surgical,Health Care
6,1049068800,165879000,2003,3,ISRG,Intuitive Surgical,Health Care
7,1056931200,167220000,2003,6,ISRG,Intuitive Surgical,Health Care
8,1064880000,241902000,2003,9,ISRG,Intuitive Surgical,Health Care
9,1080691200,299538000,2004,3,ISRG,Intuitive Surgical,Health Care
10,1088553600,302031000,2004,6,ISRG,Intuitive Surgical,Health Care
11,1096502400,304407000,2004,9,ISRG,Intuitive Surgical,Health Care
12,1112227200,310653000,2005,3,ISRG,Intuitive Surgical,Health Care
13,1120089600,313110000,2005,6,ISRG,Intuitive Surgical,Health Care
14,1128038400,316386000,2005,9,ISRG,Intuitive Surgical,Health Care
15,1143763200,327411000,2006,3,ISRG,Intuitive Surgical,Health Care
16,1151625600,330156000,2006,6,ISRG,Intuitive Surgical,Health Care
17,1159574400,331875000,2006,9,ISRG,Intuitive Surgical,Health Care
18,1175299200,335601000,2007,3,ISRG,Intuitive Surgical,Health Care
19,1183161600,338724000,2007,6,ISRG,Intuitive Surgical,Health Care
20,1191110400,342297000,2007,9,ISRG,Intuitive Surgical,Health Care
21,1206921600,347238000,2008,3,ISRG,Intuitive Surgical,Health Care
22,1214784000,348957000,2008,6,ISRG,Intuitive Surgical,Health Care
23,1222732800,351135000,2008,9,ISRG,Intuitive Surgical,Health Care
24,1238457600,349947000,2009,3,ISRG,Intuitive Surgical,Health Care
25,1246320000,341073000,2009,6,ISRG,Intuitive Surgical,Health Care
26,1254268800,342747000,2009,9,ISRG,Intuitive Surgical,Health Care
27,1269993600,349200000,2010,3,ISRG,Intuitive Surgical,Health Care
28,1277856000,353700000,2010,6,ISRG,Intuitive Surgical,Health Care
29,1285804800,354600000,2010,9,ISRG,Intuitive Surgical,Health Care
30,1301529600,351900000,2011,3,ISRG,Intuitive Surgical,Health Care
31,1309392000,352800000,2011,6,ISRG,Intuitive Surgical,Health Care
32,1317340800,351900000,2011,9,ISRG,Intuitive Surgical,Health Care
33,1333152000,355500000,2012,3,ISRG,Intuitive Surgical,Health Care
34,1341014400,359100000,2012,6,ISRG,Intuitive Surgical,Health Care
35,1348963200,359100000,2012,9,ISRG,Intuitive Surgical,Health Care
36,1356912000,360000000,2012,12,ISRG,Intuitive Surgical,Health Care
37,1364688000,362700000,2013,3,ISRG,Intuitive Surgical,Health Care
38,1372550400,359100000,2013,6,ISRG,Intuitive Surgical,Health Care
39,1380499200,347400000,2013,9,ISRG,Intuitive Surgical,Health Care
40,1388448000,349485981,2013,12,ISRG,Intuitive Surgical,Health Care
41,1396224000,352831858,2014,3,ISRG,Intuitive Surgical,Health Care
42,1404086400,332100000,2014,6,ISRG,Intuitive Surgical,Health Care
43,1412035200,324900000,2014,9,ISRG,Intuitive Surgical,Health Care
44,1427760000,330300000,2015,3,ISRG,Intuitive Surgical,Health Care
45,1435622400,332100000,2015,6,ISRG,Intuitive Surgical,Health Care
46,1443571200,335700000,2015,9,ISRG,Intuitive Surgical,Health Care
47,1451520000,335700000,2015,12,ISRG,Intuitive Surgical,Health Care
48,1459382400,339300000,2016,3,ISRG,Intuitive Surgical,Health Care
49,1467244800,344700000,2016,6,ISRG,Intuitive Surgical,Health Care
50,1475193600,348300000,2016,9,ISRG,Intuitive Surgical,Health Care
51,1483142400,349200000,2016,12,ISRG,Intuitive Surgical,Health Care
52,1490918400,335700000,2017,3,ISRG,Intuitive Surgical,Health Care
53,1498780800,333000000,2017,6,ISRG,Intuitive Surgical,Health Care
54,1506729600,335400000,2017,9,ISRG,Intuitive Surgical,Health Care
55,1514678400,336600000,2017,12,ISRG,Intuitive Surgical,Health Care
56,1522454400,338400000,2018,3,ISRG,Intuitive Surgical,Health Care
57,1530316800,341100000,2018,6,ISRG,Intuitive Surgical,Health Care
58,1538265600,342000000,2018,9,ISRG,Intuitive Surgical,Health Care
59,1553990400,345000000,2019,3,ISRG,Intuitive Surgical,Health Care
60,1561852800,346200000,2019,6,ISRG,Intuitive Surgical,Health Care
61,1569801600,346200000,2019,9,ISRG,Intuitive Surgical,Health Care
62,1577750400,347400000,2019,12,ISRG,Intuitive Surgical,Health Care
63,1585612800,349200000,2020,3,ISRG,Intuitive Surgical,Health Care
64,1593475200,350400000,2020,6,ISRG,Intuitive Surgical,Health Care
65,1601424000,351900000,2020,9,ISRG,Intuitive Surgical,Health Care
66,1609372800,352800000,2020,12,ISRG,Intuitive Surgical,Health Care
67,1617148800,354300000,2021,3,ISRG,Intuitive Surgical,Health Care
68,1625011200,355800000,2021,6,ISRG,Intuitive Surgical,Health Care
69,1632960000,356799999,2021,9,ISRG,Intuitive Surgical,Health Care
70,1640908800,357500000,2021,12,ISRG,Intuitive Surgical,Health Care
71,1648684800,358400000,2022,3,ISRG,Intuitive Surgical,Health Care
72,1656547200,358100000,2022,6,ISRG,Intuitive Surgical,Health Care
73,1668712529,355300000,2022,11,ISRG,Intuitive Surgical,Health Care
