,d,v,years,months,ticker_symbol,security,sector
0,985996800,2303700000,2001,3,MRK,Merck & Co.,Health Care
1,993859200,2290800000,2001,6,MRK,Merck & Co.,Health Care
2,1001808000,2282900000,2001,9,MRK,Merck & Co.,Health Care
3,1017532800,2271300000,2002,3,MRK,Merck & Co.,Health Care
4,1025395200,2262700000,2002,6,MRK,Merck & Co.,Health Care
5,1033344000,2249900000,2002,9,MRK,Merck & Co.,Health Care
6,1049068800,2244300000,2003,3,MRK,Merck & Co.,Health Care
7,1056931200,2241400000,2003,6,MRK,Merck & Co.,Health Care
8,1064880000,2237000000,2003,9,MRK,Merck & Co.,Health Care
9,1080691200,2222600000,2004,3,MRK,Merck & Co.,Health Care
10,1088553600,2221400000,2004,6,MRK,Merck & Co.,Health Care
11,1096502400,2218500000,2004,9,MRK,Merck & Co.,Health Care
12,1112227200,2207200000,2005,3,MRK,Merck & Co.,Health Care
13,1120089600,2201800000,2005,6,MRK,Merck & Co.,Health Care
14,1128038400,2194000000,2005,9,MRK,Merck & Co.,Health Care
15,1143763200,2184300000,2006,3,MRK,Merck & Co.,Health Care
16,1151625600,2181300000,2006,6,MRK,Merck & Co.,Health Care
17,1159574400,2175200000,2006,9,MRK,Merck & Co.,Health Care
18,1175299200,2157341772,2007,3,MRK,Merck & Co.,Health Care
19,1183161600,2177142857,2007,6,MRK,Merck & Co.,Health Care
20,1191110400,2179285714,2007,9,MRK,Merck & Co.,Health Care
21,1206921600,2160300000,2008,3,MRK,Merck & Co.,Health Care
22,1214784000,2144500000,2008,6,MRK,Merck & Co.,Health Care
23,1222732800,2128500000,2008,9,MRK,Merck & Co.,Health Care
24,1238457600,2108669357,2009,3,MRK,Merck & Co.,Health Care
25,1246320000,2110000000,2009,6,MRK,Merck & Co.,Health Care
26,1254268800,2109100000,2009,9,MRK,Merck & Co.,Health Care
27,1269993600,3117641862,2010,3,MRK,Merck & Co.,Health Care
28,1277856000,3114300000,2010,6,MRK,Merck & Co.,Health Care
29,1285804800,3079918606,2010,9,MRK,Merck & Co.,Health Care
30,1301529600,3085291294,2011,3,MRK,Merck & Co.,Health Care
31,1309392000,3083012450,2011,6,MRK,Merck & Co.,Health Care
32,1317340800,3070000000,2011,9,MRK,Merck & Co.,Health Care
33,1325289600,3040838643,2011,12,MRK,Merck & Co.,Health Care
34,1333152000,3041984306,2012,3,MRK,Merck & Co.,Health Care
35,1341014400,3038908996,2012,6,MRK,Merck & Co.,Health Care
36,1348963200,3044404255,2012,9,MRK,Merck & Co.,Health Care
37,1356912000,3026635301,2012,12,MRK,Merck & Co.,Health Care
38,1364688000,3017375569,2013,3,MRK,Merck & Co.,Health Care
39,1372550400,2926472850,2013,6,MRK,Merck & Co.,Health Care
40,1380499200,2927000000,2013,9,MRK,Merck & Co.,Health Care
41,1388448000,2927526714,2013,12,MRK,Merck & Co.,Health Care
42,1396224000,2929538434,2014,3,MRK,Merck & Co.,Health Care
43,1404086400,2899710364,2014,6,MRK,Merck & Co.,Health Care
44,1412035200,2860842886,2014,9,MRK,Merck & Co.,Health Care
45,1419984000,2838140196,2014,12,MRK,Merck & Co.,Health Care
46,1427760000,2828388471,2015,3,MRK,Merck & Co.,Health Care
47,1435622400,2823955757,2015,6,MRK,Merck & Co.,Health Care
48,1443571200,2802234464,2015,9,MRK,Merck & Co.,Health Care
49,1451520000,2781128073,2015,12,MRK,Merck & Co.,Health Care
50,1459382400,2769552710,2016,3,MRK,Merck & Co.,Health Care
51,1467244800,2765627486,2016,6,MRK,Merck & Co.,Health Care
52,1475193600,2761661188,2016,9,MRK,Merck & Co.,Health Care
53,1483142400,2748731322,2016,12,MRK,Merck & Co.,Health Care
54,1490918400,2740435881,2017,3,MRK,Merck & Co.,Health Care
55,1498780800,2727128779,2017,6,MRK,Merck & Co.,Health Care
56,1506729600,2727000000,2017,9,MRK,Merck & Co.,Health Care
57,1514678400,2696611608,2017,12,MRK,Merck & Co.,Health Care
58,1522454400,2692481383,2018,3,MRK,Merck & Co.,Health Care
59,1530316800,2670041946,2018,6,MRK,Merck & Co.,Health Care
60,1538265600,2658739396,2018,9,MRK,Merck & Co.,Health Care
61,1546214400,2592559543,2018,12,MRK,Merck & Co.,Health Care
62,1553990400,2583071214,2019,3,MRK,Merck & Co.,Health Care
63,1561852800,2566795022,2019,6,MRK,Merck & Co.,Health Care
64,1569801600,2550888630,2019,9,MRK,Merck & Co.,Health Care
65,1577750400,2539016026,2019,12,MRK,Merck & Co.,Health Care
66,1585612800,2524013328,2020,3,MRK,Merck & Co.,Health Care
67,1593475200,2529168427,2020,6,MRK,Merck & Co.,Health Care
68,1601424000,2529760132,2020,9,MRK,Merck & Co.,Health Care
69,1609372800,2530225827,2020,12,MRK,Merck & Co.,Health Care
70,1617148800,2531303747,2021,3,MRK,Merck & Co.,Health Care
71,1625011200,2533000000,2021,6,MRK,Merck & Co.,Health Care
72,1632960000,2530000000,2021,9,MRK,Merck & Co.,Health Care
73,1640908800,2527000000,2021,12,MRK,Merck & Co.,Health Care
74,1648684800,2528000000,2022,3,MRK,Merck & Co.,Health Care
75,1656547200,2531000000,2022,6,MRK,Merck & Co.,Health Care
76,1668712623,2531000000,2022,11,MRK,Merck & Co.,Health Care
