,d,v,years,months,ticker_symbol,security,sector
0,985996800,6247000000,2001,3,PFE,Pfizer,Health Care
1,993859200,6250000000,2001,6,PFE,Pfizer,Health Care
2,1001808000,6241000000,2001,9,PFE,Pfizer,Health Care
3,1017532800,6205500000,2002,3,PFE,Pfizer,Health Care
4,1025395200,6185100000,2002,6,PFE,Pfizer,Health Care
5,1033344000,6126300000,2002,9,PFE,Pfizer,Health Care
6,1049068800,6101400000,2003,3,PFE,Pfizer,Health Care
7,1056931200,7453400000,2003,6,PFE,Pfizer,Health Care
8,1064880000,7710700000,2003,9,PFE,Pfizer,Health Care
9,1080691200,7586400000,2004,3,PFE,Pfizer,Health Care
10,1088553600,7574100000,2004,6,PFE,Pfizer,Health Care
11,1096502400,7500800000,2004,9,PFE,Pfizer,Health Care
12,1112227200,7416000000,2005,3,PFE,Pfizer,Health Care
13,1120089600,7366000000,2005,6,PFE,Pfizer,Health Care
14,1128038400,7333000000,2005,9,PFE,Pfizer,Health Care
15,1143763200,7314000000,2006,3,PFE,Pfizer,Health Care
16,1151625600,7282000000,2006,6,PFE,Pfizer,Health Care
17,1159574400,7228000000,2006,9,PFE,Pfizer,Health Care
18,1175299200,7051000000,2007,3,PFE,Pfizer,Health Care
19,1183161600,6966000000,2007,6,PFE,Pfizer,Health Care
20,1191110400,6875000000,2007,9,PFE,Pfizer,Health Care
21,1206921600,6739000000,2008,3,PFE,Pfizer,Health Care
22,1214784000,6732000000,2008,6,PFE,Pfizer,Health Care
23,1222732800,6718000000,2008,9,PFE,Pfizer,Health Care
24,1238457600,6723000000,2009,3,PFE,Pfizer,Health Care
25,1246320000,6728000000,2009,6,PFE,Pfizer,Health Care
26,1254268800,6730000000,2009,9,PFE,Pfizer,Health Care
27,1269993600,8061000000,2010,3,PFE,Pfizer,Health Care
28,1277856000,8046000000,2010,6,PFE,Pfizer,Health Care
29,1285804800,8027000000,2010,9,PFE,Pfizer,Health Care
30,1301529600,7982000000,2011,3,PFE,Pfizer,Health Care
31,1309392000,7875000000,2011,6,PFE,Pfizer,Health Care
32,1317340800,7770000000,2011,9,PFE,Pfizer,Health Care
33,1325289600,7635000000,2011,12,PFE,Pfizer,Health Care
34,1333152000,7537000000,2012,3,PFE,Pfizer,Health Care
35,1341014400,7476000000,2012,6,PFE,Pfizer,Health Care
36,1348963200,7436000000,2012,9,PFE,Pfizer,Health Care
37,1356912000,7319000000,2012,12,PFE,Pfizer,Health Care
38,1364688000,7187000000,2013,3,PFE,Pfizer,Health Care
39,1372550400,7042000000,2013,6,PFE,Pfizer,Health Care
40,1380499200,6581000000,2013,9,PFE,Pfizer,Health Care
41,1388448000,6443000000,2013,12,PFE,Pfizer,Health Care
42,1396224000,6389000000,2014,3,PFE,Pfizer,Health Care
43,1404086400,6368000000,2014,6,PFE,Pfizer,Health Care
44,1412035200,6330000000,2014,9,PFE,Pfizer,Health Care
45,1419984000,6296000000,2014,12,PFE,Pfizer,Health Care
46,1427760000,6203000000,2015,3,PFE,Pfizer,Health Care
47,1435622400,6159000000,2015,6,PFE,Pfizer,Health Care
48,1443571200,6168000000,2015,9,PFE,Pfizer,Health Care
49,1451520000,6174000000,2015,12,PFE,Pfizer,Health Care
50,1459382400,6150000000,2016,3,PFE,Pfizer,Health Care
51,1467244800,6068000000,2016,6,PFE,Pfizer,Health Care
52,1475193600,6066000000,2016,9,PFE,Pfizer,Health Care
53,1483142400,6070000000,2016,12,PFE,Pfizer,Health Care
54,1490918400,6006000000,2017,3,PFE,Pfizer,Health Care
55,1498780800,5958000000,2017,6,PFE,Pfizer,Health Care
56,1506729600,5951000000,2017,9,PFE,Pfizer,Health Care
57,1514678400,5963000000,2017,12,PFE,Pfizer,Health Care
58,1522454400,5957000000,2018,3,PFE,Pfizer,Health Care
59,1530316800,5866000000,2018,6,PFE,Pfizer,Health Care
60,1538265600,5875000000,2018,9,PFE,Pfizer,Health Care
61,1546214400,5788000000,2018,12,PFE,Pfizer,Health Care
62,1553990400,5635000000,2019,3,PFE,Pfizer,Health Care
63,1561852800,5562000000,2019,6,PFE,Pfizer,Health Care
64,1569801600,5545000000,2019,9,PFE,Pfizer,Health Care
65,1577750400,5535000000,2019,12,PFE,Pfizer,Health Care
66,1585612800,5545000000,2020,3,PFE,Pfizer,Health Care
67,1593475200,5554000000,2020,6,PFE,Pfizer,Health Care
68,1601424000,5557000000,2020,9,PFE,Pfizer,Health Care
69,1609372800,5562000000,2020,12,PFE,Pfizer,Health Care
70,1617148800,5584000000,2021,3,PFE,Pfizer,Health Care
71,1625011200,5598000000,2021,6,PFE,Pfizer,Health Care
72,1632960000,5609000000,2021,9,PFE,Pfizer,Health Care
73,1640908800,5616000000,2021,12,PFE,Pfizer,Health Care
74,1648684800,5617000000,2022,3,PFE,Pfizer,Health Care
75,1656547200,5593000000,2022,6,PFE,Pfizer,Health Care
76,1668712716,5593000000,2022,11,PFE,Pfizer,Health Care
