,d,v,years,months,ticker_symbol,security,sector
0,985996800,100014000,2001,3,PKI,PerkinElmer,Health Care
1,993859200,100622000,2001,6,PKI,PerkinElmer,Health Care
2,1001808000,101133000,2001,9,PKI,PerkinElmer,Health Care
3,1017532800,124864000,2002,3,PKI,PerkinElmer,Health Care
4,1025395200,124901000,2002,6,PKI,PerkinElmer,Health Care
5,1033344000,126240000,2002,9,PKI,PerkinElmer,Health Care
6,1049068800,125649000,2003,3,PKI,PerkinElmer,Health Care
7,1056931200,125707000,2003,6,PKI,PerkinElmer,Health Care
8,1064880000,126287000,2003,9,PKI,PerkinElmer,Health Care
9,1080691200,126685000,2004,3,PKI,PerkinElmer,Health Care
10,1088553600,127121000,2004,6,PKI,PerkinElmer,Health Care
11,1096502400,127562000,2004,9,PKI,PerkinElmer,Health Care
12,1112227200,128828000,2005,3,PKI,PerkinElmer,Health Care
13,1120089600,129034000,2005,6,PKI,PerkinElmer,Health Care
14,1128038400,129543000,2005,9,PKI,PerkinElmer,Health Care
15,1143763200,127918000,2006,3,PKI,PerkinElmer,Health Care
16,1151625600,126119000,2006,6,PKI,PerkinElmer,Health Care
17,1159574400,124277000,2006,9,PKI,PerkinElmer,Health Care
18,1175299200,121685000,2007,3,PKI,PerkinElmer,Health Care
19,1183161600,118911000,2007,6,PKI,PerkinElmer,Health Care
20,1191110400,117583000,2007,9,PKI,PerkinElmer,Health Care
21,1206921600,117305000,2008,3,PKI,PerkinElmer,Health Care
22,1214784000,117811000,2008,6,PKI,PerkinElmer,Health Care
23,1222732800,118347000,2008,9,PKI,PerkinElmer,Health Care
24,1238457600,116408000,2009,3,PKI,PerkinElmer,Health Care
25,1246320000,116408000,2009,6,PKI,PerkinElmer,Health Care
26,1254268800,116235000,2009,9,PKI,PerkinElmer,Health Care
27,1269993600,117790000,2010,3,PKI,PerkinElmer,Health Care
28,1277856000,117189000,2010,6,PKI,PerkinElmer,Health Care
29,1285804800,118034000,2010,9,PKI,PerkinElmer,Health Care
30,1301529600,112706000,2011,3,PKI,PerkinElmer,Health Care
31,1309392000,113077000,2011,6,PKI,PerkinElmer,Health Care
32,1317340800,113085000,2011,9,PKI,PerkinElmer,Health Care
33,1333152000,113831000,2012,3,PKI,PerkinElmer,Health Care
34,1341014400,114060000,2012,6,PKI,PerkinElmer,Health Care
35,1348963200,114595000,2012,9,PKI,PerkinElmer,Health Care
36,1356912000,115036000,2012,12,PKI,PerkinElmer,Health Care
37,1364688000,111865000,2013,3,PKI,PerkinElmer,Health Care
38,1372550400,111999000,2013,6,PKI,PerkinElmer,Health Care
39,1380499200,112382000,2013,9,PKI,PerkinElmer,Health Care
40,1388448000,112626000,2013,12,PKI,PerkinElmer,Health Care
41,1396224000,113104000,2014,3,PKI,PerkinElmer,Health Care
42,1404086400,112875000,2014,6,PKI,PerkinElmer,Health Care
43,1412035200,112962000,2014,9,PKI,PerkinElmer,Health Care
44,1419984000,112481000,2014,12,PKI,PerkinElmer,Health Care
45,1427760000,113190000,2015,3,PKI,PerkinElmer,Health Care
46,1435622400,113355000,2015,6,PKI,PerkinElmer,Health Care
47,1443571200,111905000,2015,9,PKI,PerkinElmer,Health Care
48,1451520000,112034000,2015,12,PKI,PerkinElmer,Health Care
49,1459382400,109015000,2016,3,PKI,PerkinElmer,Health Care
50,1467244800,109394000,2016,6,PKI,PerkinElmer,Health Care
51,1475193600,109511000,2016,9,PKI,PerkinElmer,Health Care
52,1483142400,109617000,2016,12,PKI,PerkinElmer,Health Care
53,1490918400,109859000,2017,3,PKI,PerkinElmer,Health Care
54,1498780800,110196000,2017,6,PKI,PerkinElmer,Health Care
55,1506729600,110207000,2017,9,PKI,PerkinElmer,Health Care
56,1514678400,110361000,2017,12,PKI,PerkinElmer,Health Care
57,1522454400,110620000,2018,3,PKI,PerkinElmer,Health Care
58,1530316800,110716000,2018,6,PKI,PerkinElmer,Health Care
59,1538265600,111087000,2018,9,PKI,PerkinElmer,Health Care
60,1546214400,110597000,2018,12,PKI,PerkinElmer,Health Care
61,1553990400,111293000,2019,3,PKI,PerkinElmer,Health Care
62,1561852800,111071000,2019,6,PKI,PerkinElmer,Health Care
63,1569801600,111093000,2019,9,PKI,PerkinElmer,Health Care
64,1577750400,111140000,2019,12,PKI,PerkinElmer,Health Care
65,1585612800,111306000,2020,3,PKI,PerkinElmer,Health Care
66,1593475200,111501000,2020,6,PKI,PerkinElmer,Health Care
67,1601424000,111878000,2020,9,PKI,PerkinElmer,Health Care
68,1609372800,112090000,2020,12,PKI,PerkinElmer,Health Care
69,1617148800,112066000,2021,3,PKI,PerkinElmer,Health Care
70,1625011200,112025000,2021,6,PKI,PerkinElmer,Health Care
71,1632960000,126200000,2021,9,PKI,PerkinElmer,Health Care
72,1640908800,126241000,2021,12,PKI,PerkinElmer,Health Care
73,1648684800,126140000,2022,3,PKI,PerkinElmer,Health Care
74,1656547200,126218000,2022,6,PKI,PerkinElmer,Health Care
75,1668712701,126218000,2022,11,PKI,PerkinElmer,Health Care
