,d,v,years,months,ticker_symbol,security,sector
0,985996800,392000000,2001,3,SYK,Stryker Corporation,Health Care
1,993859200,392400000,2001,6,SYK,Stryker Corporation,Health Care
2,1001808000,392600000,2001,9,SYK,Stryker Corporation,Health Care
3,1017532800,394000000,2002,3,SYK,Stryker Corporation,Health Care
4,1025395200,394800000,2002,6,SYK,Stryker Corporation,Health Care
5,1033344000,395400000,2002,9,SYK,Stryker Corporation,Health Care
6,1049068800,396600000,2003,3,SYK,Stryker Corporation,Health Care
7,1056931200,397200000,2003,6,SYK,Stryker Corporation,Health Care
8,1064880000,398200000,2003,9,SYK,Stryker Corporation,Health Care
9,1080691200,399800000,2004,3,SYK,Stryker Corporation,Health Care
10,1088553600,400800000,2004,6,SYK,Stryker Corporation,Health Care
11,1096502400,401700000,2004,9,SYK,Stryker Corporation,Health Care
12,1112227200,402800000,2005,3,SYK,Stryker Corporation,Health Care
13,1120089600,403300000,2005,6,SYK,Stryker Corporation,Health Care
14,1128038400,403700000,2005,9,SYK,Stryker Corporation,Health Care
15,1143763200,405700000,2006,3,SYK,Stryker Corporation,Health Care
16,1151625600,406400000,2006,6,SYK,Stryker Corporation,Health Care
17,1159574400,406700000,2006,9,SYK,Stryker Corporation,Health Care
18,1175299200,408600000,2007,3,SYK,Stryker Corporation,Health Care
19,1183161600,409400000,2007,6,SYK,Stryker Corporation,Health Care
20,1191110400,410000000,2007,9,SYK,Stryker Corporation,Health Care
21,1206921600,411400000,2008,3,SYK,Stryker Corporation,Health Care
22,1214784000,412000000,2008,6,SYK,Stryker Corporation,Health Care
23,1222732800,409700000,2008,9,SYK,Stryker Corporation,Health Care
24,1238457600,396700000,2009,3,SYK,Stryker Corporation,Health Care
25,1246320000,397400000,2009,6,SYK,Stryker Corporation,Health Care
26,1254268800,397600000,2009,9,SYK,Stryker Corporation,Health Care
27,1269993600,397200000,2010,3,SYK,Stryker Corporation,Health Care
28,1277856000,396900000,2010,6,SYK,Stryker Corporation,Health Care
29,1285804800,397000000,2010,9,SYK,Stryker Corporation,Health Care
30,1301529600,390000000,2011,3,SYK,Stryker Corporation,Health Care
31,1309392000,388200000,2011,6,SYK,Stryker Corporation,Health Care
32,1317340800,386000000,2011,9,SYK,Stryker Corporation,Health Care
33,1333152000,381000000,2012,3,SYK,Stryker Corporation,Health Care
34,1341014400,381000000,2012,6,SYK,Stryker Corporation,Health Care
35,1348963200,380200000,2012,9,SYK,Stryker Corporation,Health Care
36,1356912000,380300000,2012,12,SYK,Stryker Corporation,Health Care
37,1364688000,379700000,2013,3,SYK,Stryker Corporation,Health Care
38,1372550400,378000000,2013,6,SYK,Stryker Corporation,Health Care
39,1380499200,378300000,2013,9,SYK,Stryker Corporation,Health Care
40,1388448000,378400000,2013,12,SYK,Stryker Corporation,Health Care
41,1396224000,378200000,2014,3,SYK,Stryker Corporation,Health Care
42,1404086400,378800000,2014,6,SYK,Stryker Corporation,Health Care
43,1412035200,378400000,2014,9,SYK,Stryker Corporation,Health Care
44,1419984000,378500000,2014,12,SYK,Stryker Corporation,Health Care
45,1427760000,378900000,2015,3,SYK,Stryker Corporation,Health Care
46,1435622400,377000000,2015,6,SYK,Stryker Corporation,Health Care
47,1443571200,376300000,2015,9,SYK,Stryker Corporation,Health Care
48,1451520000,374300000,2015,12,SYK,Stryker Corporation,Health Care
49,1459382400,373200000,2016,3,SYK,Stryker Corporation,Health Care
50,1467244800,374200000,2016,6,SYK,Stryker Corporation,Health Care
51,1475193600,374400000,2016,9,SYK,Stryker Corporation,Health Care
52,1483142400,374500000,2016,12,SYK,Stryker Corporation,Health Care
53,1490918400,373400000,2017,3,SYK,Stryker Corporation,Health Care
54,1498780800,373900000,2017,6,SYK,Stryker Corporation,Health Care
55,1506729600,374200000,2017,9,SYK,Stryker Corporation,Health Care
56,1514678400,374400000,2017,12,SYK,Stryker Corporation,Health Care
57,1522454400,374000000,2018,3,SYK,Stryker Corporation,Health Care
58,1530316800,373900000,2018,6,SYK,Stryker Corporation,Health Care
59,1538265600,374100000,2018,9,SYK,Stryker Corporation,Health Care
60,1546214400,374300000,2018,12,SYK,Stryker Corporation,Health Care
61,1553990400,373300000,2019,3,SYK,Stryker Corporation,Health Care
62,1561852800,373900000,2019,6,SYK,Stryker Corporation,Health Care
63,1569801600,374200000,2019,9,SYK,Stryker Corporation,Health Care
64,1577750400,374400000,2019,12,SYK,Stryker Corporation,Health Care
65,1585612800,374800000,2020,3,SYK,Stryker Corporation,Health Care
66,1593475200,375500000,2020,6,SYK,Stryker Corporation,Health Care
67,1601424000,375700000,2020,9,SYK,Stryker Corporation,Health Care
68,1609372800,375900000,2020,12,SYK,Stryker Corporation,Health Care
69,1617148800,376300000,2021,3,SYK,Stryker Corporation,Health Care
70,1625011200,376900000,2021,6,SYK,Stryker Corporation,Health Care
71,1632960000,377100000,2021,9,SYK,Stryker Corporation,Health Care
72,1640908800,377300000,2021,12,SYK,Stryker Corporation,Health Care
73,1648684800,377700000,2022,3,SYK,Stryker Corporation,Health Care
74,1656547200,378300000,2022,6,SYK,Stryker Corporation,Health Care
75,1668712792,378300000,2022,11,SYK,Stryker Corporation,Health Care
