,d,v,years,months,ticker_symbol,security,sector
0,985996800,1270800000,2001,3,UNH,UnitedHealth Group,Health Care
1,993859200,1251600000,2001,6,UNH,UnitedHealth Group,Health Care
2,1001808000,1236400000,2001,9,UNH,UnitedHealth Group,Health Care
3,1017532800,1229600000,2002,3,UNH,UnitedHealth Group,Health Care
4,1025395200,1219600000,2002,6,UNH,UnitedHealth Group,Health Care
5,1033344000,1200400000,2002,9,UNH,UnitedHealth Group,Health Care
6,1049068800,1193200000,2003,3,UNH,UnitedHealth Group,Health Care
7,1056931200,1180000000,2003,6,UNH,UnitedHealth Group,Health Care
8,1064880000,1178000000,2003,9,UNH,UnitedHealth Group,Health Care
9,1080691200,1202000000,2004,3,UNH,UnitedHealth Group,Health Care
10,1088553600,1220000000,2004,6,UNH,UnitedHealth Group,Health Care
11,1096502400,1282000000,2004,9,UNH,UnitedHealth Group,Health Care
12,1112227200,1278000000,2005,3,UNH,UnitedHealth Group,Health Care
13,1120089600,1258000000,2005,6,UNH,UnitedHealth Group,Health Care
14,1128038400,1255000000,2005,9,UNH,UnitedHealth Group,Health Care
15,1143763200,1353000000,2006,3,UNH,UnitedHealth Group,Health Care
16,1151625600,1339000000,2006,6,UNH,UnitedHealth Group,Health Care
17,1159574400,1341000000,2006,9,UNH,UnitedHealth Group,Health Care
18,1175299200,1343000000,2007,3,UNH,UnitedHealth Group,Health Care
19,1183161600,1326000000,2007,6,UNH,UnitedHealth Group,Health Care
20,1191110400,1304000000,2007,9,UNH,UnitedHealth Group,Health Care
21,1206921600,1240000000,2008,3,UNH,UnitedHealth Group,Health Care
22,1214784000,1216000000,2008,6,UNH,UnitedHealth Group,Health Care
23,1222732800,1204000000,2008,9,UNH,UnitedHealth Group,Health Care
24,1238457600,1198000000,2009,3,UNH,UnitedHealth Group,Health Care
25,1246320000,1198000000,2009,6,UNH,UnitedHealth Group,Health Care
26,1254268800,1184000000,2009,9,UNH,UnitedHealth Group,Health Care
27,1269993600,1133000000,2010,3,UNH,UnitedHealth Group,Health Care
28,1277856000,1145000000,2010,6,UNH,UnitedHealth Group,Health Care
29,1285804800,1099000000,2010,9,UNH,UnitedHealth Group,Health Care
30,1301529600,1077000000,2011,3,UNH,UnitedHealth Group,Health Care
31,1309392000,1069000000,2011,6,UNH,UnitedHealth Group,Health Care
32,1317340800,1054000000,2011,9,UNH,UnitedHealth Group,Health Care
33,1333152000,1033000000,2012,3,UNH,UnitedHealth Group,Health Care
34,1341014400,1024000000,2012,6,UNH,UnitedHealth Group,Health Care
35,1348963200,1012000000,2012,9,UNH,UnitedHealth Group,Health Care
36,1356912000,1019000000,2012,12,UNH,UnitedHealth Group,Health Care
37,1364688000,1013000000,2013,3,UNH,UnitedHealth Group,Health Care
38,1372550400,1006000000,2013,6,UNH,UnitedHealth Group,Health Care
39,1380499200,998000000,2013,9,UNH,UnitedHealth Group,Health Care
40,1388448000,988000000,2013,12,UNH,UnitedHealth Group,Health Care
41,1396224000,984000000,2014,3,UNH,UnitedHealth Group,Health Care
42,1404086400,973000000,2014,6,UNH,UnitedHealth Group,Health Care
43,1412035200,962000000,2014,9,UNH,UnitedHealth Group,Health Care
44,1419984000,954000000,2014,12,UNH,UnitedHealth Group,Health Care
45,1427760000,952000000,2015,3,UNH,UnitedHealth Group,Health Care
46,1435622400,952000000,2015,6,UNH,UnitedHealth Group,Health Care
47,1443571200,953000000,2015,9,UNH,UnitedHealth Group,Health Care
48,1451520000,953000000,2015,12,UNH,UnitedHealth Group,Health Care
49,1459382400,954000000,2016,3,UNH,UnitedHealth Group,Health Care
50,1467244800,951000000,2016,6,UNH,UnitedHealth Group,Health Care
51,1475193600,952000000,2016,9,UNH,UnitedHealth Group,Health Care
52,1483142400,952000000,2016,12,UNH,UnitedHealth Group,Health Care
53,1490918400,965000000,2017,3,UNH,UnitedHealth Group,Health Care
54,1498780800,965000000,2017,6,UNH,UnitedHealth Group,Health Care
55,1506729600,969000000,2017,9,UNH,UnitedHealth Group,Health Care
56,1514678400,969000000,2017,12,UNH,UnitedHealth Group,Health Care
57,1522454400,962000000,2018,3,UNH,UnitedHealth Group,Health Care
58,1530316800,962000000,2018,6,UNH,UnitedHealth Group,Health Care
59,1538265600,962000000,2018,9,UNH,UnitedHealth Group,Health Care
60,1546214400,960000000,2018,12,UNH,UnitedHealth Group,Health Care
61,1553990400,953000000,2019,3,UNH,UnitedHealth Group,Health Care
62,1561852800,948000000,2019,6,UNH,UnitedHealth Group,Health Care
63,1569801600,947000000,2019,9,UNH,UnitedHealth Group,Health Care
64,1577750400,948000000,2019,12,UNH,UnitedHealth Group,Health Care
65,1585612800,947000000,2020,3,UNH,UnitedHealth Group,Health Care
66,1593475200,950000000,2020,6,UNH,UnitedHealth Group,Health Care
67,1601424000,949000000,2020,9,UNH,UnitedHealth Group,Health Care
68,1609372800,946000000,2020,12,UNH,UnitedHealth Group,Health Care
69,1617148800,944000000,2021,3,UNH,UnitedHealth Group,Health Care
70,1625011200,943000000,2021,6,UNH,UnitedHealth Group,Health Care
71,1632960000,942000000,2021,9,UNH,UnitedHealth Group,Health Care
72,1640908800,941000000,2021,12,UNH,UnitedHealth Group,Health Care
73,1648684800,939000000,2022,3,UNH,UnitedHealth Group,Health Care
74,1656547200,935000000,2022,6,UNH,UnitedHealth Group,Health Care
75,1668712840,935382710,2022,11,UNH,UnitedHealth Group,Health Care
