,d,v,years,months,ticker_symbol,security,sector
0,993859200,281319750,2001,6,VTRS,Viatris,Health Care
1,1001808000,282087000,2001,9,VTRS,Viatris,Health Care
2,1009756800,282582000,2001,12,VTRS,Viatris,Health Care
3,1025395200,283392000,2002,6,VTRS,Viatris,Health Care
4,1033344000,282064500,2002,9,VTRS,Viatris,Health Care
5,1041292800,276522000,2002,12,VTRS,Viatris,Health Care
6,1056931200,270220500,2003,6,VTRS,Viatris,Health Care
7,1064880000,268644000,2003,9,VTRS,Viatris,Health Care
8,1072828800,268560000,2003,12,VTRS,Viatris,Health Care
9,1088553600,268553000,2004,6,VTRS,Viatris,Health Care
10,1096502400,268945000,2004,9,VTRS,Viatris,Health Care
11,1104451200,269165000,2004,12,VTRS,Viatris,Health Care
12,1120089600,269445000,2005,6,VTRS,Viatris,Health Care
13,1128038400,225042000,2005,9,VTRS,Viatris,Health Care
14,1135987200,213351000,2005,12,VTRS,Viatris,Health Care
15,1151625600,209955000,2006,6,VTRS,Viatris,Health Care
16,1159574400,210999000,2006,9,VTRS,Viatris,Health Care
17,1167523200,212271000,2006,12,VTRS,Viatris,Health Care
18,1183161600,248477000,2007,6,VTRS,Viatris,Health Care
19,1191110400,248660000,2007,9,VTRS,Viatris,Health Care
20,1206921600,304181000,2008,3,VTRS,Viatris,Health Care
21,1214784000,304284000,2008,6,VTRS,Viatris,Health Care
22,1222732800,304449000,2008,9,VTRS,Viatris,Health Care
23,1238457600,304578000,2009,3,VTRS,Viatris,Health Care
24,1246320000,304991000,2009,6,VTRS,Viatris,Health Care
25,1254268800,305285000,2009,9,VTRS,Viatris,Health Care
26,1269993600,306996000,2010,3,VTRS,Viatris,Health Care
27,1277856000,308968000,2010,6,VTRS,Viatris,Health Care
28,1285804800,309446000,2010,9,VTRS,Viatris,Health Care
29,1301529600,437148000,2011,3,VTRS,Viatris,Health Care
30,1309392000,433236000,2011,6,VTRS,Viatris,Health Care
31,1317340800,426412000,2011,9,VTRS,Viatris,Health Care
32,1333152000,427257000,2012,3,VTRS,Viatris,Health Care
33,1341014400,420281000,2012,6,VTRS,Viatris,Health Care
34,1348963200,406469000,2012,9,VTRS,Viatris,Health Care
35,1356912000,406840000,2012,12,VTRS,Viatris,Health Care
36,1364688000,393163000,2013,3,VTRS,Viatris,Health Care
37,1372550400,381194000,2013,6,VTRS,Viatris,Health Care
38,1380499200,382134000,2013,9,VTRS,Viatris,Health Care
39,1396224000,372300000,2014,3,VTRS,Viatris,Health Care
40,1404086400,373800000,2014,6,VTRS,Viatris,Health Care
41,1412035200,374100000,2014,9,VTRS,Viatris,Health Care
42,1419984000,374600000,2014,12,VTRS,Viatris,Health Care
43,1427760000,418000000,2015,3,VTRS,Viatris,Health Care
44,1435622400,490100000,2015,6,VTRS,Viatris,Health Care
45,1443571200,490500000,2015,9,VTRS,Viatris,Health Care
46,1451520000,490200000,2015,12,VTRS,Viatris,Health Care
47,1459382400,489800000,2016,3,VTRS,Viatris,Health Care
48,1467244800,504400000,2016,6,VTRS,Viatris,Health Care
49,1475193600,523600000,2016,9,VTRS,Viatris,Health Care
50,1483142400,534100000,2016,12,VTRS,Viatris,Health Care
51,1490918400,534500000,2017,3,VTRS,Viatris,Health Care
52,1498780800,535000000,2017,6,VTRS,Viatris,Health Care
53,1506729600,535200000,2017,9,VTRS,Viatris,Health Care
54,1514678400,533300000,2017,12,VTRS,Viatris,Health Care
55,1522454400,514400000,2018,3,VTRS,Viatris,Health Care
56,1530316800,514400000,2018,6,VTRS,Viatris,Health Care
57,1538265600,514500000,2018,9,VTRS,Viatris,Health Care
58,1546214400,514600000,2018,12,VTRS,Viatris,Health Care
59,1553990400,515000000,2019,3,VTRS,Viatris,Health Care
60,1561852800,515500000,2019,6,VTRS,Viatris,Health Care
61,1569801600,516000000,2019,9,VTRS,Viatris,Health Care
62,1577750400,516100000,2019,12,VTRS,Viatris,Health Care
63,1585612800,516400000,2020,3,VTRS,Viatris,Health Care
64,1593475200,516900000,2020,6,VTRS,Viatris,Health Care
65,1601424000,516900000,2020,9,VTRS,Viatris,Health Care
66,1617148800,1207500000,2021,3,VTRS,Viatris,Health Care
67,1625011200,1208800000,2021,6,VTRS,Viatris,Health Care
68,1632960000,1209300000,2021,9,VTRS,Viatris,Health Care
69,1640908800,1209400000,2021,12,VTRS,Viatris,Health Care
70,1648684800,1210500000,2022,3,VTRS,Viatris,Health Care
71,1656547200,1212300000,2022,6,VTRS,Viatris,Health Care
72,1668712887,1212300000,2022,11,VTRS,Viatris,Health Care
