,d,v,years,months,ticker_symbol,security,sector
0,985996800,57280000,2001,3,WST,West Pharmaceutical Services,Health Care
1,993859200,57344000,2001,6,WST,West Pharmaceutical Services,Health Care
2,1001808000,57372000,2001,9,WST,West Pharmaceutical Services,Health Care
3,1017532800,57464000,2002,3,WST,West Pharmaceutical Services,Health Care
4,1025395200,57720000,2002,6,WST,West Pharmaceutical Services,Health Care
5,1033344000,57852000,2002,9,WST,West Pharmaceutical Services,Health Care
6,1049068800,57920000,2003,3,WST,West Pharmaceutical Services,Health Care
7,1056931200,57932000,2003,6,WST,West Pharmaceutical Services,Health Care
8,1064880000,58024000,2003,9,WST,West Pharmaceutical Services,Health Care
9,1080691200,58888000,2004,3,WST,West Pharmaceutical Services,Health Care
10,1088553600,59840000,2004,6,WST,West Pharmaceutical Services,Health Care
11,1096502400,60344000,2004,9,WST,West Pharmaceutical Services,Health Care
12,1112227200,61290000,2005,3,WST,West Pharmaceutical Services,Health Care
13,1120089600,61956000,2005,6,WST,West Pharmaceutical Services,Health Care
14,1128038400,62668000,2005,9,WST,West Pharmaceutical Services,Health Care
15,1143763200,63508000,2006,3,WST,West Pharmaceutical Services,Health Care
16,1151625600,64152000,2006,6,WST,West Pharmaceutical Services,Health Care
17,1159574400,64464000,2006,9,WST,West Pharmaceutical Services,Health Care
18,1175299200,65400000,2007,3,WST,West Pharmaceutical Services,Health Care
19,1183161600,65800000,2007,6,WST,West Pharmaceutical Services,Health Care
20,1191110400,65400000,2007,9,WST,West Pharmaceutical Services,Health Care
21,1206921600,64400000,2008,3,WST,West Pharmaceutical Services,Health Care
22,1214784000,64800000,2008,6,WST,West Pharmaceutical Services,Health Care
23,1222732800,65000000,2008,9,WST,West Pharmaceutical Services,Health Care
24,1238457600,65400000,2009,3,WST,West Pharmaceutical Services,Health Care
25,1246320000,65600000,2009,6,WST,West Pharmaceutical Services,Health Care
26,1254268800,65800000,2009,9,WST,West Pharmaceutical Services,Health Care
27,1269993600,66200000,2010,3,WST,West Pharmaceutical Services,Health Care
28,1277856000,66600000,2010,6,WST,West Pharmaceutical Services,Health Care
29,1285804800,66800000,2010,9,WST,West Pharmaceutical Services,Health Care
30,1301529600,67000000,2011,3,WST,West Pharmaceutical Services,Health Care
31,1309392000,67200000,2011,6,WST,West Pharmaceutical Services,Health Care
32,1317340800,67600000,2011,9,WST,West Pharmaceutical Services,Health Care
33,1333152000,67800000,2012,3,WST,West Pharmaceutical Services,Health Care
34,1341014400,68000000,2012,6,WST,West Pharmaceutical Services,Health Care
35,1348963200,68200000,2012,9,WST,West Pharmaceutical Services,Health Care
36,1356912000,68400000,2012,12,WST,West Pharmaceutical Services,Health Care
37,1364688000,69000000,2013,3,WST,West Pharmaceutical Services,Health Care
38,1372550400,69400000,2013,6,WST,West Pharmaceutical Services,Health Care
39,1380499200,69800000,2013,9,WST,West Pharmaceutical Services,Health Care
40,1388448000,70100000,2013,12,WST,West Pharmaceutical Services,Health Care
41,1396224000,70600000,2014,3,WST,West Pharmaceutical Services,Health Care
42,1404086400,70800000,2014,6,WST,West Pharmaceutical Services,Health Care
43,1412035200,71000000,2014,9,WST,West Pharmaceutical Services,Health Care
44,1419984000,71300000,2014,12,WST,West Pharmaceutical Services,Health Care
45,1427760000,71700000,2015,3,WST,West Pharmaceutical Services,Health Care
46,1435622400,72000000,2015,6,WST,West Pharmaceutical Services,Health Care
47,1443571200,72200000,2015,9,WST,West Pharmaceutical Services,Health Care
48,1451520000,72300000,2015,12,WST,West Pharmaceutical Services,Health Care
49,1459382400,72500000,2016,3,WST,West Pharmaceutical Services,Health Care
50,1467244800,73300000,2016,6,WST,West Pharmaceutical Services,Health Care
51,1475193600,73300000,2016,9,WST,West Pharmaceutical Services,Health Care
52,1483142400,73200000,2016,12,WST,West Pharmaceutical Services,Health Care
53,1490918400,73300000,2017,3,WST,West Pharmaceutical Services,Health Care
54,1498780800,73900000,2017,6,WST,West Pharmaceutical Services,Health Care
55,1506729600,74200000,2017,9,WST,West Pharmaceutical Services,Health Care
56,1514678400,74200000,2017,12,WST,West Pharmaceutical Services,Health Care
57,1522454400,73900000,2018,3,WST,West Pharmaceutical Services,Health Care
58,1530316800,73600000,2018,6,WST,West Pharmaceutical Services,Health Care
59,1538265600,73900000,2018,9,WST,West Pharmaceutical Services,Health Care
60,1546214400,73900000,2018,12,WST,West Pharmaceutical Services,Health Care
61,1553990400,74100000,2019,3,WST,West Pharmaceutical Services,Health Care
62,1561852800,73700000,2019,6,WST,West Pharmaceutical Services,Health Care
63,1569801600,74000000,2019,9,WST,West Pharmaceutical Services,Health Care
64,1577750400,74100000,2019,12,WST,West Pharmaceutical Services,Health Care
65,1585612800,73900000,2020,3,WST,West Pharmaceutical Services,Health Care
66,1593475200,73800000,2020,6,WST,West Pharmaceutical Services,Health Care
67,1601424000,73900000,2020,9,WST,West Pharmaceutical Services,Health Care
68,1609372800,74000000,2020,12,WST,West Pharmaceutical Services,Health Care
69,1617148800,73900000,2021,3,WST,West Pharmaceutical Services,Health Care
70,1625011200,74000000,2021,6,WST,West Pharmaceutical Services,Health Care
71,1632960000,74100000,2021,9,WST,West Pharmaceutical Services,Health Care
72,1640908800,74500000,2021,12,WST,West Pharmaceutical Services,Health Care
73,1648684800,74400000,2022,3,WST,West Pharmaceutical Services,Health Care
74,1656547200,74400000,2022,6,WST,West Pharmaceutical Services,Health Care
75,1668712918,74400000,2022,11,WST,West Pharmaceutical Services,Health Care
