,d,v,years,months,ticker_symbol,security,sector
0,993859200,193600000,2001,6,ZBH,Zimmer Biomet,Health Care
1,1001808000,193700000,2001,9,ZBH,Zimmer Biomet,Health Care
2,1017532800,194000000,2002,3,ZBH,Zimmer Biomet,Health Care
3,1025395200,194300000,2002,6,ZBH,Zimmer Biomet,Health Care
4,1033344000,194700000,2002,9,ZBH,Zimmer Biomet,Health Care
5,1049068800,195700000,2003,3,ZBH,Zimmer Biomet,Health Care
6,1056931200,196500000,2003,6,ZBH,Zimmer Biomet,Health Care
7,1064880000,196800000,2003,9,ZBH,Zimmer Biomet,Health Care
8,1080691200,242900000,2004,3,ZBH,Zimmer Biomet,Health Care
9,1088553600,244300000,2004,6,ZBH,Zimmer Biomet,Health Care
10,1096502400,245000000,2004,9,ZBH,Zimmer Biomet,Health Care
11,1112227200,246100000,2005,3,ZBH,Zimmer Biomet,Health Care
12,1120089600,247000000,2005,6,ZBH,Zimmer Biomet,Health Care
13,1128038400,247400000,2005,9,ZBH,Zimmer Biomet,Health Care
14,1143763200,247800000,2006,3,ZBH,Zimmer Biomet,Health Care
15,1151625600,245500000,2006,6,ZBH,Zimmer Biomet,Health Care
16,1159574400,240400000,2006,9,ZBH,Zimmer Biomet,Health Care
17,1175299200,236900000,2007,3,ZBH,Zimmer Biomet,Health Care
18,1183161600,236900000,2007,6,ZBH,Zimmer Biomet,Health Care
19,1191110400,234900000,2007,9,ZBH,Zimmer Biomet,Health Care
20,1206921600,232500000,2008,3,ZBH,Zimmer Biomet,Health Care
21,1214784000,228400000,2008,6,ZBH,Zimmer Biomet,Health Care
22,1222732800,224700000,2008,9,ZBH,Zimmer Biomet,Health Care
23,1238457600,221500000,2009,3,ZBH,Zimmer Biomet,Health Care
24,1246320000,214700000,2009,6,ZBH,Zimmer Biomet,Health Care
25,1254268800,213600000,2009,9,ZBH,Zimmer Biomet,Health Care
26,1269993600,203000000,2010,3,ZBH,Zimmer Biomet,Health Care
27,1277856000,201900000,2010,6,ZBH,Zimmer Biomet,Health Care
28,1285804800,198700000,2010,9,ZBH,Zimmer Biomet,Health Care
29,1301529600,192600000,2011,3,ZBH,Zimmer Biomet,Health Care
30,1309392000,191500000,2011,6,ZBH,Zimmer Biomet,Health Care
31,1317340800,187700000,2011,9,ZBH,Zimmer Biomet,Health Care
32,1333152000,177400000,2012,3,ZBH,Zimmer Biomet,Health Care
33,1341014400,175200000,2012,6,ZBH,Zimmer Biomet,Health Care
34,1348963200,174100000,2012,9,ZBH,Zimmer Biomet,Health Care
35,1364688000,168700000,2013,3,ZBH,Zimmer Biomet,Health Care
36,1372550400,168800000,2013,6,ZBH,Zimmer Biomet,Health Care
37,1380499200,170000000,2013,9,ZBH,Zimmer Biomet,Health Care
38,1388448000,170700000,2013,12,ZBH,Zimmer Biomet,Health Care
39,1396224000,169100000,2014,3,ZBH,Zimmer Biomet,Health Care
40,1404086400,168400000,2014,6,ZBH,Zimmer Biomet,Health Care
41,1412035200,169000000,2014,9,ZBH,Zimmer Biomet,Health Care
42,1427760000,170000000,2015,3,ZBH,Zimmer Biomet,Health Care
43,1435622400,173000000,2015,6,ZBH,Zimmer Biomet,Health Care
44,1443571200,203500000,2015,9,ZBH,Zimmer Biomet,Health Care
45,1459382400,200100000,2016,3,ZBH,Zimmer Biomet,Health Care
46,1467244800,199400000,2016,6,ZBH,Zimmer Biomet,Health Care
47,1475193600,200100000,2016,9,ZBH,Zimmer Biomet,Health Care
48,1483142400,200400000,2016,12,ZBH,Zimmer Biomet,Health Care
49,1490918400,201100000,2017,3,ZBH,Zimmer Biomet,Health Care
50,1498780800,201800000,2017,6,ZBH,Zimmer Biomet,Health Care
51,1506729600,202300000,2017,9,ZBH,Zimmer Biomet,Health Care
52,1514678400,202500000,2017,12,ZBH,Zimmer Biomet,Health Care
53,1522454400,203000000,2018,3,ZBH,Zimmer Biomet,Health Care
54,1530316800,203300000,2018,6,ZBH,Zimmer Biomet,Health Care
55,1538265600,203700000,2018,9,ZBH,Zimmer Biomet,Health Care
56,1553990400,204400000,2019,3,ZBH,Zimmer Biomet,Health Care
57,1561852800,204800000,2019,6,ZBH,Zimmer Biomet,Health Care
58,1569801600,205300000,2019,9,ZBH,Zimmer Biomet,Health Care
59,1577750400,205800000,2019,12,ZBH,Zimmer Biomet,Health Care
60,1585612800,206500000,2020,3,ZBH,Zimmer Biomet,Health Care
61,1593475200,206800000,2020,6,ZBH,Zimmer Biomet,Health Care
62,1601424000,207100000,2020,9,ZBH,Zimmer Biomet,Health Care
63,1609372800,207400000,2020,12,ZBH,Zimmer Biomet,Health Care
64,1617148800,208000000,2021,3,ZBH,Zimmer Biomet,Health Care
65,1625011200,208600000,2021,6,ZBH,Zimmer Biomet,Health Care
66,1632960000,208800000,2021,9,ZBH,Zimmer Biomet,Health Care
67,1640908800,208900000,2021,12,ZBH,Zimmer Biomet,Health Care
68,1648684800,209200000,2022,3,ZBH,Zimmer Biomet,Health Care
69,1656547200,209600000,2022,6,ZBH,Zimmer Biomet,Health Care
70,1668712935,209600000,2022,11,ZBH,Zimmer Biomet,Health Care
