,d,v,years,months,ticker_symbol,security,sector
0,1301529600,500000000,2011,3,ZTS,Zoetis,Health Care
1,1333152000,500000000,2012,3,ZTS,Zoetis,Health Care
2,1341014400,500000000,2012,6,ZTS,Zoetis,Health Care
3,1348963200,500000000,2012,9,ZTS,Zoetis,Health Care
4,1364688000,500000000,2013,3,ZTS,Zoetis,Health Care
5,1372550400,500000000,2013,6,ZTS,Zoetis,Health Care
6,1380499200,500000000,2013,9,ZTS,Zoetis,Health Care
7,1388448000,500007000,2013,12,ZTS,Zoetis,Health Care
8,1396224000,500231000,2014,3,ZTS,Zoetis,Health Care
9,1404086400,500975000,2014,6,ZTS,Zoetis,Health Care
10,1412035200,501453000,2014,9,ZTS,Zoetis,Health Care
11,1419984000,501560000,2014,12,ZTS,Zoetis,Health Care
12,1427760000,501146000,2015,3,ZTS,Zoetis,Health Care
13,1435622400,500173000,2015,6,ZTS,Zoetis,Health Care
14,1443571200,499239000,2015,9,ZTS,Zoetis,Health Care
15,1451520000,498271000,2015,12,ZTS,Zoetis,Health Care
16,1459382400,497399000,2016,3,ZTS,Zoetis,Health Care
17,1467244800,496300000,2016,6,ZTS,Zoetis,Health Care
18,1475193600,495200000,2016,9,ZTS,Zoetis,Health Care
19,1483142400,493932000,2016,12,ZTS,Zoetis,Health Care
20,1490918400,492400000,2017,3,ZTS,Zoetis,Health Care
21,1498780800,490800000,2017,6,ZTS,Zoetis,Health Care
22,1506729600,489100000,2017,9,ZTS,Zoetis,Health Care
23,1514678400,487323000,2017,12,ZTS,Zoetis,Health Care
24,1522454400,485900000,2018,3,ZTS,Zoetis,Health Care
25,1530316800,483800000,2018,6,ZTS,Zoetis,Health Care
26,1538265600,482000000,2018,9,ZTS,Zoetis,Health Care
27,1546214400,480603000,2018,12,ZTS,Zoetis,Health Care
28,1553990400,479600000,2019,3,ZTS,Zoetis,Health Care
29,1561852800,478800000,2019,6,ZTS,Zoetis,Health Care
30,1569801600,477800000,2019,9,ZTS,Zoetis,Health Care
31,1577750400,476400000,2019,12,ZTS,Zoetis,Health Care
32,1585612800,475600000,2020,3,ZTS,Zoetis,Health Care
33,1593475200,475300000,2020,6,ZTS,Zoetis,Health Care
34,1601424000,475500000,2020,9,ZTS,Zoetis,Health Care
35,1617148800,475500000,2021,3,ZTS,Zoetis,Health Care
36,1625011200,474800000,2021,6,ZTS,Zoetis,Health Care
37,1632960000,474000000,2021,9,ZTS,Zoetis,Health Care
38,1640908800,473100000,2021,12,ZTS,Zoetis,Health Care
39,1648684800,472200000,2022,3,ZTS,Zoetis,Health Care
40,1656547200,470000000,2022,6,ZTS,Zoetis,Health Care
41,1668712950,470000000,2022,11,ZTS,Zoetis,Health Care
