,d,v,years,months,ticker_symbol,security,sector
0,1364688000,96028568,2013,3,ALLE,Allegion,Industrials
1,1372550400,96028568,2013,6,ALLE,Allegion,Industrials
2,1380499200,96028568,2013,9,ALLE,Allegion,Industrials
3,1388448000,96000000,2013,12,ALLE,Allegion,Industrials
4,1396224000,96300000,2014,3,ALLE,Allegion,Industrials
5,1404086400,96300000,2014,6,ALLE,Allegion,Industrials
6,1412035200,95900000,2014,9,ALLE,Allegion,Industrials
7,1419984000,95800000,2014,12,ALLE,Allegion,Industrials
8,1427760000,95900000,2015,3,ALLE,Allegion,Industrials
9,1435622400,95800000,2015,6,ALLE,Allegion,Industrials
10,1443571200,95900000,2015,9,ALLE,Allegion,Industrials
11,1451520000,96000000,2015,12,ALLE,Allegion,Industrials
12,1459382400,95900000,2016,3,ALLE,Allegion,Industrials
13,1467244800,95800000,2016,6,ALLE,Allegion,Industrials
14,1475193600,96000000,2016,9,ALLE,Allegion,Industrials
15,1483142400,95600000,2016,12,ALLE,Allegion,Industrials
16,1490918400,95300000,2017,3,ALLE,Allegion,Industrials
17,1498780800,95200000,2017,6,ALLE,Allegion,Industrials
18,1506729600,95000000,2017,9,ALLE,Allegion,Industrials
19,1514678400,95100000,2017,12,ALLE,Allegion,Industrials
20,1522454400,95100000,2018,3,ALLE,Allegion,Industrials
21,1530316800,95000000,2018,6,ALLE,Allegion,Industrials
22,1538265600,95100000,2018,9,ALLE,Allegion,Industrials
23,1546214400,94900000,2018,12,ALLE,Allegion,Industrials
24,1553990400,94500000,2019,3,ALLE,Allegion,Industrials
25,1561852800,93800000,2019,6,ALLE,Allegion,Industrials
26,1569801600,93300000,2019,9,ALLE,Allegion,Industrials
27,1577750400,92900000,2019,12,ALLE,Allegion,Industrials
28,1585612800,92700000,2020,3,ALLE,Allegion,Industrials
29,1593475200,92300000,2020,6,ALLE,Allegion,Industrials
30,1601424000,92300000,2020,9,ALLE,Allegion,Industrials
31,1617148800,90700000,2021,3,ALLE,Allegion,Industrials
32,1625011200,90000000,2021,6,ALLE,Allegion,Industrials
33,1632960000,89700000,2021,9,ALLE,Allegion,Industrials
34,1640908800,89200000,2021,12,ALLE,Allegion,Industrials
35,1648684800,88200000,2022,3,ALLE,Allegion,Industrials
36,1656547200,87900000,2022,6,ALLE,Allegion,Industrials
37,1668710876,87900000,2022,11,ALLE,Allegion,Industrials
