,d,v,years,months,ticker_symbol,security,sector
0,985996800,141067524,2001,3,AOS,A. O. Smith,Industrials
1,993859200,141869334,2001,6,AOS,A. O. Smith,Industrials
2,1001808000,142247844,2001,9,AOS,A. O. Smith,Industrials
3,1017532800,143142006,2002,3,AOS,A. O. Smith,Industrials
4,1025395200,158918442,2002,6,AOS,A. O. Smith,Industrials
5,1033344000,172513314,2002,9,AOS,A. O. Smith,Industrials
6,1049068800,173654142,2003,3,AOS,A. O. Smith,Industrials
7,1056931200,174015840,2003,6,AOS,A. O. Smith,Industrials
8,1064880000,174444498,2003,9,AOS,A. O. Smith,Industrials
9,1080691200,175190058,2004,3,AOS,A. O. Smith,Industrials
10,1088553600,175657344,2004,6,AOS,A. O. Smith,Industrials
11,1096502400,175787262,2004,9,AOS,A. O. Smith,Industrials
12,1112227200,176451624,2005,3,AOS,A. O. Smith,Industrials
13,1120089600,177194664,2005,6,AOS,A. O. Smith,Industrials
14,1128038400,178778316,2005,9,AOS,A. O. Smith,Industrials
15,1143763200,181653180,2006,3,AOS,A. O. Smith,Industrials
16,1151625600,182394660,2006,6,AOS,A. O. Smith,Industrials
17,1159574400,182696232,2006,9,AOS,A. O. Smith,Industrials
18,1175299200,183423552,2007,3,AOS,A. O. Smith,Industrials
19,1183161600,183790734,2007,6,AOS,A. O. Smith,Industrials
20,1191110400,184247814,2007,9,AOS,A. O. Smith,Industrials
21,1206921600,180123510,2008,3,AOS,A. O. Smith,Industrials
22,1214784000,180255132,2008,6,AOS,A. O. Smith,Industrials
23,1222732800,180425532,2008,9,AOS,A. O. Smith,Industrials
24,1238457600,181039314,2009,3,AOS,A. O. Smith,Industrials
25,1246320000,181039314,2009,6,AOS,A. O. Smith,Industrials
26,1254268800,104130684,2009,9,AOS,A. O. Smith,Industrials
27,1269993600,183034824,2010,3,AOS,A. O. Smith,Industrials
28,1277856000,182363124,2010,6,AOS,A. O. Smith,Industrials
29,1285804800,183364032,2010,9,AOS,A. O. Smith,Industrials
30,1301529600,186160000,2011,3,AOS,A. O. Smith,Industrials
31,1309392000,184781580,2011,6,AOS,A. O. Smith,Industrials
32,1317340800,184864388,2011,9,AOS,A. O. Smith,Industrials
33,1325289600,183306000,2011,12,AOS,A. O. Smith,Industrials
34,1333152000,185952000,2012,3,AOS,A. O. Smith,Industrials
35,1341014400,184655744,2012,6,AOS,A. O. Smith,Industrials
36,1348963200,186276000,2012,9,AOS,A. O. Smith,Industrials
37,1356912000,184853376,2012,12,AOS,A. O. Smith,Industrials
38,1364688000,185382308,2013,3,AOS,A. O. Smith,Industrials
39,1372550400,184853376,2013,6,AOS,A. O. Smith,Industrials
40,1380499200,184853376,2013,9,AOS,A. O. Smith,Industrials
41,1388448000,182478396,2013,12,AOS,A. O. Smith,Industrials
42,1396224000,181586812,2014,3,AOS,A. O. Smith,Industrials
43,1404086400,179917996,2014,6,AOS,A. O. Smith,Industrials
44,1412035200,178855430,2014,9,AOS,A. O. Smith,Industrials
45,1419984000,178799066,2014,12,AOS,A. O. Smith,Industrials
46,1427760000,178133000,2015,3,AOS,A. O. Smith,Industrials
47,1435622400,177341492,2015,6,AOS,A. O. Smith,Industrials
48,1443571200,175640612,2015,9,AOS,A. O. Smith,Industrials
49,1451520000,175896866,2015,12,AOS,A. O. Smith,Industrials
50,1459382400,175022270,2016,3,AOS,A. O. Smith,Industrials
51,1467244800,173732470,2016,6,AOS,A. O. Smith,Industrials
52,1475193600,173349912,2016,9,AOS,A. O. Smith,Industrials
53,1483142400,173441584,2016,12,AOS,A. O. Smith,Industrials
54,1490918400,172834734,2017,3,AOS,A. O. Smith,Industrials
55,1498780800,172162734,2017,6,AOS,A. O. Smith,Industrials
56,1506729600,171499234,2017,9,AOS,A. O. Smith,Industrials
57,1514678400,171663130,2017,12,AOS,A. O. Smith,Industrials
58,1522454400,171142730,2018,3,AOS,A. O. Smith,Industrials
59,1530316800,170564532,2018,6,AOS,A. O. Smith,Industrials
60,1538265600,169947632,2018,9,AOS,A. O. Smith,Industrials
61,1546214400,168159148,2018,12,AOS,A. O. Smith,Industrials
62,1553990400,167247348,2019,3,AOS,A. O. Smith,Industrials
63,1561852800,165365148,2019,6,AOS,A. O. Smith,Industrials
64,1569801600,163237608,2019,9,AOS,A. O. Smith,Industrials
65,1577750400,162371408,2019,12,AOS,A. O. Smith,Industrials
66,1585612800,161871788,2020,3,AOS,A. O. Smith,Industrials
67,1593475200,161023017,2020,6,AOS,A. O. Smith,Industrials
68,1601424000,161023017,2020,9,AOS,A. O. Smith,Industrials
69,1609372800,161769759,2020,12,AOS,A. O. Smith,Industrials
70,1617148800,161900139,2021,3,AOS,A. O. Smith,Industrials
71,1625011200,161900139,2021,6,AOS,A. O. Smith,Industrials
72,1632960000,161900139,2021,9,AOS,A. O. Smith,Industrials
73,1640908800,157652567,2021,12,AOS,A. O. Smith,Industrials
74,1648684800,157782947,2022,3,AOS,A. O. Smith,Industrials
75,1656547200,157782947,2022,6,AOS,A. O. Smith,Industrials
76,1668710845,157782947,2022,11,AOS,A. O. Smith,Industrials
