,d,v,years,months,ticker_symbol,security,sector
0,985996800,835810811,2001,3,BA,Boeing,Industrials
1,993859200,823529412,2001,6,BA,Boeing,Industrials
2,1001808000,802469136,2001,9,BA,Boeing,Industrials
3,1017532800,800641026,2002,3,BA,Boeing,Industrials
4,1025395200,803092784,2002,6,BA,Boeing,Industrials
5,1033344000,791489362,2002,9,BA,Boeing,Industrials
6,1049068800,796666667,2003,3,BA,Boeing,Industrials
7,1056931200,800000000,2003,6,BA,Boeing,Industrials
8,1064880000,800000000,2003,9,BA,Boeing,Industrials
9,1080691200,798717949,2004,3,BA,Boeing,Industrials
10,1088553600,807800000,2004,6,BA,Boeing,Industrials
11,1096502400,808200000,2004,9,BA,Boeing,Industrials
12,1112227200,798400000,2005,3,BA,Boeing,Industrials
13,1120089600,793300000,2005,6,BA,Boeing,Industrials
14,1128038400,802800000,2005,9,BA,Boeing,Industrials
15,1143763200,770500000,2006,3,BA,Boeing,Industrials
16,1151625600,761300000,2006,6,BA,Boeing,Industrials
17,1159574400,773000000,2006,9,BA,Boeing,Industrials
18,1175299200,765400000,2007,3,BA,Boeing,Industrials
19,1183161600,763500000,2007,6,BA,Boeing,Industrials
20,1191110400,759300000,2007,9,BA,Boeing,Industrials
21,1206921600,747400000,2008,3,BA,Boeing,Industrials
22,1214784000,725500000,2008,6,BA,Boeing,Industrials
23,1222732800,717500000,2008,9,BA,Boeing,Industrials
24,1238457600,705300000,2009,3,BA,Boeing,Industrials
25,1246320000,707400000,2009,6,BA,Boeing,Industrials
26,1254268800,701345291,2009,9,BA,Boeing,Industrials
27,1269993600,734800000,2010,3,BA,Boeing,Industrials
28,1277856000,735514019,2010,6,BA,Boeing,Industrials
29,1285804800,740707965,2010,9,BA,Boeing,Industrials
30,1301529600,742900000,2011,3,BA,Boeing,Industrials
31,1309392000,745500000,2011,6,BA,Boeing,Industrials
32,1317340800,748000000,2011,9,BA,Boeing,Industrials
33,1333152000,752500000,2012,3,BA,Boeing,Industrials
34,1341014400,755900000,2012,6,BA,Boeing,Industrials
35,1348963200,759500000,2012,9,BA,Boeing,Industrials
36,1356912000,758139535,2012,12,BA,Boeing,Industrials
37,1364688000,761200000,2013,3,BA,Boeing,Industrials
38,1372550400,761400000,2013,6,BA,Boeing,Industrials
39,1380499200,757600000,2013,9,BA,Boeing,Industrials
40,1388448000,756441718,2013,12,BA,Boeing,Industrials
41,1396224000,743400000,2014,3,BA,Boeing,Industrials
42,1404086400,729800000,2014,6,BA,Boeing,Industrials
43,1412035200,721500000,2014,9,BA,Boeing,Industrials
44,1419984000,715121951,2014,12,BA,Boeing,Industrials
45,1427760000,704600000,2015,3,BA,Boeing,Industrials
46,1435622400,690100000,2015,6,BA,Boeing,Industrials
47,1443571200,680100000,2015,9,BA,Boeing,Industrials
48,1451520000,675000000,2015,12,BA,Boeing,Industrials
49,1459382400,658600000,2016,3,BA,Boeing,Industrials
50,1467244800,635300000,2016,6,BA,Boeing,Industrials
51,1475193600,624600000,2016,9,BA,Boeing,Industrials
52,1483142400,620152091,2016,12,BA,Boeing,Industrials
53,1490918400,613600000,2017,3,BA,Boeing,Industrials
54,1498780800,601023891,2017,6,BA,Boeing,Industrials
55,1506729600,597600000,2017,9,BA,Boeing,Industrials
56,1514678400,596571429,2017,12,BA,Boeing,Industrials
57,1522454400,591169451,2018,3,BA,Boeing,Industrials
58,1530316800,581900000,2018,6,BA,Boeing,Industrials
59,1538265600,574200000,2018,9,BA,Boeing,Industrials
60,1546214400,570666667,2018,12,BA,Boeing,Industrials
61,1553990400,567018470,2019,3,BA,Boeing,Industrials
62,1561852800,564700000,2019,6,BA,Boeing,Industrials
63,1569801600,564600000,2019,9,BA,Boeing,Industrials
64,1577750400,564245810,2019,12,BA,Boeing,Industrials
65,1585612800,565400000,2020,3,BA,Boeing,Industrials
66,1593475200,565900000,2020,6,BA,Boeing,Industrials
67,1601424000,568354430,2020,9,BA,Boeing,Industrials
68,1609372800,574744027,2020,12,BA,Boeing,Industrials
69,1617148800,585000000,2021,3,BA,Boeing,Industrials
70,1625011200,590200000,2021,6,BA,Boeing,Industrials
71,1632960000,588600000,2021,9,BA,Boeing,Industrials
72,1640908800,590170940,2021,12,BA,Boeing,Industrials
73,1648684800,591400000,2022,3,BA,Boeing,Industrials
74,1656547200,593700000,2022,6,BA,Boeing,Industrials
75,1668710924,596000000,2022,11,BA,Boeing,Industrials
