,d,v,years,months,ticker_symbol,security,sector
0,1553990400,866200000,2019,3,CARR,Carrier Global,Industrials
1,1561852800,866200000,2019,6,CARR,Carrier Global,Industrials
2,1569801600,866200000,2019,9,CARR,Carrier Global,Industrials
3,1585612800,866000000,2020,3,CARR,Carrier Global,Industrials
4,1593475200,866200000,2020,6,CARR,Carrier Global,Industrials
5,1601424000,866400000,2020,9,CARR,Carrier Global,Industrials
6,1617148800,869300000,2021,3,CARR,Carrier Global,Industrials
7,1625011200,868700000,2021,6,CARR,Carrier Global,Industrials
8,1632960000,867600000,2021,9,CARR,Carrier Global,Industrials
9,1640908800,865200000,2021,12,CARR,Carrier Global,Industrials
10,1648684800,853300000,2022,3,CARR,Carrier Global,Industrials
11,1656547200,845700000,2022,6,CARR,Carrier Global,Industrials
12,1668710959,845700000,2022,11,CARR,Carrier Global,Industrials
