,d,v,years,months,ticker_symbol,security,sector
0,985996800,152800000,2001,3,CMI,Cummins,Industrials
1,993859200,153271028,2001,6,CMI,Cummins,Industrials
2,1001808000,150000000,2001,9,CMI,Cummins,Industrials
3,1017532800,154666667,2002,3,CMI,Cummins,Industrials
4,1025395200,157575758,2002,6,CMI,Cummins,Industrials
5,1033344000,151456311,2002,9,CMI,Cummins,Industrials
6,1049068800,155600000,2003,3,CMI,Cummins,Industrials
7,1056931200,164705882,2003,6,CMI,Cummins,Industrials
8,1064880000,154838710,2003,9,CMI,Cummins,Industrials
9,1080691200,162000000,2004,3,CMI,Cummins,Industrials
10,1088553600,166497462,2004,6,CMI,Cummins,Industrials
11,1096502400,171217712,2004,9,CMI,Cummins,Industrials
12,1112227200,175600000,2005,3,CMI,Cummins,Industrials
13,1120089600,176250000,2005,6,CMI,Cummins,Industrials
14,1128038400,177370031,2005,9,CMI,Cummins,Industrials
15,1143763200,177200000,2006,3,CMI,Cummins,Industrials
16,1151625600,182952183,2006,6,CMI,Cummins,Industrials
17,1159574400,201176471,2006,9,CMI,Cummins,Industrials
18,1175299200,200000000,2007,3,CMI,Cummins,Industrials
19,1183161600,200000000,2007,6,CMI,Cummins,Industrials
20,1191110400,197849462,2007,9,CMI,Cummins,Industrials
21,1206921600,195100000,2008,3,CMI,Cummins,Industrials
22,1214784000,195200000,2008,6,CMI,Cummins,Industrials
23,1222732800,194900000,2008,9,CMI,Cummins,Industrials
24,1238457600,196800000,2009,3,CMI,Cummins,Industrials
25,1246320000,197100000,2009,6,CMI,Cummins,Industrials
26,1254268800,197400000,2009,9,CMI,Cummins,Industrials
27,1269993600,198400000,2010,3,CMI,Cummins,Industrials
28,1277856000,196900000,2010,6,CMI,Cummins,Industrials
29,1285804800,195800000,2010,9,CMI,Cummins,Industrials
30,1301529600,195500000,2011,3,CMI,Cummins,Industrials
31,1309392000,193800000,2011,6,CMI,Cummins,Industrials
32,1317340800,192100000,2011,9,CMI,Cummins,Industrials
33,1333152000,190400000,2012,3,CMI,Cummins,Industrials
34,1341014400,189800000,2012,6,CMI,Cummins,Industrials
35,1348963200,188600000,2012,9,CMI,Cummins,Industrials
36,1364688000,188400000,2013,3,CMI,Cummins,Industrials
37,1372550400,187800000,2013,6,CMI,Cummins,Industrials
38,1380499200,186000000,2013,9,CMI,Cummins,Industrials
39,1396224000,184300000,2014,3,CMI,Cummins,Industrials
40,1404086400,182800000,2014,6,CMI,Cummins,Industrials
41,1412035200,182200000,2014,9,CMI,Cummins,Industrials
42,1427760000,180600000,2015,3,CMI,Cummins,Industrials
43,1435622400,179200000,2015,6,CMI,Cummins,Industrials
44,1443571200,177000000,2015,9,CMI,Cummins,Industrials
45,1451520000,175500000,2015,12,CMI,Cummins,Industrials
46,1459382400,171800000,2016,3,CMI,Cummins,Industrials
47,1467244800,168800000,2016,6,CMI,Cummins,Industrials
48,1475193600,167800000,2016,9,CMI,Cummins,Industrials
49,1483142400,167600000,2016,12,CMI,Cummins,Industrials
50,1490918400,167500000,2017,3,CMI,Cummins,Industrials
51,1498780800,167300000,2017,6,CMI,Cummins,Industrials
52,1506729600,166300000,2017,9,CMI,Cummins,Industrials
53,1514678400,165400000,2017,12,CMI,Cummins,Industrials
54,1522454400,164900000,2018,3,CMI,Cummins,Industrials
55,1530316800,163800000,2018,6,CMI,Cummins,Industrials
56,1538265600,161300000,2018,9,CMI,Cummins,Industrials
57,1553990400,157200000,2019,3,CMI,Cummins,Industrials
58,1561852800,157400000,2019,6,CMI,Cummins,Industrials
59,1569801600,155900000,2019,9,CMI,Cummins,Industrials
60,1577750400,151500000,2019,12,CMI,Cummins,Industrials
61,1585612800,149300000,2020,3,CMI,Cummins,Industrials
62,1593475200,147600000,2020,6,CMI,Cummins,Industrials
63,1601424000,147900000,2020,9,CMI,Cummins,Industrials
64,1609372800,148000000,2020,12,CMI,Cummins,Industrials
65,1617148800,147000000,2021,3,CMI,Cummins,Industrials
66,1625011200,145100000,2021,6,CMI,Cummins,Industrials
67,1632960000,143500000,2021,9,CMI,Cummins,Industrials
68,1640908800,142500000,2021,12,CMI,Cummins,Industrials
69,1648684800,142200000,2022,3,CMI,Cummins,Industrials
70,1656547200,141200000,2022,6,CMI,Cummins,Industrials
71,1668711053,141200000,2022,11,CMI,Cummins,Industrials
