,d,v,years,months,ticker_symbol,security,sector
0,983318400,171593750,2001,2,CTAS,Cintas,Industrials
1,999216000,171333333,2001,8,CTAS,Cintas,Industrials
2,1007078400,170544118,2001,11,CTAS,Cintas,Industrials
3,1014854400,168436364,2002,2,CTAS,Cintas,Industrials
4,1030752000,171241667,2002,8,CTAS,Cintas,Industrials
5,1038614400,171189189,2002,11,CTAS,Cintas,Industrials
6,1046390400,168728571,2003,2,CTAS,Cintas,Industrials
7,1062288000,171154054,2003,8,CTAS,Cintas,Industrials
8,1070150400,169895122,2003,11,CTAS,Cintas,Industrials
9,1078012800,170494872,2004,2,CTAS,Cintas,Industrials
10,1093910400,173014286,2004,8,CTAS,Cintas,Industrials
11,1101772800,171069767,2004,11,CTAS,Cintas,Industrials
12,1109548800,169838095,2005,2,CTAS,Cintas,Industrials
13,1125446400,169223404,2005,8,CTAS,Cintas,Industrials
14,1133308800,169502174,2005,11,CTAS,Cintas,Industrials
15,1141084800,165414894,2006,2,CTAS,Cintas,Industrials
16,1156982400,160305660,2006,8,CTAS,Cintas,Industrials
17,1164844800,161817647,2006,11,CTAS,Cintas,Industrials
18,1172620800,159847917,2007,2,CTAS,Cintas,Industrials
19,1188518400,158947059,2007,8,CTAS,Cintas,Industrials
20,1196380800,156326415,2007,11,CTAS,Cintas,Industrials
21,1204243200,153882000,2008,2,CTAS,Cintas,Industrials
22,1220140800,153394000,2008,8,CTAS,Cintas,Industrials
23,1228003200,152788000,2008,11,CTAS,Cintas,Industrials
24,1235779200,152993000,2009,2,CTAS,Cintas,Industrials
25,1251676800,152828000,2009,8,CTAS,Cintas,Industrials
26,1259539200,152866000,2009,11,CTAS,Cintas,Industrials
27,1267315200,152869000,2010,2,CTAS,Cintas,Industrials
28,1283212800,152164000,2010,8,CTAS,Cintas,Industrials
29,1291075200,145511000,2010,11,CTAS,Cintas,Industrials
30,1298851200,145303000,2011,2,CTAS,Cintas,Industrials
31,1314748800,131309000,2011,8,CTAS,Cintas,Industrials
32,1322611200,129727000,2011,11,CTAS,Cintas,Industrials
33,1330473600,129735000,2012,2,CTAS,Cintas,Industrials
34,1346371200,126110000,2012,8,CTAS,Cintas,Industrials
35,1354233600,124185000,2012,11,CTAS,Cintas,Industrials
36,1362009600,123220000,2013,2,CTAS,Cintas,Industrials
37,1369958400,122392000,2013,5,CTAS,Cintas,Industrials
38,1377907200,122130000,2013,8,CTAS,Cintas,Industrials
39,1385769600,119907000,2013,11,CTAS,Cintas,Industrials
40,1393545600,119913000,2014,2,CTAS,Cintas,Industrials
41,1401494400,119541000,2014,5,CTAS,Cintas,Industrials
42,1409443200,116659000,2014,8,CTAS,Cintas,Industrials
43,1417305600,117115000,2014,11,CTAS,Cintas,Industrials
44,1425081600,116178000,2015,2,CTAS,Cintas,Industrials
45,1433030400,113666000,2015,5,CTAS,Cintas,Industrials
46,1440979200,110597000,2015,8,CTAS,Cintas,Industrials
47,1448841600,108301000,2015,11,CTAS,Cintas,Industrials
48,1456704000,107843000,2016,2,CTAS,Cintas,Industrials
49,1464652800,106136000,2016,5,CTAS,Cintas,Industrials
50,1472601600,104483000,2016,8,CTAS,Cintas,Industrials
51,1480464000,104957000,2016,11,CTAS,Cintas,Industrials
52,1488240000,105093000,2017,2,CTAS,Cintas,Industrials
53,1496188800,105325000,2017,5,CTAS,Cintas,Industrials
54,1504137600,105740000,2017,8,CTAS,Cintas,Industrials
55,1512000000,106340000,2017,11,CTAS,Cintas,Industrials
56,1519776000,106558000,2018,2,CTAS,Cintas,Industrials
57,1527724800,106879000,2018,5,CTAS,Cintas,Industrials
58,1535673600,106835000,2018,8,CTAS,Cintas,Industrials
59,1543536000,106475000,2018,11,CTAS,Cintas,Industrials
60,1551312000,105080000,2019,2,CTAS,Cintas,Industrials
61,1559260800,105018000,2019,5,CTAS,Cintas,Industrials
62,1567209600,103543000,2019,8,CTAS,Cintas,Industrials
63,1575072000,103959000,2019,11,CTAS,Cintas,Industrials
64,1582934400,104245000,2020,2,CTAS,Cintas,Industrials
65,1590883200,103758000,2020,5,CTAS,Cintas,Industrials
66,1598832000,104110000,2020,8,CTAS,Cintas,Industrials
67,1606694400,104999000,2020,11,CTAS,Cintas,Industrials
68,1614470400,105264000,2021,2,CTAS,Cintas,Industrials
69,1622419200,105143000,2021,5,CTAS,Cintas,Industrials
70,1630368000,103295000,2021,8,CTAS,Cintas,Industrials
71,1638230400,103646000,2021,11,CTAS,Cintas,Industrials
72,1646006400,103388000,2022,2,CTAS,Cintas,Industrials
73,1653955200,102375000,2022,5,CTAS,Cintas,Industrials
74,1668710991,101428000,2022,11,CTAS,Cintas,Industrials
