,d,v,years,months,ticker_symbol,security,sector
0,985996800,123030903,2001,3,DAL,Delta Air Lines,Industrials
1,993859200,123052899,2001,6,DAL,Delta Air Lines,Industrials
2,1001808000,123144899,2001,9,DAL,Delta Air Lines,Industrials
3,1017532800,123244160,2002,3,DAL,Delta Air Lines,Industrials
4,1025395200,123243476,2002,6,DAL,Delta Air Lines,Industrials
5,1033344000,123285610,2002,9,DAL,Delta Air Lines,Industrials
6,1049068800,123360418,2003,3,DAL,Delta Air Lines,Industrials
7,1056931200,123362811,2003,6,DAL,Delta Air Lines,Industrials
8,1064880000,123389862,2003,9,DAL,Delta Air Lines,Industrials
9,1080691200,123879082,2004,3,DAL,Delta Air Lines,Industrials
10,1088553600,124690747,2004,6,DAL,Delta Air Lines,Industrials
11,1096502400,126150521,2004,9,DAL,Delta Air Lines,Industrials
12,1112227200,140924006,2005,3,DAL,Delta Air Lines,Industrials
13,1120089600,146820375,2005,6,DAL,Delta Air Lines,Industrials
14,1128038400,168433862,2005,9,DAL,Delta Air Lines,Industrials
15,1143763200,193913858,2006,3,DAL,Delta Air Lines,Industrials
16,1151625600,197227191,2006,6,DAL,Delta Air Lines,Industrials
17,1159574400,200000000,2006,9,DAL,Delta Air Lines,Industrials
18,1175299200,196969697,2007,3,DAL,Delta Air Lines,Industrials
19,1183161600,311545988,2007,6,DAL,Delta Air Lines,Industrials
20,1191110400,196969697,2007,9,DAL,Delta Air Lines,Industrials
21,1206921600,395600000,2008,3,DAL,Delta Air Lines,Industrials
22,1214784000,395700000,2008,6,DAL,Delta Air Lines,Industrials
23,1222732800,395700000,2008,9,DAL,Delta Air Lines,Industrials
24,1238457600,827080000,2009,3,DAL,Delta Air Lines,Industrials
25,1246320000,827000000,2009,6,DAL,Delta Air Lines,Industrials
26,1254268800,828000000,2009,9,DAL,Delta Air Lines,Industrials
27,1269993600,832000000,2010,3,DAL,Delta Air Lines,Industrials
28,1277856000,834000000,2010,6,DAL,Delta Air Lines,Industrials
29,1285804800,835000000,2010,9,DAL,Delta Air Lines,Industrials
30,1301529600,837000000,2011,3,DAL,Delta Air Lines,Industrials
31,1309392000,838000000,2011,6,DAL,Delta Air Lines,Industrials
32,1317340800,838000000,2011,9,DAL,Delta Air Lines,Industrials
33,1325289600,840000000,2011,12,DAL,Delta Air Lines,Industrials
34,1333152000,843000000,2012,3,DAL,Delta Air Lines,Industrials
35,1341014400,845000000,2012,6,DAL,Delta Air Lines,Industrials
36,1348963200,846000000,2012,9,DAL,Delta Air Lines,Industrials
37,1356912000,846000000,2012,12,DAL,Delta Air Lines,Industrials
38,1364688000,848000000,2013,3,DAL,Delta Air Lines,Industrials
39,1372550400,850000000,2013,6,DAL,Delta Air Lines,Industrials
40,1380499200,851000000,2013,9,DAL,Delta Air Lines,Industrials
41,1388448000,846000000,2013,12,DAL,Delta Air Lines,Industrials
42,1396224000,844000000,2014,3,DAL,Delta Air Lines,Industrials
43,1404086400,841000000,2014,6,DAL,Delta Air Lines,Industrials
44,1412035200,834000000,2014,9,DAL,Delta Air Lines,Industrials
45,1419984000,825000000,2014,12,DAL,Delta Air Lines,Industrials
46,1427760000,818000000,2015,3,DAL,Delta Air Lines,Industrials
47,1435622400,803000000,2015,6,DAL,Delta Air Lines,Industrials
48,1443571200,788000000,2015,9,DAL,Delta Air Lines,Industrials
49,1451520000,778000000,2015,12,DAL,Delta Air Lines,Industrials
50,1459382400,774000000,2016,3,DAL,Delta Air Lines,Industrials
51,1467244800,758000000,2016,6,DAL,Delta Air Lines,Industrials
52,1475193600,740000000,2016,9,DAL,Delta Air Lines,Industrials
53,1483142400,732000000,2016,12,DAL,Delta Air Lines,Industrials
54,1490918400,728000000,2017,3,DAL,Delta Air Lines,Industrials
55,1498780800,728000000,2017,6,DAL,Delta Air Lines,Industrials
56,1506729600,716000000,2017,9,DAL,Delta Air Lines,Industrials
57,1514678400,707197979,2017,12,DAL,Delta Air Lines,Industrials
58,1522454400,704000000,2018,3,DAL,Delta Air Lines,Industrials
59,1530316800,695000000,2018,6,DAL,Delta Air Lines,Industrials
60,1538265600,686000000,2018,9,DAL,Delta Air Lines,Industrials
61,1546214400,680000000,2018,12,DAL,Delta Air Lines,Industrials
62,1553990400,665000000,2019,3,DAL,Delta Air Lines,Industrials
63,1561852800,650000000,2019,6,DAL,Delta Air Lines,Industrials
64,1569801600,646000000,2019,9,DAL,Delta Air Lines,Industrials
65,1577750400,642000000,2019,12,DAL,Delta Air Lines,Industrials
66,1585612800,637000000,2020,3,DAL,Delta Air Lines,Industrials
67,1593475200,635000000,2020,6,DAL,Delta Air Lines,Industrials
68,1601424000,635000000,2020,9,DAL,Delta Air Lines,Industrials
69,1609372800,635000000,2020,12,DAL,Delta Air Lines,Industrials
70,1617148800,636000000,2021,3,DAL,Delta Air Lines,Industrials
71,1625011200,637000000,2021,6,DAL,Delta Air Lines,Industrials
72,1632960000,637000000,2021,9,DAL,Delta Air Lines,Industrials
73,1640908800,637000000,2021,12,DAL,Delta Air Lines,Industrials
74,1648684800,637000000,2022,3,DAL,Delta Air Lines,Industrials
75,1656547200,638000000,2022,6,DAL,Delta Air Lines,Industrials
76,1668711086,638000000,2022,11,DAL,Delta Air Lines,Industrials
