,d,v,years,months,ticker_symbol,security,sector
0,985996800,854047619,2001,3,EMR,Emerson Electric,Industrials
1,993859200,858181818,2001,6,EMR,Emerson Electric,Industrials
2,1009756800,835081967,2001,12,EMR,Emerson Electric,Industrials
3,1017532800,845230769,2002,3,EMR,Emerson Electric,Industrials
4,1025395200,828235294,2002,6,EMR,Emerson Electric,Industrials
5,1041292800,834615385,2002,12,EMR,Emerson Electric,Industrials
6,1049068800,842857143,2003,3,EMR,Emerson Electric,Industrials
7,1056931200,837209302,2003,6,EMR,Emerson Electric,Industrials
8,1072828800,841379310,2003,12,EMR,Emerson Electric,Industrials
9,1080691200,836842105,2004,3,EMR,Emerson Electric,Industrials
10,1088553600,841975309,2004,6,EMR,Emerson Electric,Industrials
11,1104451200,836619718,2004,12,EMR,Emerson Electric,Industrials
12,1112227200,828571429,2005,3,EMR,Emerson Electric,Industrials
13,1120089600,832558140,2005,6,EMR,Emerson Electric,Industrials
14,1135987200,822680412,2005,12,EMR,Emerson Electric,Industrials
15,1143763200,818867925,2006,3,EMR,Emerson Electric,Industrials
16,1151625600,816806723,2006,6,EMR,Emerson Electric,Industrials
17,1167523200,794642857,2006,12,EMR,Emerson Electric,Industrials
18,1175299200,796774194,2007,3,EMR,Emerson Electric,Industrials
19,1183161600,797222222,2007,6,EMR,Emerson Electric,Industrials
20,1199059200,784722222,2007,12,EMR,Emerson Electric,Industrials
21,1206921600,781428571,2008,3,EMR,Emerson Electric,Industrials
22,1214784000,778600000,2008,6,EMR,Emerson Electric,Industrials
23,1230681600,763333333,2008,12,EMR,Emerson Electric,Industrials
24,1238457600,752100000,2009,3,EMR,Emerson Electric,Industrials
25,1246320000,754700000,2009,6,EMR,Emerson Electric,Industrials
26,1262217600,752445327,2009,12,EMR,Emerson Electric,Industrials
27,1269993600,757400000,2010,3,EMR,Emerson Electric,Industrials
28,1277856000,750700000,2010,6,EMR,Emerson Electric,Industrials
29,1293753600,754113520,2010,12,EMR,Emerson Electric,Industrials
30,1301529600,752561758,2011,3,EMR,Emerson Electric,Industrials
31,1309392000,746860009,2011,6,EMR,Emerson Electric,Industrials
32,1325289600,734739727,2011,12,EMR,Emerson Electric,Industrials
33,1333152000,733605355,2012,3,EMR,Emerson Electric,Industrials
34,1341014400,729345876,2012,6,EMR,Emerson Electric,Industrials
35,1356912000,722641142,2012,12,EMR,Emerson Electric,Industrials
36,1364688000,720709585,2013,3,EMR,Emerson Electric,Industrials
37,1372550400,715829171,2013,6,EMR,Emerson Electric,Industrials
38,1380499200,706660259,2013,9,EMR,Emerson Electric,Industrials
39,1388448000,704388012,2013,12,EMR,Emerson Electric,Industrials
40,1396224000,701571074,2014,3,EMR,Emerson Electric,Industrials
41,1404086400,699153376,2014,6,EMR,Emerson Electric,Industrials
42,1412035200,696605222,2014,9,EMR,Emerson Electric,Industrials
43,1419984000,688677106,2014,12,EMR,Emerson Electric,Industrials
44,1427760000,673858557,2015,3,EMR,Emerson Electric,Industrials
45,1435622400,663311878,2015,6,EMR,Emerson Electric,Industrials
46,1443571200,654608521,2015,9,EMR,Emerson Electric,Industrials
47,1451520000,643099581,2015,12,EMR,Emerson Electric,Industrials
48,1459382400,643261142,2016,3,EMR,Emerson Electric,Industrials
49,1467244800,643402613,2016,6,EMR,Emerson Electric,Industrials
50,1475193600,642796490,2016,9,EMR,Emerson Electric,Industrials
51,1483142400,644694794,2016,12,EMR,Emerson Electric,Industrials
52,1490918400,644380547,2017,3,EMR,Emerson Electric,Industrials
53,1498780800,639966841,2017,6,EMR,Emerson Electric,Industrials
54,1506729600,641691971,2017,9,EMR,Emerson Electric,Industrials
55,1514678400,634221544,2017,12,EMR,Emerson Electric,Industrials
56,1522454400,632600000,2018,3,EMR,Emerson Electric,Industrials
57,1530316800,628411667,2018,6,EMR,Emerson Electric,Industrials
58,1546214400,615800000,2018,12,EMR,Emerson Electric,Industrials
59,1553990400,614000000,2019,3,EMR,Emerson Electric,Industrials
60,1561852800,614300000,2019,6,EMR,Emerson Electric,Industrials
61,1569801600,611000000,2019,9,EMR,Emerson Electric,Industrials
62,1577750400,611600000,2019,12,EMR,Emerson Electric,Industrials
63,1585612800,597475300,2020,3,EMR,Emerson Electric,Industrials
64,1593475200,597600000,2020,6,EMR,Emerson Electric,Industrials
65,1601424000,598000000,2020,9,EMR,Emerson Electric,Industrials
66,1609372800,599800000,2020,12,EMR,Emerson Electric,Industrials
67,1617148800,599400000,2021,3,EMR,Emerson Electric,Industrials
68,1625011200,597800000,2021,6,EMR,Emerson Electric,Industrials
69,1632960000,595800000,2021,9,EMR,Emerson Electric,Industrials
70,1640908800,594600000,2021,12,EMR,Emerson Electric,Industrials
71,1648684800,593300000,2022,3,EMR,Emerson Electric,Industrials
72,1656547200,592800000,2022,6,EMR,Emerson Electric,Industrials
73,1668711135,592800000,2022,11,EMR,Emerson Electric,Industrials
