,d,v,years,months,ticker_symbol,security,sector
0,985996800,276000000,2001,3,ETN,Eaton Corporation,Industrials
1,993859200,278000000,2001,6,ETN,Eaton Corporation,Industrials
2,1001808000,278400000,2001,9,ETN,Eaton Corporation,Industrials
3,1017532800,280400000,2002,3,ETN,Eaton Corporation,Industrials
4,1025395200,288400000,2002,6,ETN,Eaton Corporation,Industrials
5,1033344000,283200000,2002,9,ETN,Eaton Corporation,Industrials
6,1049068800,288400000,2003,3,ETN,Eaton Corporation,Industrials
7,1056931200,290000000,2003,6,ETN,Eaton Corporation,Industrials
8,1064880000,303600000,2003,9,ETN,Eaton Corporation,Industrials
9,1080691200,306200000,2004,3,ETN,Eaton Corporation,Industrials
10,1088553600,304200000,2004,6,ETN,Eaton Corporation,Industrials
11,1096502400,305600000,2004,9,ETN,Eaton Corporation,Industrials
12,1112227200,306200000,2005,3,ETN,Eaton Corporation,Industrials
13,1120089600,299600000,2005,6,ETN,Eaton Corporation,Industrials
14,1128038400,298200000,2005,9,ETN,Eaton Corporation,Industrials
15,1143763200,300800000,2006,3,ETN,Eaton Corporation,Industrials
16,1151625600,303400000,2006,6,ETN,Eaton Corporation,Industrials
17,1159574400,301000000,2006,9,ETN,Eaton Corporation,Industrials
18,1175299200,295200000,2007,3,ETN,Eaton Corporation,Industrials
19,1183161600,294800000,2007,6,ETN,Eaton Corporation,Industrials
20,1191110400,294000000,2007,9,ETN,Eaton Corporation,Industrials
21,1206921600,295400000,2008,3,ETN,Eaton Corporation,Industrials
22,1214784000,322400000,2008,6,ETN,Eaton Corporation,Industrials
23,1222732800,332400000,2008,9,ETN,Eaton Corporation,Industrials
24,1238457600,332200000,2009,3,ETN,Eaton Corporation,Industrials
25,1246320000,333800000,2009,6,ETN,Eaton Corporation,Industrials
26,1254268800,334000000,2009,9,ETN,Eaton Corporation,Industrials
27,1269993600,334200000,2010,3,ETN,Eaton Corporation,Industrials
28,1277856000,334800000,2010,6,ETN,Eaton Corporation,Industrials
29,1285804800,335200000,2010,9,ETN,Eaton Corporation,Industrials
30,1301529600,340100000,2011,3,ETN,Eaton Corporation,Industrials
31,1309392000,340900000,2011,6,ETN,Eaton Corporation,Industrials
32,1317340800,338100000,2011,9,ETN,Eaton Corporation,Industrials
33,1333152000,335400000,2012,3,ETN,Eaton Corporation,Industrials
34,1341014400,337000000,2012,6,ETN,Eaton Corporation,Industrials
35,1348963200,337600000,2012,9,ETN,Eaton Corporation,Industrials
36,1356912000,381300000,2012,12,ETN,Eaton Corporation,Industrials
37,1364688000,471900000,2013,3,ETN,Eaton Corporation,Industrials
38,1372550400,473400000,2013,6,ETN,Eaton Corporation,Industrials
39,1380499200,474000000,2013,9,ETN,Eaton Corporation,Industrials
40,1388448000,474700000,2013,12,ETN,Eaton Corporation,Industrials
41,1396224000,475800000,2014,3,ETN,Eaton Corporation,Industrials
42,1404086400,475900000,2014,6,ETN,Eaton Corporation,Industrials
43,1412035200,474800000,2014,9,ETN,Eaton Corporation,Industrials
44,1419984000,470000000,2014,12,ETN,Eaton Corporation,Industrials
45,1427760000,467900000,2015,3,ETN,Eaton Corporation,Industrials
46,1435622400,467600000,2015,6,ETN,Eaton Corporation,Industrials
47,1443571200,465100000,2015,9,ETN,Eaton Corporation,Industrials
48,1451520000,461400000,2015,12,ETN,Eaton Corporation,Industrials
49,1459382400,458600000,2016,3,ETN,Eaton Corporation,Industrials
50,1467244800,457000000,2016,6,ETN,Eaton Corporation,Industrials
51,1475193600,453900000,2016,9,ETN,Eaton Corporation,Industrials
52,1483142400,450500000,2016,12,ETN,Eaton Corporation,Industrials
53,1490918400,448800000,2017,3,ETN,Eaton Corporation,Industrials
54,1498780800,446300000,2017,6,ETN,Eaton Corporation,Industrials
55,1506729600,442600000,2017,9,ETN,Eaton Corporation,Industrials
56,1514678400,440300000,2017,12,ETN,Eaton Corporation,Industrials
57,1522454400,438800000,2018,3,ETN,Eaton Corporation,Industrials
58,1530316800,435200000,2018,6,ETN,Eaton Corporation,Industrials
59,1538265600,433500000,2018,9,ETN,Eaton Corporation,Industrials
60,1546214400,429900000,2018,12,ETN,Eaton Corporation,Industrials
61,1553990400,424000000,2019,3,ETN,Eaton Corporation,Industrials
62,1561852800,421600000,2019,6,ETN,Eaton Corporation,Industrials
63,1569801600,416600000,2019,9,ETN,Eaton Corporation,Industrials
64,1577750400,413600000,2019,12,ETN,Eaton Corporation,Industrials
65,1585612800,409300000,2020,3,ETN,Eaton Corporation,Industrials
66,1593475200,400400000,2020,6,ETN,Eaton Corporation,Industrials
67,1601424000,400400000,2020,9,ETN,Eaton Corporation,Industrials
68,1609372800,398700000,2020,12,ETN,Eaton Corporation,Industrials
69,1617148800,398300000,2021,3,ETN,Eaton Corporation,Industrials
70,1625011200,398800000,2021,6,ETN,Eaton Corporation,Industrials
71,1632960000,398900000,2021,9,ETN,Eaton Corporation,Industrials
72,1640908800,398900000,2021,12,ETN,Eaton Corporation,Industrials
73,1648684800,399200000,2022,3,ETN,Eaton Corporation,Industrials
74,1656547200,399000000,2022,6,ETN,Eaton Corporation,Industrials
75,1668711119,399000000,2022,11,ETN,Eaton Corporation,Industrials
