,d,v,years,months,ticker_symbol,security,sector
0,985996800,206978364,2001,3,EXPD,Expeditors International,Industrials
1,993859200,209224644,2001,6,EXPD,Expeditors International,Industrials
2,1001808000,210513436,2001,9,EXPD,Expeditors International,Industrials
3,1017532800,206762224,2002,3,EXPD,Expeditors International,Industrials
4,1025395200,207610606,2002,6,EXPD,Expeditors International,Industrials
5,1033344000,208466368,2002,9,EXPD,Expeditors International,Industrials
6,1049068800,208636656,2003,3,EXPD,Expeditors International,Industrials
7,1056931200,209081788,2003,6,EXPD,Expeditors International,Industrials
8,1064880000,210084420,2003,9,EXPD,Expeditors International,Industrials
9,1080691200,210262228,2004,3,EXPD,Expeditors International,Industrials
10,1088553600,211194826,2004,6,EXPD,Expeditors International,Industrials
11,1096502400,212510586,2004,9,EXPD,Expeditors International,Industrials
12,1112227200,213456836,2005,3,EXPD,Expeditors International,Industrials
13,1120089600,213552092,2005,6,EXPD,Expeditors International,Industrials
14,1128038400,213737374,2005,9,EXPD,Expeditors International,Industrials
15,1143763200,213422478,2006,3,EXPD,Expeditors International,Industrials
16,1151625600,213725395,2006,6,EXPD,Expeditors International,Industrials
17,1159574400,213524680,2006,9,EXPD,Expeditors International,Industrials
18,1175299200,213428221,2007,3,EXPD,Expeditors International,Industrials
19,1183161600,213251710,2007,6,EXPD,Expeditors International,Industrials
20,1191110400,213485465,2007,9,EXPD,Expeditors International,Industrials
21,1206921600,213062231,2008,3,EXPD,Expeditors International,Industrials
22,1214784000,213275229,2008,6,EXPD,Expeditors International,Industrials
23,1222732800,212747871,2008,9,EXPD,Expeditors International,Industrials
24,1238457600,212100504,2009,3,EXPD,Expeditors International,Industrials
25,1246320000,212116679,2009,6,EXPD,Expeditors International,Industrials
26,1254268800,212241480,2009,9,EXPD,Expeditors International,Industrials
27,1269993600,212192710,2010,3,EXPD,Expeditors International,Industrials
28,1277856000,212332375,2010,6,EXPD,Expeditors International,Industrials
29,1285804800,212392286,2010,9,EXPD,Expeditors International,Industrials
30,1301529600,212088860,2011,3,EXPD,Expeditors International,Industrials
31,1309392000,212136164,2011,6,EXPD,Expeditors International,Industrials
32,1317340800,212256119,2011,9,EXPD,Expeditors International,Industrials
33,1325289600,211988482,2011,12,EXPD,Expeditors International,Industrials
34,1333152000,212097662,2012,3,EXPD,Expeditors International,Industrials
35,1341014400,211724082,2012,6,EXPD,Expeditors International,Industrials
36,1348963200,210135763,2012,9,EXPD,Expeditors International,Industrials
37,1356912000,207766619,2012,12,EXPD,Expeditors International,Industrials
38,1364688000,206475095,2013,3,EXPD,Expeditors International,Industrials
39,1372550400,206444464,2013,6,EXPD,Expeditors International,Industrials
40,1380499200,206516194,2013,9,EXPD,Expeditors International,Industrials
41,1388448000,204558152,2013,12,EXPD,Expeditors International,Industrials
42,1396224000,201118390,2014,3,EXPD,Expeditors International,Industrials
43,1404086400,196451912,2014,6,EXPD,Expeditors International,Industrials
44,1412035200,194419071,2014,9,EXPD,Expeditors International,Industrials
45,1419984000,192708729,2014,12,EXPD,Expeditors International,Industrials
46,1427760000,191627750,2015,3,EXPD,Expeditors International,Industrials
47,1435622400,190679008,2015,6,EXPD,Expeditors International,Industrials
48,1443571200,188424400,2015,9,EXPD,Expeditors International,Industrials
49,1451520000,185111000,2015,12,EXPD,Expeditors International,Industrials
50,1459382400,182010000,2016,3,EXPD,Expeditors International,Industrials
51,1467244800,181753000,2016,6,EXPD,Expeditors International,Industrials
52,1475193600,181177000,2016,9,EXPD,Expeditors International,Industrials
53,1483142400,180201000,2016,12,EXPD,Expeditors International,Industrials
54,1490918400,180062000,2017,3,EXPD,Expeditors International,Industrials
55,1498780800,180012000,2017,6,EXPD,Expeditors International,Industrials
56,1506729600,179416000,2017,9,EXPD,Expeditors International,Industrials
57,1514678400,177523000,2017,12,EXPD,Expeditors International,Industrials
58,1522454400,175900000,2018,3,EXPD,Expeditors International,Industrials
59,1530316800,174754000,2018,6,EXPD,Expeditors International,Industrials
60,1538265600,173394000,2018,9,EXPD,Expeditors International,Industrials
61,1546214400,172493000,2018,12,EXPD,Expeditors International,Industrials
62,1553990400,171818000,2019,3,EXPD,Expeditors International,Industrials
63,1561852800,171003000,2019,6,EXPD,Expeditors International,Industrials
64,1569801600,170415000,2019,9,EXPD,Expeditors International,Industrials
65,1577750400,170339000,2019,12,EXPD,Expeditors International,Industrials
66,1585612800,168735000,2020,3,EXPD,Expeditors International,Industrials
67,1593475200,166767000,2020,6,EXPD,Expeditors International,Industrials
68,1601424000,168310000,2020,9,EXPD,Expeditors International,Industrials
69,1609372800,169473000,2020,12,EXPD,Expeditors International,Industrials
70,1617148800,169214000,2021,3,EXPD,Expeditors International,Industrials
71,1625011200,169210000,2021,6,EXPD,Expeditors International,Industrials
72,1632960000,169633000,2021,9,EXPD,Expeditors International,Industrials
73,1640908800,168393000,2021,12,EXPD,Expeditors International,Industrials
74,1648684800,167499000,2022,3,EXPD,Expeditors International,Industrials
75,1656547200,165092000,2022,6,EXPD,Expeditors International,Industrials
76,1668711166,165092000,2022,11,EXPD,Expeditors International,Industrials
