,d,v,years,months,ticker_symbol,security,sector
0,985996800,607024000,2001,3,FAST,Fastenal,Industrials
1,993859200,607024000,2001,6,FAST,Fastenal,Industrials
2,1001808000,607024000,2001,9,FAST,Fastenal,Industrials
3,1017532800,607024000,2002,3,FAST,Fastenal,Industrials
4,1025395200,607016000,2002,6,FAST,Fastenal,Industrials
5,1033344000,607016000,2002,9,FAST,Fastenal,Industrials
6,1049068800,607016000,2003,3,FAST,Fastenal,Industrials
7,1056931200,607016000,2003,6,FAST,Fastenal,Industrials
8,1064880000,607016000,2003,9,FAST,Fastenal,Industrials
9,1080691200,607016000,2004,3,FAST,Fastenal,Industrials
10,1088553600,607016000,2004,6,FAST,Fastenal,Industrials
11,1096502400,607016000,2004,9,FAST,Fastenal,Industrials
12,1112227200,607016000,2005,3,FAST,Fastenal,Industrials
13,1120089600,604944000,2005,6,FAST,Fastenal,Industrials
14,1128038400,604216000,2005,9,FAST,Fastenal,Industrials
15,1143763200,604220000,2006,3,FAST,Fastenal,Industrials
16,1151625600,604220000,2006,6,FAST,Fastenal,Industrials
17,1159574400,603628000,2006,9,FAST,Fastenal,Industrials
18,1175299200,604716000,2007,3,FAST,Fastenal,Industrials
19,1183161600,603956000,2007,6,FAST,Fastenal,Industrials
20,1191110400,601848000,2007,9,FAST,Fastenal,Industrials
21,1206921600,596484000,2008,3,FAST,Fastenal,Industrials
22,1214784000,596452000,2008,6,FAST,Fastenal,Industrials
23,1222732800,594292000,2008,9,FAST,Fastenal,Industrials
24,1238457600,594124000,2009,3,FAST,Fastenal,Industrials
25,1246320000,594124000,2009,6,FAST,Fastenal,Industrials
26,1254268800,594124000,2009,9,FAST,Fastenal,Industrials
27,1269993600,589724000,2010,3,FAST,Fastenal,Industrials
28,1277856000,589724000,2010,6,FAST,Fastenal,Industrials
29,1285804800,589724000,2010,9,FAST,Fastenal,Industrials
30,1301529600,589724000,2011,3,FAST,Fastenal,Industrials
31,1309392000,589948000,2011,6,FAST,Fastenal,Industrials
32,1317340800,590288000,2011,9,FAST,Fastenal,Industrials
33,1333152000,591076000,2012,3,FAST,Fastenal,Industrials
34,1341014400,592220000,2012,6,FAST,Fastenal,Industrials
35,1348963200,592476000,2012,9,FAST,Fastenal,Industrials
36,1356912000,592914000,2012,12,FAST,Fastenal,Industrials
37,1364688000,593286000,2013,3,FAST,Fastenal,Industrials
38,1372550400,593558000,2013,6,FAST,Fastenal,Industrials
39,1380499200,593686000,2013,9,FAST,Fastenal,Industrials
40,1388448000,593498000,2013,12,FAST,Fastenal,Industrials
41,1396224000,593284000,2014,3,FAST,Fastenal,Industrials
42,1404086400,593382000,2014,6,FAST,Fastenal,Industrials
43,1412035200,593190000,2014,9,FAST,Fastenal,Industrials
44,1419984000,592076000,2014,12,FAST,Fastenal,Industrials
45,1427760000,590476000,2015,3,FAST,Fastenal,Industrials
46,1435622400,582354000,2015,6,FAST,Fastenal,Industrials
47,1443571200,579836000,2015,9,FAST,Fastenal,Industrials
48,1451520000,579182000,2015,12,FAST,Fastenal,Industrials
49,1459382400,577616000,2016,3,FAST,Fastenal,Industrials
50,1467244800,577838000,2016,6,FAST,Fastenal,Industrials
51,1475193600,577990000,2016,9,FAST,Fastenal,Industrials
52,1483142400,578150000,2016,12,FAST,Fastenal,Industrials
53,1490918400,578400000,2017,3,FAST,Fastenal,Industrials
54,1498780800,577400000,2017,6,FAST,Fastenal,Industrials
55,1506729600,575000000,2017,9,FAST,Fastenal,Industrials
56,1514678400,575000000,2017,12,FAST,Fastenal,Industrials
57,1522454400,575200000,2018,3,FAST,Fastenal,Industrials
58,1530316800,574200000,2018,6,FAST,Fastenal,Industrials
59,1538265600,574000000,2018,9,FAST,Fastenal,Industrials
60,1546214400,572200000,2018,12,FAST,Fastenal,Industrials
61,1553990400,572200000,2019,3,FAST,Fastenal,Industrials
62,1561852800,573200000,2019,6,FAST,Fastenal,Industrials
63,1569801600,573500000,2019,9,FAST,Fastenal,Industrials
64,1577750400,574000000,2019,12,FAST,Fastenal,Industrials
65,1585612800,573900000,2020,3,FAST,Fastenal,Industrials
66,1593475200,573200000,2020,6,FAST,Fastenal,Industrials
67,1601424000,573900000,2020,9,FAST,Fastenal,Industrials
68,1609372800,574100000,2020,12,FAST,Fastenal,Industrials
69,1617148800,574300000,2021,3,FAST,Fastenal,Industrials
70,1625011200,574600000,2021,6,FAST,Fastenal,Industrials
71,1632960000,575000000,2021,9,FAST,Fastenal,Industrials
72,1640908800,575300000,2021,12,FAST,Fastenal,Industrials
73,1648684800,575600000,2022,3,FAST,Fastenal,Industrials
74,1656547200,575500000,2022,6,FAST,Fastenal,Industrials
75,1668711182,573000000,2022,11,FAST,Fastenal,Industrials
