,d,v,years,months,ticker_symbol,security,sector
0,985996800,400802000,2001,3,GD,General Dynamics,Industrials
1,993859200,402058000,2001,6,GD,General Dynamics,Industrials
2,1001808000,402904000,2001,9,GD,General Dynamics,Industrials
3,1017532800,401986000,2002,3,GD,General Dynamics,Industrials
4,1025395200,403654000,2002,6,GD,General Dynamics,Industrials
5,1033344000,403254000,2002,9,GD,General Dynamics,Industrials
6,1049068800,397756000,2003,3,GD,General Dynamics,Industrials
7,1056931200,394448000,2003,6,GD,General Dynamics,Industrials
8,1064880000,394622000,2003,9,GD,General Dynamics,Industrials
9,1080691200,396879034,2004,3,GD,General Dynamics,Industrials
10,1088553600,397350993,2004,6,GD,General Dynamics,Industrials
11,1096502400,400000000,2004,9,GD,General Dynamics,Industrials
12,1112227200,401114918,2005,3,GD,General Dynamics,Industrials
13,1120089600,401162791,2005,6,GD,General Dynamics,Industrials
14,1128038400,402150538,2005,9,GD,General Dynamics,Industrials
15,1143763200,401469000,2006,3,GD,General Dynamics,Industrials
16,1151625600,402531646,2006,6,GD,General Dynamics,Industrials
17,1159574400,401834862,2006,9,GD,General Dynamics,Industrials
18,1175299200,405596000,2007,3,GD,General Dynamics,Industrials
19,1183161600,403937008,2007,6,GD,General Dynamics,Industrials
20,1191110400,404444444,2007,9,GD,General Dynamics,Industrials
21,1206921600,400759000,2008,3,GD,General Dynamics,Industrials
22,1214784000,398491000,2008,6,GD,General Dynamics,Industrials
23,1222732800,396748000,2008,9,GD,General Dynamics,Industrials
24,1238457600,385845000,2009,3,GD,General Dynamics,Industrials
25,1246320000,385000000,2009,6,GD,General Dynamics,Industrials
26,1254268800,385200000,2009,9,GD,General Dynamics,Industrials
27,1269993600,384800000,2010,3,GD,General Dynamics,Industrials
28,1277856000,384300000,2010,6,GD,General Dynamics,Industrials
29,1285804800,379100000,2010,9,GD,General Dynamics,Industrials
30,1293753600,376700000,2010,12,GD,General Dynamics,Industrials
31,1301529600,372700000,2011,3,GD,General Dynamics,Industrials
32,1309392000,368000000,2011,6,GD,General Dynamics,Industrials
33,1317340800,359700000,2011,9,GD,General Dynamics,Industrials
34,1325289600,356200000,2011,12,GD,General Dynamics,Industrials
35,1333152000,357000000,2012,3,GD,General Dynamics,Industrials
36,1341014400,355000000,2012,6,GD,General Dynamics,Industrials
37,1348963200,350470000,2012,9,GD,General Dynamics,Industrials
38,1356912000,350900000,2012,12,GD,General Dynamics,Industrials
39,1364688000,351900000,2013,3,GD,General Dynamics,Industrials
40,1372550400,351100000,2013,6,GD,General Dynamics,Industrials
41,1380499200,349337000,2013,9,GD,General Dynamics,Industrials
42,1388448000,350500000,2013,12,GD,General Dynamics,Industrials
43,1396224000,342232000,2014,3,GD,General Dynamics,Industrials
44,1404086400,336692000,2014,6,GD,General Dynamics,Industrials
45,1412035200,331811000,2014,9,GD,General Dynamics,Industrials
46,1419984000,330000000,2014,12,GD,General Dynamics,Industrials
47,1427760000,329154000,2015,3,GD,General Dynamics,Industrials
48,1435622400,326153000,2015,6,GD,General Dynamics,Industrials
49,1443571200,316680000,2015,9,GD,General Dynamics,Industrials
50,1451520000,313300000,2015,12,GD,General Dynamics,Industrials
51,1459382400,307928000,2016,3,GD,General Dynamics,Industrials
52,1467244800,304470000,2016,6,GD,General Dynamics,Industrials
53,1475193600,303938000,2016,9,GD,General Dynamics,Industrials
54,1483142400,302500000,2016,12,GD,General Dynamics,Industrials
55,1490918400,301771000,2017,3,GD,General Dynamics,Industrials
56,1498780800,299790000,2017,6,GD,General Dynamics,Industrials
57,1506729600,298145000,2017,9,GD,General Dynamics,Industrials
58,1514678400,297000000,2017,12,GD,General Dynamics,Industrials
59,1522454400,296400000,2018,3,GD,General Dynamics,Industrials
60,1530316800,296153000,2018,6,GD,General Dynamics,Industrials
61,1538265600,295339000,2018,9,GD,General Dynamics,Industrials
62,1546214400,293200000,2018,12,GD,General Dynamics,Industrials
63,1553990400,287900000,2019,3,GD,General Dynamics,Industrials
64,1561852800,288100000,2019,6,GD,General Dynamics,Industrials
65,1569801600,288374000,2019,9,GD,General Dynamics,Industrials
66,1577750400,288800000,2019,12,GD,General Dynamics,Industrials
67,1585612800,288569000,2020,3,GD,General Dynamics,Industrials
68,1593475200,286388000,2020,6,GD,General Dynamics,Industrials
69,1601424000,286452000,2020,9,GD,General Dynamics,Industrials
70,1609372800,286300000,2020,12,GD,General Dynamics,Industrials
71,1617148800,284102000,2021,3,GD,General Dynamics,Industrials
72,1625011200,280742000,2021,6,GD,General Dynamics,Industrials
73,1632960000,278596000,2021,9,GD,General Dynamics,Industrials
74,1640908800,278300000,2021,12,GD,General Dynamics,Industrials
75,1648684800,277074000,2022,3,GD,General Dynamics,Industrials
76,1656547200,276267000,2022,6,GD,General Dynamics,Industrials
77,1668711259,273916000,2022,11,GD,General Dynamics,Industrials
