,d,v,years,months,ticker_symbol,security,sector
0,985996800,1241750000,2001,3,GE,General Electric,Industrials
1,993859200,1242000000,2001,6,GE,General Electric,Industrials
2,1001808000,1241625000,2001,9,GE,General Electric,Industrials
3,1017532800,1241375000,2002,3,GE,General Electric,Industrials
4,1025395200,1242750000,2002,6,GE,General Electric,Industrials
5,1033344000,1243875000,2002,9,GE,General Electric,Industrials
6,1049068800,1247875000,2003,3,GE,General Electric,Industrials
7,1056931200,1251000000,2003,6,GE,General Electric,Industrials
8,1064880000,1253875000,2003,9,GE,General Electric,Industrials
9,1080691200,1267375000,2004,3,GE,General Electric,Industrials
10,1088553600,1298375000,2004,6,GE,General Electric,Industrials
11,1096502400,1320750000,2004,9,GE,General Electric,Industrials
12,1112227200,1324625000,2005,3,GE,General Electric,Industrials
13,1120089600,1325500000,2005,6,GE,General Electric,Industrials
14,1128038400,1323125000,2005,9,GE,General Electric,Industrials
15,1143763200,1305250000,2006,3,GE,General Electric,Industrials
16,1151625600,1295250000,2006,6,GE,General Electric,Industrials
17,1159574400,1289625000,2006,9,GE,General Electric,Industrials
18,1175299200,1285500000,2007,3,GE,General Electric,Industrials
19,1183161600,1283500000,2007,6,GE,General Electric,Industrials
20,1191110400,1272125000,2007,9,GE,General Electric,Industrials
21,1206921600,1247250000,2008,3,GE,General Electric,Industrials
22,1214784000,1244750000,2008,6,GE,General Electric,Industrials
23,1222732800,1244125000,2008,9,GE,General Electric,Industrials
24,1238457600,1320500000,2009,3,GE,General Electric,Industrials
25,1246320000,1326125000,2009,6,GE,General Electric,Industrials
26,1254268800,1329750000,2009,9,GE,General Electric,Industrials
27,1269993600,1333875000,2010,3,GE,General Electric,Industrials
28,1277856000,1335625000,2010,6,GE,General Electric,Industrials
29,1285804800,1334250000,2010,9,GE,General Electric,Industrials
30,1293753600,1329500000,2010,12,GE,General Electric,Industrials
31,1301529600,1326375000,2011,3,GE,General Electric,Industrials
32,1309392000,1325500000,2011,6,GE,General Electric,Industrials
33,1317340800,1322500000,2011,9,GE,General Electric,Industrials
34,1325289600,1320750000,2011,12,GE,General Electric,Industrials
35,1333152000,1322625000,2012,3,GE,General Electric,Industrials
36,1341014400,1321750000,2012,6,GE,General Electric,Industrials
37,1348963200,1315375000,2012,9,GE,General Electric,Industrials
38,1356912000,1305875000,2012,12,GE,General Electric,Industrials
39,1364688000,1296750000,2013,3,GE,General Electric,Industrials
40,1372550400,1282875000,2013,6,GE,General Electric,Industrials
41,1380499200,1268875000,2013,9,GE,General Electric,Industrials
42,1388448000,1261250000,2013,12,GE,General Electric,Industrials
43,1396224000,1255625000,2014,3,GE,General Electric,Industrials
44,1404086400,1253875000,2014,6,GE,General Electric,Industrials
45,1412035200,1254875000,2014,9,GE,General Electric,Industrials
46,1419984000,1256250000,2014,12,GE,General Electric,Industrials
47,1427760000,1258375000,2015,3,GE,General Electric,Industrials
48,1435622400,1260875000,2015,6,GE,General Electric,Industrials
49,1443571200,1262875000,2015,9,GE,General Electric,Industrials
50,1451520000,1218125000,2015,12,GE,General Electric,Industrials
51,1459382400,1161000000,2016,3,GE,General Electric,Industrials
52,1467244800,1134875000,2016,6,GE,General Electric,Industrials
53,1475193600,1113000000,2016,9,GE,General Electric,Industrials
54,1483142400,1099375000,2016,12,GE,General Electric,Industrials
55,1490918400,1089250000,2017,3,GE,General Electric,Industrials
56,1498780800,1083875000,2017,6,GE,General Electric,Industrials
57,1506729600,1083125000,2017,9,GE,General Electric,Industrials
58,1514678400,1086946903,2017,12,GE,General Electric,Industrials
59,1522454400,1085375000,2018,3,GE,General Electric,Industrials
60,1530316800,1086000000,2018,6,GE,General Electric,Industrials
61,1538265600,1086750000,2018,9,GE,General Electric,Industrials
62,1546214400,1087500000,2018,12,GE,General Electric,Industrials
63,1553990400,1088875000,2019,3,GE,General Electric,Industrials
64,1561852800,1090500000,2019,6,GE,General Electric,Industrials
65,1569801600,1090125000,2019,9,GE,General Electric,Industrials
66,1577750400,1092000000,2019,12,GE,General Electric,Industrials
67,1585612800,1092750000,2020,3,GE,General Electric,Industrials
68,1593475200,1093750000,2020,6,GE,General Electric,Industrials
69,1601424000,1094500000,2020,9,GE,General Electric,Industrials
70,1609372800,1095250000,2020,12,GE,General Electric,Industrials
71,1617148800,1096500000,2021,3,GE,General Electric,Industrials
72,1625011200,1097500000,2021,6,GE,General Electric,Industrials
73,1632960000,1098000000,2021,9,GE,General Electric,Industrials
74,1640908800,1099000000,2021,12,GE,General Electric,Industrials
75,1648684800,1100664978,2022,3,GE,General Electric,Industrials
76,1656547200,1099000000,2022,6,GE,General Electric,Industrials
77,1668711275,1095000000,2022,11,GE,General Electric,Industrials
