,d,v,years,months,ticker_symbol,security,sector
0,1269993600,48800000,2010,3,HII,Huntington Ingalls Industries,Industrials
1,1277856000,48800000,2010,6,HII,Huntington Ingalls Industries,Industrials
2,1285804800,48800000,2010,9,HII,Huntington Ingalls Industries,Industrials
3,1301529600,48800000,2011,3,HII,Huntington Ingalls Industries,Industrials
4,1309392000,48800000,2011,6,HII,Huntington Ingalls Industries,Industrials
5,1317340800,48900000,2011,9,HII,Huntington Ingalls Industries,Industrials
6,1333152000,49000000,2012,3,HII,Huntington Ingalls Industries,Industrials
7,1341014400,49500000,2012,6,HII,Huntington Ingalls Industries,Industrials
8,1348963200,49600000,2012,9,HII,Huntington Ingalls Industries,Industrials
9,1364688000,49800000,2013,3,HII,Huntington Ingalls Industries,Industrials
10,1372550400,50200000,2013,6,HII,Huntington Ingalls Industries,Industrials
11,1380499200,49900000,2013,9,HII,Huntington Ingalls Industries,Industrials
12,1396224000,49100000,2014,3,HII,Huntington Ingalls Industries,Industrials
13,1404086400,48800000,2014,6,HII,Huntington Ingalls Industries,Industrials
14,1412035200,48700000,2014,9,HII,Huntington Ingalls Industries,Industrials
15,1427760000,48400000,2015,3,HII,Huntington Ingalls Industries,Industrials
16,1435622400,48500000,2015,6,HII,Huntington Ingalls Industries,Industrials
17,1443571200,48000000,2015,9,HII,Huntington Ingalls Industries,Industrials
18,1459382400,47000000,2016,3,HII,Huntington Ingalls Industries,Industrials
19,1467244800,47000000,2016,6,HII,Huntington Ingalls Industries,Industrials
20,1475193600,46900000,2016,9,HII,Huntington Ingalls Industries,Industrials
21,1490918400,46300000,2017,3,HII,Huntington Ingalls Industries,Industrials
22,1498780800,45700000,2017,6,HII,Huntington Ingalls Industries,Industrials
23,1506729600,45400000,2017,9,HII,Huntington Ingalls Industries,Industrials
24,1522454400,44800000,2018,3,HII,Huntington Ingalls Industries,Industrials
25,1530316800,44200000,2018,6,HII,Huntington Ingalls Industries,Industrials
26,1538265600,43300000,2018,9,HII,Huntington Ingalls Industries,Industrials
27,1553990400,41400000,2019,3,HII,Huntington Ingalls Industries,Industrials
28,1561852800,41700000,2019,6,HII,Huntington Ingalls Industries,Industrials
29,1569801600,41200000,2019,9,HII,Huntington Ingalls Industries,Industrials
30,1585612800,40700000,2020,3,HII,Huntington Ingalls Industries,Industrials
31,1593475200,40700000,2020,6,HII,Huntington Ingalls Industries,Industrials
32,1601424000,40600000,2020,9,HII,Huntington Ingalls Industries,Industrials
33,1617148800,40200000,2021,3,HII,Huntington Ingalls Industries,Industrials
34,1625011200,40300000,2021,6,HII,Huntington Ingalls Industries,Industrials
35,1632960000,40300000,2021,9,HII,Huntington Ingalls Industries,Industrials
36,1640908800,40100000,2021,12,HII,Huntington Ingalls Industries,Industrials
37,1648684800,40000000,2022,3,HII,Huntington Ingalls Industries,Industrials
38,1656547200,40100000,2022,6,HII,Huntington Ingalls Industries,Industrials
39,1668711323,40100000,2022,11,HII,Huntington Ingalls Industries,Industrials
