,d,v,years,months,ticker_symbol,security,sector
0,985996800,820000000,2001,3,HON,Honeywell,Industrials
1,993859200,833333333,2001,6,HON,Honeywell,Industrials
2,1001808000,810526316,2001,9,HON,Honeywell,Industrials
3,1017532800,817391304,2002,3,HON,Honeywell,Industrials
4,1025395200,819642857,2002,6,HON,Honeywell,Industrials
5,1033344000,824000000,2002,9,HON,Honeywell,Industrials
6,1049068800,846666667,2003,3,HON,Honeywell,Industrials
7,1056931200,862162162,2003,6,HON,Honeywell,Industrials
8,1064880000,860000000,2003,9,HON,Honeywell,Industrials
9,1080691200,867647059,2004,3,HON,Honeywell,Industrials
10,1088553600,859523810,2004,6,HON,Honeywell,Industrials
11,1096502400,865116279,2004,9,HON,Honeywell,Industrials
12,1112227200,854761905,2005,3,HON,Honeywell,Industrials
13,1120089600,850000000,2005,6,HON,Honeywell,Industrials
14,1128038400,854545455,2005,9,HON,Honeywell,Industrials
15,1143763200,838461538,2006,3,HON,Honeywell,Industrials
16,1151625600,826984127,2006,6,HON,Honeywell,Industrials
17,1159574400,819696970,2006,9,HON,Honeywell,Industrials
18,1175299200,796969697,2007,3,HON,Honeywell,Industrials
19,1183161600,773417722,2007,6,HON,Honeywell,Industrials
20,1191110400,744578313,2007,9,HON,Honeywell,Industrials
21,1206921600,739080460,2008,3,HON,Honeywell,Industrials
22,1214784000,745360825,2008,6,HON,Honeywell,Industrials
23,1222732800,730900000,2008,9,HON,Honeywell,Industrials
24,1238457600,737700000,2009,3,HON,Honeywell,Industrials
25,1246320000,748000000,2009,6,HON,Honeywell,Industrials
26,1254268800,761000000,2009,9,HON,Honeywell,Industrials
27,1269993600,765700000,2010,3,HON,Honeywell,Industrials
28,1277856000,770000000,2010,6,HON,Honeywell,Industrials
29,1285804800,776500000,2010,9,HON,Honeywell,Industrials
30,1301529600,785500000,2011,3,HON,Honeywell,Industrials
31,1309392000,785000000,2011,6,HON,Honeywell,Industrials
32,1317340800,778200000,2011,9,HON,Honeywell,Industrials
33,1325289600,774700000,2011,12,HON,Honeywell,Industrials
34,1333152000,777300000,2012,3,HON,Honeywell,Industrials
35,1341014400,781400000,2012,6,HON,Honeywell,Industrials
36,1348963200,783600000,2012,9,HON,Honeywell,Industrials
37,1356912000,787200000,2012,12,HON,Honeywell,Industrials
38,1364688000,785800000,2013,3,HON,Honeywell,Industrials
39,1372550400,787600000,2013,6,HON,Honeywell,Industrials
40,1380499200,786300000,2013,9,HON,Honeywell,Industrials
41,1388448000,785900000,2013,12,HON,Honeywell,Industrials
42,1396224000,784900000,2014,3,HON,Honeywell,Industrials
43,1404086400,784500000,2014,6,HON,Honeywell,Industrials
44,1412035200,784500000,2014,9,HON,Honeywell,Industrials
45,1419984000,783800000,2014,12,HON,Honeywell,Industrials
46,1427760000,783800000,2015,3,HON,Honeywell,Industrials
47,1435622400,783300000,2015,6,HON,Honeywell,Industrials
48,1443571200,780400000,2015,9,HON,Honeywell,Industrials
49,1451520000,771800000,2015,12,HON,Honeywell,Industrials
50,1459382400,767900000,2016,3,HON,Honeywell,Industrials
51,1467244800,763300000,2016,6,HON,Honeywell,Industrials
52,1475193600,763700000,2016,9,HON,Honeywell,Industrials
53,1483142400,762400000,2016,12,HON,Honeywell,Industrials
54,1490918400,763100000,2017,3,HON,Honeywell,Industrials
55,1498780800,764200000,2017,6,HON,Honeywell,Industrials
56,1506729600,762200000,2017,9,HON,Honeywell,Industrials
57,1514678400,758800000,2017,12,HON,Honeywell,Industrials
58,1522454400,750600000,2018,3,HON,Honeywell,Industrials
59,1530316800,745500000,2018,6,HON,Honeywell,Industrials
60,1538265600,741800000,2018,9,HON,Honeywell,Industrials
61,1546214400,734000000,2018,12,HON,Honeywell,Industrials
62,1553990400,729700000,2019,3,HON,Honeywell,Industrials
63,1561852800,723200000,2019,6,HON,Honeywell,Industrials
64,1569801600,717600000,2019,9,HON,Honeywell,Industrials
65,1577750400,713500000,2019,12,HON,Honeywell,Industrials
66,1585612800,709600000,2020,3,HON,Honeywell,Industrials
67,1593475200,702300000,2020,6,HON,Honeywell,Industrials
68,1601424000,702600000,2020,9,HON,Honeywell,Industrials
69,1609372800,701800000,2020,12,HON,Honeywell,Industrials
70,1617148800,696200000,2021,3,HON,Honeywell,Industrials
71,1625011200,693800000,2021,6,HON,Honeywell,Industrials
72,1632960000,690600000,2021,9,HON,Honeywell,Industrials
73,1640908800,688300000,2021,12,HON,Honeywell,Industrials
74,1648684800,684700000,2022,3,HON,Honeywell,Industrials
75,1656547200,679000000,2022,6,HON,Honeywell,Industrials
76,1668711291,679000000,2022,11,HON,Honeywell,Industrials
