,d,v,years,months,ticker_symbol,security,sector
0,985996800,67493250,2001,3,IEX,IDEX Corporation,Industrials
1,993859200,67808250,2001,6,IEX,IDEX Corporation,Industrials
2,1001808000,68244750,2001,9,IEX,IDEX Corporation,Industrials
3,1017532800,68654250,2002,3,IEX,IDEX Corporation,Industrials
4,1025395200,71253000,2002,6,IEX,IDEX Corporation,Industrials
5,1033344000,72551250,2002,9,IEX,IDEX Corporation,Industrials
6,1049068800,72654750,2003,3,IEX,IDEX Corporation,Industrials
7,1056931200,72864000,2003,6,IEX,IDEX Corporation,Industrials
8,1064880000,73487250,2003,9,IEX,IDEX Corporation,Industrials
9,1080691200,74211750,2004,3,IEX,IDEX Corporation,Industrials
10,1088553600,75090000,2004,6,IEX,IDEX Corporation,Industrials
11,1096502400,75439500,2004,9,IEX,IDEX Corporation,Industrials
12,1112227200,76018500,2005,3,IEX,IDEX Corporation,Industrials
13,1120089600,76444500,2005,6,IEX,IDEX Corporation,Industrials
14,1128038400,77427000,2005,9,IEX,IDEX Corporation,Industrials
15,1143763200,78955500,2006,3,IEX,IDEX Corporation,Industrials
16,1151625600,79521000,2006,6,IEX,IDEX Corporation,Industrials
17,1159574400,79689000,2006,9,IEX,IDEX Corporation,Industrials
18,1175299200,80263500,2007,3,IEX,IDEX Corporation,Industrials
19,1183161600,80595000,2007,6,IEX,IDEX Corporation,Industrials
20,1191110400,80832000,2007,9,IEX,IDEX Corporation,Industrials
21,1206921600,81067000,2008,3,IEX,IDEX Corporation,Industrials
22,1214784000,81322000,2008,6,IEX,IDEX Corporation,Industrials
23,1222732800,81572000,2008,9,IEX,IDEX Corporation,Industrials
24,1238457600,79513000,2009,3,IEX,IDEX Corporation,Industrials
25,1246320000,79675000,2009,6,IEX,IDEX Corporation,Industrials
26,1254268800,79740000,2009,9,IEX,IDEX Corporation,Industrials
27,1269993600,80080000,2010,3,IEX,IDEX Corporation,Industrials
28,1277856000,80369000,2010,6,IEX,IDEX Corporation,Industrials
29,1285804800,80517000,2010,9,IEX,IDEX Corporation,Industrials
30,1301529600,81430000,2011,3,IEX,IDEX Corporation,Industrials
31,1309392000,82151000,2011,6,IEX,IDEX Corporation,Industrials
32,1317340800,82402000,2011,9,IEX,IDEX Corporation,Industrials
33,1333152000,82804000,2012,3,IEX,IDEX Corporation,Industrials
34,1341014400,83180000,2012,6,IEX,IDEX Corporation,Industrials
35,1348963200,82482000,2012,9,IEX,IDEX Corporation,Industrials
36,1356912000,82296000,2012,12,IEX,IDEX Corporation,Industrials
37,1364688000,82197000,2013,3,IEX,IDEX Corporation,Industrials
38,1372550400,81829000,2013,6,IEX,IDEX Corporation,Industrials
39,1380499200,81259000,2013,9,IEX,IDEX Corporation,Industrials
40,1388448000,80782000,2013,12,IEX,IDEX Corporation,Industrials
41,1396224000,80527000,2014,3,IEX,IDEX Corporation,Industrials
42,1404086400,80106000,2014,6,IEX,IDEX Corporation,Industrials
43,1412035200,79558000,2014,9,IEX,IDEX Corporation,Industrials
44,1427760000,77996000,2015,3,IEX,IDEX Corporation,Industrials
45,1435622400,77466000,2015,6,IEX,IDEX Corporation,Industrials
46,1443571200,76831000,2015,9,IEX,IDEX Corporation,Industrials
47,1459382400,75749000,2016,3,IEX,IDEX Corporation,Industrials
48,1467244800,75690000,2016,6,IEX,IDEX Corporation,Industrials
49,1475193600,75819000,2016,9,IEX,IDEX Corporation,Industrials
50,1490918400,76115000,2017,3,IEX,IDEX Corporation,Industrials
51,1498780800,76220000,2017,6,IEX,IDEX Corporation,Industrials
52,1506729600,76309000,2017,9,IEX,IDEX Corporation,Industrials
53,1514678400,76283000,2017,12,IEX,IDEX Corporation,Industrials
54,1522454400,76419000,2018,3,IEX,IDEX Corporation,Industrials
55,1530316800,76539000,2018,6,IEX,IDEX Corporation,Industrials
56,1538265600,76562000,2018,9,IEX,IDEX Corporation,Industrials
57,1546214400,76128000,2018,12,IEX,IDEX Corporation,Industrials
58,1553990400,75442000,2019,3,IEX,IDEX Corporation,Industrials
59,1561852800,75460000,2019,6,IEX,IDEX Corporation,Industrials
60,1569801600,75698000,2019,9,IEX,IDEX Corporation,Industrials
61,1577750400,75779000,2019,12,IEX,IDEX Corporation,Industrials
62,1585612800,75740000,2020,3,IEX,IDEX Corporation,Industrials
63,1593475200,75171000,2020,6,IEX,IDEX Corporation,Industrials
64,1601424000,75352000,2020,9,IEX,IDEX Corporation,Industrials
65,1609372800,75817000,2020,12,IEX,IDEX Corporation,Industrials
66,1617148800,75892000,2021,3,IEX,IDEX Corporation,Industrials
67,1625011200,75968000,2021,6,IEX,IDEX Corporation,Industrials
68,1632960000,76010000,2021,9,IEX,IDEX Corporation,Industrials
69,1640908800,76100000,2021,12,IEX,IDEX Corporation,Industrials
70,1648684800,76100000,2022,3,IEX,IDEX Corporation,Industrials
71,1656547200,75800000,2022,6,IEX,IDEX Corporation,Industrials
72,1668711338,75400000,2022,11,IEX,IDEX Corporation,Industrials
