,d,v,years,months,ticker_symbol,security,sector
0,1459382400,189732248,2016,3,IR,Ingersoll Rand,Industrials
1,1467244800,189732248,2016,6,IR,Ingersoll Rand,Industrials
2,1475193600,189732248,2016,9,IR,Ingersoll Rand,Industrials
3,1490918400,189732248,2017,3,IR,Ingersoll Rand,Industrials
4,1498780800,176265060,2017,6,IR,Ingersoll Rand,Industrials
5,1506729600,200000000,2017,9,IR,Ingersoll Rand,Industrials
6,1514678400,202535211,2017,12,IR,Ingersoll Rand,Industrials
7,1522454400,201600000,2018,3,IR,Ingersoll Rand,Industrials
8,1530316800,201800000,2018,6,IR,Ingersoll Rand,Industrials
9,1538265600,201900000,2018,9,IR,Ingersoll Rand,Industrials
10,1546214400,201063830,2018,12,IR,Ingersoll Rand,Industrials
11,1553990400,201600000,2019,3,IR,Ingersoll Rand,Industrials
12,1561852800,203400000,2019,6,IR,Ingersoll Rand,Industrials
13,1569801600,204200000,2019,9,IR,Ingersoll Rand,Industrials
14,1577750400,204800000,2019,12,IR,Ingersoll Rand,Industrials
15,1585612800,277300000,2020,3,IR,Ingersoll Rand,Industrials
16,1593475200,417000000,2020,6,IR,Ingersoll Rand,Industrials
17,1601424000,417600000,2020,9,IR,Ingersoll Rand,Industrials
18,1609372800,418400000,2020,12,IR,Ingersoll Rand,Industrials
19,1617148800,419200000,2021,3,IR,Ingersoll Rand,Industrials
20,1625011200,419900000,2021,6,IR,Ingersoll Rand,Industrials
21,1632960000,412300000,2021,9,IR,Ingersoll Rand,Industrials
22,1640908800,407800000,2021,12,IR,Ingersoll Rand,Industrials
23,1648684800,407600000,2022,3,IR,Ingersoll Rand,Industrials
24,1656547200,404500000,2022,6,IR,Ingersoll Rand,Industrials
25,1668711368,404500000,2022,11,IR,Ingersoll Rand,Industrials
