,d,v,years,months,ticker_symbol,security,sector
0,985996800,106469136,2001,3,J,Jacobs Solutions,Industrials
1,993859200,107238095,2001,6,J,Jacobs Solutions,Industrials
2,1009756800,107791667,2001,12,J,Jacobs Solutions,Industrials
3,1017532800,107520000,2002,3,J,Jacobs Solutions,Industrials
4,1025395200,109490196,2002,6,J,Jacobs Solutions,Industrials
5,1041292800,109600000,2002,12,J,Jacobs Solutions,Industrials
6,1049068800,110456140,2003,3,J,Jacobs Solutions,Industrials
7,1056931200,111389831,2003,6,J,Jacobs Solutions,Industrials
8,1072828800,110819672,2003,12,J,Jacobs Solutions,Industrials
9,1080691200,112177419,2004,3,J,Jacobs Solutions,Industrials
10,1088553600,112943396,2004,6,J,Jacobs Solutions,Industrials
11,1104451200,114140351,2004,12,J,Jacobs Solutions,Industrials
12,1112227200,113206349,2005,3,J,Jacobs Solutions,Industrials
13,1120089600,114428571,2005,6,J,Jacobs Solutions,Industrials
14,1135987200,116283784,2005,12,J,Jacobs Solutions,Industrials
15,1143763200,117105263,2006,3,J,Jacobs Solutions,Industrials
16,1151625600,116395402,2006,6,J,Jacobs Solutions,Industrials
17,1167523200,117811538,2006,12,J,Jacobs Solutions,Industrials
18,1175299200,117940351,2007,3,J,Jacobs Solutions,Industrials
19,1183161600,118650794,2007,6,J,Jacobs Solutions,Industrials
20,1199059200,119963415,2007,12,J,Jacobs Solutions,Industrials
21,1206921600,121112195,2008,3,J,Jacobs Solutions,Industrials
22,1214784000,122108989,2008,6,J,Jacobs Solutions,Industrials
23,1230681600,122473684,2008,12,J,Jacobs Solutions,Industrials
24,1238457600,122605000,2009,3,J,Jacobs Solutions,Industrials
25,1246320000,122953000,2009,6,J,Jacobs Solutions,Industrials
26,1262217600,123622000,2009,12,J,Jacobs Solutions,Industrials
27,1269993600,123911000,2010,3,J,Jacobs Solutions,Industrials
28,1277856000,124328000,2010,6,J,Jacobs Solutions,Industrials
29,1293753600,124988000,2010,12,J,Jacobs Solutions,Industrials
30,1301529600,125402000,2011,3,J,Jacobs Solutions,Industrials
31,1309392000,125903000,2011,6,J,Jacobs Solutions,Industrials
32,1317340800,126463000,2011,9,J,Jacobs Solutions,Industrials
33,1325289600,126921000,2011,12,J,Jacobs Solutions,Industrials
34,1333152000,127412000,2012,3,J,Jacobs Solutions,Industrials
35,1341014400,127922000,2012,6,J,Jacobs Solutions,Industrials
36,1348963200,128338000,2012,9,J,Jacobs Solutions,Industrials
37,1356912000,128644000,2012,12,J,Jacobs Solutions,Industrials
38,1364688000,129096000,2013,3,J,Jacobs Solutions,Industrials
39,1372550400,129536000,2013,6,J,Jacobs Solutions,Industrials
40,1380499200,129896000,2013,9,J,Jacobs Solutions,Industrials
41,1388448000,130121000,2013,12,J,Jacobs Solutions,Industrials
42,1396224000,130384000,2014,3,J,Jacobs Solutions,Industrials
43,1404086400,130738000,2014,6,J,Jacobs Solutions,Industrials
44,1412035200,130795000,2014,9,J,Jacobs Solutions,Industrials
45,1419984000,128652000,2014,12,J,Jacobs Solutions,Industrials
46,1427760000,125992000,2015,3,J,Jacobs Solutions,Industrials
47,1435622400,123392000,2015,6,J,Jacobs Solutions,Industrials
48,1443571200,121841000,2015,9,J,Jacobs Solutions,Industrials
49,1451520000,120888000,2015,12,J,Jacobs Solutions,Industrials
50,1459382400,120216000,2016,3,J,Jacobs Solutions,Industrials
51,1467244800,119850000,2016,6,J,Jacobs Solutions,Industrials
52,1483142400,119438000,2016,12,J,Jacobs Solutions,Industrials
53,1490918400,119484000,2017,3,J,Jacobs Solutions,Industrials
54,1498780800,119206000,2017,6,J,Jacobs Solutions,Industrials
55,1514678400,124122000,2017,12,J,Jacobs Solutions,Industrials
56,1522454400,141785000,2018,3,J,Jacobs Solutions,Industrials
57,1530316800,142015000,2018,6,J,Jacobs Solutions,Industrials
58,1538265600,142196000,2018,9,J,Jacobs Solutions,Industrials
59,1546214400,142154000,2018,12,J,Jacobs Solutions,Industrials
60,1553990400,138335000,2019,3,J,Jacobs Solutions,Industrials
61,1561852800,136747611,2019,6,J,Jacobs Solutions,Industrials
62,1569801600,134526000,2019,9,J,Jacobs Solutions,Industrials
63,1577750400,133134000,2019,12,J,Jacobs Solutions,Industrials
64,1585612800,132531000,2020,3,J,Jacobs Solutions,Industrials
65,1593475200,130215000,2020,6,J,Jacobs Solutions,Industrials
66,1609372800,129968000,2020,12,J,Jacobs Solutions,Industrials
67,1617148800,130262000,2021,3,J,Jacobs Solutions,Industrials
68,1625011200,130385000,2021,6,J,Jacobs Solutions,Industrials
69,1632960000,130162000,2021,9,J,Jacobs Solutions,Industrials
70,1640908800,129342000,2021,12,J,Jacobs Solutions,Industrials
71,1648684800,129333000,2022,3,J,Jacobs Solutions,Industrials
72,1656547200,128225000,2022,6,J,Jacobs Solutions,Industrials
73,1668711398,128225000,2022,11,J,Jacobs Solutions,Industrials
