,d,v,years,months,ticker_symbol,security,sector
0,985996800,20547739,2001,3,JCI,Johnson Controls,Industrials
1,993859200,20836364,2001,6,JCI,Johnson Controls,Industrials
2,1009756800,20833148,2001,12,JCI,Johnson Controls,Industrials
3,1017532800,21224311,2002,3,JCI,Johnson Controls,Industrials
4,1025395200,21122066,2002,6,JCI,Johnson Controls,Industrials
5,1041292800,21227324,2002,12,JCI,Johnson Controls,Industrials
6,1049068800,21618322,2003,3,JCI,Johnson Controls,Industrials
7,1056931200,21498815,2003,6,JCI,Johnson Controls,Industrials
8,1072828800,22508283,2003,12,JCI,Johnson Controls,Industrials
9,1080691200,45362500,2004,3,JCI,Johnson Controls,Industrials
10,1088553600,45362500,2004,6,JCI,Johnson Controls,Industrials
11,1104451200,45688068,2004,12,JCI,Johnson Controls,Industrials
12,1112227200,45610259,2005,3,JCI,Johnson Controls,Industrials
13,1120089600,45721523,2005,6,JCI,Johnson Controls,Industrials
14,1135987200,45917733,2005,12,JCI,Johnson Controls,Industrials
15,1143763200,46345588,2006,3,JCI,Johnson Controls,Industrials
16,1151625600,46645954,2006,6,JCI,Johnson Controls,Industrials
17,1167523200,46599398,2006,12,JCI,Johnson Controls,Industrials
18,1175299200,46926724,2007,3,JCI,Johnson Controls,Industrials
19,1183161600,47037313,2007,6,JCI,Johnson Controls,Industrials
20,1199059200,561062500,2007,12,JCI,Johnson Controls,Industrials
21,1206921600,563255102,2008,3,JCI,Johnson Controls,Industrials
22,1214784000,566219500,2008,6,JCI,Johnson Controls,Industrials
23,1230681600,566792500,2008,12,JCI,Johnson Controls,Industrials
24,1238457600,566888000,2009,3,JCI,Johnson Controls,Industrials
25,1246320000,567938500,2009,6,JCI,Johnson Controls,Industrials
26,1262217600,640423000,2009,12,JCI,Johnson Controls,Industrials
27,1269993600,641473500,2010,3,JCI,Johnson Controls,Industrials
28,1277856000,642428500,2010,6,JCI,Johnson Controls,Industrials
29,1293753600,646535000,2010,12,JCI,Johnson Controls,Industrials
30,1301529600,646821500,2011,3,JCI,Johnson Controls,Industrials
31,1309392000,648445000,2011,6,JCI,Johnson Controls,Industrials
32,1325289600,649400000,2011,12,JCI,Johnson Controls,Industrials
33,1333152000,649400000,2012,3,JCI,Johnson Controls,Industrials
34,1341014400,652265000,2012,6,JCI,Johnson Controls,Industrials
35,1348963200,651883000,2012,9,JCI,Johnson Controls,Industrials
36,1356912000,652360500,2012,12,JCI,Johnson Controls,Industrials
37,1364688000,652838000,2013,3,JCI,Johnson Controls,Industrials
38,1372550400,653124500,2013,6,JCI,Johnson Controls,Industrials
39,1380499200,653029000,2013,9,JCI,Johnson Controls,Industrials
40,1388448000,643765500,2013,12,JCI,Johnson Controls,Industrials
41,1396224000,633929000,2014,3,JCI,Johnson Controls,Industrials
42,1404086400,634502000,2014,6,JCI,Johnson Controls,Industrials
43,1412035200,635361500,2014,9,JCI,Johnson Controls,Industrials
44,1419984000,631637000,2014,12,JCI,Johnson Controls,Industrials
45,1427760000,628294500,2015,3,JCI,Johnson Controls,Industrials
46,1435622400,627339500,2015,6,JCI,Johnson Controls,Industrials
47,1443571200,620941000,2015,9,JCI,Johnson Controls,Industrials
48,1451520000,618553500,2015,12,JCI,Johnson Controls,Industrials
49,1459382400,619031000,2016,3,JCI,Johnson Controls,Industrials
50,1467244800,615879500,2016,6,JCI,Johnson Controls,Industrials
51,1475193600,728300000,2016,9,JCI,Johnson Controls,Industrials
52,1483142400,937200000,2016,12,JCI,Johnson Controls,Industrials
53,1490918400,939200000,2017,3,JCI,Johnson Controls,Industrials
54,1498780800,935400000,2017,6,JCI,Johnson Controls,Industrials
55,1506729600,929400000,2017,9,JCI,Johnson Controls,Industrials
56,1514678400,926100000,2017,12,JCI,Johnson Controls,Industrials
57,1522454400,926200000,2018,3,JCI,Johnson Controls,Industrials
58,1530316800,925600000,2018,6,JCI,Johnson Controls,Industrials
59,1538265600,924800000,2018,9,JCI,Johnson Controls,Industrials
60,1546214400,921600000,2018,12,JCI,Johnson Controls,Industrials
61,1553990400,902500000,2019,3,JCI,Johnson Controls,Industrials
62,1561852800,870900000,2019,6,JCI,Johnson Controls,Industrials
63,1569801600,777600000,2019,9,JCI,Johnson Controls,Industrials
64,1577750400,769900000,2019,12,JCI,Johnson Controls,Industrials
65,1585612800,754800000,2020,3,JCI,Johnson Controls,Industrials
66,1593475200,744000000,2020,6,JCI,Johnson Controls,Industrials
67,1601424000,735200000,2020,9,JCI,Johnson Controls,Industrials
68,1609372800,720300000,2020,12,JCI,Johnson Controls,Industrials
69,1617148800,717100000,2021,3,JCI,Johnson Controls,Industrials
70,1625011200,714500000,2021,6,JCI,Johnson Controls,Industrials
71,1632960000,708700000,2021,9,JCI,Johnson Controls,Industrials
72,1640908800,704300000,2021,12,JCI,Johnson Controls,Industrials
73,1648684800,699100000,2022,3,JCI,Johnson Controls,Industrials
74,1656547200,692200000,2022,6,JCI,Johnson Controls,Industrials
75,1668711413,692200000,2022,11,JCI,Johnson Controls,Industrials
