,d,v,years,months,ticker_symbol,security,sector
0,1130716800,86500000,2005,10,LDOS,Leidos,Industrials
1,1146355200,84000000,2006,4,LDOS,Leidos,Industrials
2,1154304000,82750000,2006,7,LDOS,Leidos,Industrials
3,1162252800,84000000,2006,10,LDOS,Leidos,Industrials
4,1177891200,101000000,2007,4,LDOS,Leidos,Industrials
5,1185840000,101250000,2007,7,LDOS,Leidos,Industrials
6,1193788800,100500000,2007,10,LDOS,Leidos,Industrials
7,1209513600,100500000,2008,4,LDOS,Leidos,Industrials
8,1217462400,98000000,2008,7,LDOS,Leidos,Industrials
9,1225411200,98000000,2008,10,LDOS,Leidos,Industrials
10,1241049600,98000000,2009,4,LDOS,Leidos,Industrials
11,1248998400,96000000,2009,7,LDOS,Leidos,Industrials
12,1256947200,96000000,2009,10,LDOS,Leidos,Industrials
13,1272585600,93750000,2010,4,LDOS,Leidos,Industrials
14,1280534400,90750000,2010,7,LDOS,Leidos,Industrials
15,1288483200,89750000,2010,10,LDOS,Leidos,Industrials
16,1304121600,86750000,2011,4,LDOS,Leidos,Industrials
17,1312070400,84500000,2011,7,LDOS,Leidos,Industrials
18,1320019200,82250000,2011,10,LDOS,Leidos,Industrials
19,1335744000,82500000,2012,4,LDOS,Leidos,Industrials
20,1343692800,83250000,2012,7,LDOS,Leidos,Industrials
21,1351641600,83500000,2012,10,LDOS,Leidos,Industrials
22,1359590400,83500000,2013,1,LDOS,Leidos,Industrials
23,1367280000,84000000,2013,4,LDOS,Leidos,Industrials
24,1375228800,84250000,2013,7,LDOS,Leidos,Industrials
25,1383177600,84000000,2013,10,LDOS,Leidos,Industrials
26,1398816000,77000000,2014,4,LDOS,Leidos,Industrials
27,1406764800,74000000,2014,7,LDOS,Leidos,Industrials
28,1414713600,73000000,2014,10,LDOS,Leidos,Industrials
29,1422662400,73000000,2015,1,LDOS,Leidos,Industrials
30,1427760000,73000000,2015,3,LDOS,Leidos,Industrials
31,1435622400,73000000,2015,6,LDOS,Leidos,Industrials
32,1443571200,72000000,2015,9,LDOS,Leidos,Industrials
33,1451520000,72000000,2015,12,LDOS,Leidos,Industrials
34,1459382400,72000000,2016,3,LDOS,Leidos,Industrials
35,1467244800,73000000,2016,6,LDOS,Leidos,Industrials
36,1475193600,112000000,2016,9,LDOS,Leidos,Industrials
37,1483142400,150000000,2016,12,LDOS,Leidos,Industrials
38,1490918400,150000000,2017,3,LDOS,Leidos,Industrials
39,1498780800,151000000,2017,6,LDOS,Leidos,Industrials
40,1506729600,152000000,2017,9,LDOS,Leidos,Industrials
41,1514678400,152000000,2017,12,LDOS,Leidos,Industrials
42,1522454400,152000000,2018,3,LDOS,Leidos,Industrials
43,1530316800,152000000,2018,6,LDOS,Leidos,Industrials
44,1538265600,151000000,2018,9,LDOS,Leidos,Industrials
45,1546214400,148000000,2018,12,LDOS,Leidos,Industrials
46,1553990400,145000000,2019,3,LDOS,Leidos,Industrials
47,1561852800,144000000,2019,6,LDOS,Leidos,Industrials
48,1569801600,143000000,2019,9,LDOS,Leidos,Industrials
49,1577750400,142000000,2019,12,LDOS,Leidos,Industrials
50,1585612800,142000000,2020,3,LDOS,Leidos,Industrials
51,1593475200,142000000,2020,6,LDOS,Leidos,Industrials
52,1601424000,142000000,2020,9,LDOS,Leidos,Industrials
53,1609372800,142000000,2020,12,LDOS,Leidos,Industrials
54,1617148800,142000000,2021,3,LDOS,Leidos,Industrials
55,1625011200,141000000,2021,6,LDOS,Leidos,Industrials
56,1632960000,141000000,2021,9,LDOS,Leidos,Industrials
57,1640908800,140000000,2021,12,LDOS,Leidos,Industrials
58,1648684800,139000000,2022,3,LDOS,Leidos,Industrials
59,1656547200,137000000,2022,6,LDOS,Leidos,Industrials
60,1668711447,137000000,2022,11,LDOS,Leidos,Industrials
